"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Mirabet"	"Ajuntament de Miravet"							"way"	" 884054379"		"{'amenity': 'townhall', 'building': 'public', 'name': 'Ajuntament de Mirabet'}"
"Bosc de les Lloses"	"Bosc de les Lloses"							"node"	"1241765168"		"{'name': 'Bosc de les Lloses', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas de Joan del Sereno"	"Mas de Joan del Sereno"							"way"	" 881621349"		"{'historic': 'ruins', 'name': 'Mas de Joan del Sereno'}"
"Mas de Modesto"	"Mas de Modesto"							"way"	" 538760761"		"{'building': 'yes', 'name': 'Mas de Modesto'}"
"Mas de Pegna"	"Mas de Pegna"							"node"	"5176121583"		"{'building': 'yes', 'name': 'Mas de Pegna'}"
"Mas de Platilles"	"Mas de Platilles"							"node"	"4217166980"		"{'building': 'yes', 'name': 'Mas de Platilles'}"
"Mas de Reparo"	"Mas de Reparo"							"node"	"6257747436"		"{'name': 'Mas de Reparo', 'place': 'isolated_dwelling'}"
"Mas de Tonet"	"Mas de Tonet"							"way"	" 881621347"		"{'historic': 'ruins', 'name': 'Mas de Tonet'}"
"Mas De Xesa"	"Mas De Xesa"							"node"	"5176121584"		"{'building': 'yes', 'name': 'Mas De Xesa'}"
"Mas Del Cap De Segarra"	"Mas Del Cap De Segarra"							"node"	"6257747435"		"{'name': 'Mas Del Cap De Segarra', 'place': 'isolated_dwelling'}"
"Platja de Miravet"	"Platja de Miravet"							"way"	" 386990302"		"{'name': 'Platja de Miravet', 'natural': 'beach', 'surface': 'grass'}"
"Platja dels Illons de Púello"	"Platja dels Illons de Púello"							"way"	" 538748014"		"{'name': 'Platja dels Illons de Púello', 'natural': 'beach'}"
"Platja dels Illons de Púello"	"Platja dels Illons de Púello"							"way"	" 538748016"		"{'name': 'Platja dels Illons de Púello', 'natural': 'beach'}"
"Platja dels Penyagats"	"Platja dels Penyagats"							"node"	"1241757016"		"{'name': 'Platja dels Penyagats', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
