"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Coll d'en Serra"	"Coll d'en Serra"							"node"	"7188095229"		"{'ele': '1010.4', 'name': \"Coll d'en Serra\", 'natural': 'saddle'}"
"Coll de la Coma"	"Coll de la Coma"							"node"	"1727493721"		"{'ele': '485.5', 'name': 'Coll de la Coma', 'natural': 'saddle'}"
"Coll de la Creu de l'Ardit"	"Coll de la Creu de l'Ardit"							"node"	"6699849567"		"{'ele': '1019.6', 'name': \"Coll de la Creu de l'Ardit\", 'natural': 'saddle'}"
"Coll de la Mola"	"Coll de la Mola"							"node"	"3906834482"		"{'ele': '1010.6', 'name': 'Coll de la Mola', 'natural': 'saddle'}"
"Coll de les Espadelles"	"Coll de les Espadelles"							"node"	"6194597487"		"{'ele': '687', 'name': 'Coll de les Espadelles', 'natural': 'saddle'}"
"Coll de les Vinyes"	"Coll de les Vinyes"							"node"	"8187623585"		"{'ele': '792.1', 'name': 'Coll de les Vinyes', 'natural': 'saddle'}"
"Coll de Lilla"	"Coll de Lilla"							"node"	"3788631662"		"{'name': 'Coll de Lilla', 'place': 'locality'}"
"Coll de Rojals"	"Coll de Rojals"							"node"	"6216786960"		"{'ele': '909', 'name': 'Coll de Rojals', 'natural': 'saddle'}"
"Coll Vell"	"Coll Vell"							"node"	"7232551030"		"{'ele': '559.7', 'name': 'Coll Vell', 'natural': 'saddle'}"
"Font al baluard de Santa Anna"	"Font al baluard de Santa Anna"							"node"	"3495120159"		"{'amenity': 'drinking_water', 'check_date': '2021-08-07', 'name': 'Font al baluard de Santa Anna'}"
"Font d'en Guàrdies"	"Font d'en Guàrdies"							"node"	"2771129550"		"{'amenity': 'drinking_water', 'name': \"Font d'en Guàrdies\"}"
"Font d'en Ribes"	"Font d'en Ribes"							"node"	"6194597453"		"{'name': \"Font d'en Ribes\", 'natural': 'spring'}"
"Font d'en Seré"	"Font d'en Seré"							"node"	"6314403091"		"{'name': \"Font d'en Seré\", 'natural': 'spring'}"
"Font de la Castanyola"	"Font de la Castanyola"							"node"	"6314403088"		"{'name': 'Font de la Castanyola', 'natural': 'spring'}"
"Font de la Ceba"	"Font de la Ceba"							"way"	"554722181"		"{'name': 'Font de la Ceba', 'natural': 'water', 'water': 'river'}"
"Font de la Fruita"	"Font de la Fruita"							"node"	"3677507032"		"{'amenity': 'drinking_water', 'check_date': '2021-08-08', 'name': 'Font de la Fruita'}"
"Font de la Ginesta"	"Font de la Ginesta"							"node"	"3047383271"		"{'name': 'Font de la Ginesta', 'natural': 'spring'}"
"Font de la Mare de Déu"	"Font de la Mare de Déu"							"node"	"9768975342"		"{'name': 'Font de la Mare de Déu', 'natural': 'spring'}"
"Font de Sant Francesc"	"Font de Sant Francesc"							"node"	"3481498393"		"{'amenity': 'drinking_water', 'check_date': '2021-08-08', 'name': 'Font de Sant Francesc'}"
"font del Conill"	"font del Conill"							"node"	"6699474742"		"{'name': 'font del Conill', 'natural': 'spring'}"
"font del Grèvol"	"font del Grèvol"							"node"	"2829397478"		"{'name': 'font del Grèvol', 'natural': 'spring'}"
"Font del Grèvol"	"Font del Grèvol"							"node"	"3933605351"		"{'name': 'Font del Grèvol', 'natural': 'spring'}"
"Font del Racó de la Solana"	"Font del Racó de la Solana"							"node"	"6699479982"		"{'name': 'Font del Racó de la Solana', 'natural': 'spring'}"
"Font del Ral al Barranc del Ral"	"Font del Ral al Barranc del Ral"							"node"	"9777581435"		"{'name': 'Font del Ral al Barranc del Ral', 'natural': 'spring'}"
"Font del Vall"	"Font del Vall"							"node"	"2804826508"		"{'amenity': 'drinking_water', 'check_date': '2021-08-08', 'name': 'Font del Vall'}"
"Font Grossa"	"Font Grossa"							"node"	"8121191684"		"{'name': 'Font Grossa', 'natural': 'spring'}"
"Font Major"	"Font Major"							"node"	"2804856254"		"{'amenity': 'drinking_water', 'check_date': '2021-08-08', 'name': 'Font Major'}"
"Serra Carbonera"	"Serra Carbonera"							"way"	"786224030"		"{'name': 'Serra Carbonera', 'natural': 'ridge'}"
"Serra d'en Bardina"	"Serra d'en Bardina"							"way"	"687751413"		"{'name': \"Serra d'en Bardina\", 'natural': 'ridge'}"
"Serra de les Guixeres"	"Serra de les Guixeres"			"Serra de les Guixeres (Montblanc), Serra de les Guixeres"	"Serra de les Guixeres (Montblanc)"	"mountain chain"	"Q18007725"	"way"	"522900182"		"{'ele': '706', 'name': 'Serra de les Guixeres', 'natural': 'ridge', 'wikidata': 'Q18007725', 'wikipedia': 'ca:Serra de les Guixeres (Montblanc)'}"
"Serra del Llamp"	"Serra del Llamp"							"node"	"1241794007"		"{'name': 'Serra del Llamp', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra del Llamp"	"Serra del Llamp"							"way"	"878594985"		"{'name': 'Serra del Llamp', 'natural': 'ridge'}"
"Torrent de les Pletes"	"Torrent de les Pletes"							"way"	"738293872"		"{'intermittent': 'yes', 'name': 'Torrent de les Pletes', 'waterway': 'stream'}"
