"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Jardí del repòs"	"Jardí del repòs"							"way"	" 437047899"		"{'landuse': 'cemetery', 'name': 'Jardí del repòs'}"
"Passatge Compte Borrel"	"Passatge Compte Borrel"							"way"	"  33145958"		"{'highway': 'unclassified', 'name': 'Passatge Compte Borrel', 'surface': 'asphalt'}"
"Passatge d'Aquitania"	"Passatge d'Aquitania"							"way"	" 639069761"		"{'highway': 'footway', 'name': \"Passatge d'Aquitania\"}"
"Passatge d'Hug de Montcada"	"Passatge d'Hug de Montcada"							"way"	" 405111728"		"{'highway': 'pedestrian', 'motor_vehicle': 'no', 'name': \"Passatge d'Hug de Montcada\"}"
"Passatge de Barberà"	"Passatge de Barberà"							"way"	" 638493111"		"{'highway': 'residential', 'name': 'Passatge de Barberà'}"
"Passatge de Domènec Fins"	"Passatge de Domènec Fins"							"way"	" 638769587"		"{'highway': 'footway', 'name': 'Passatge de Domènec Fins'}"
"Passatge de Felip Pedrell"	"Passatge de Felip Pedrell"							"way"	" 930418993"		"{'highway': 'pedestrian', 'name': 'Passatge de Felip Pedrell'}"
"Passatge de Formentera"	"Passatge de Formentera"							"way"	" 638204046"		"{'highway': 'footway', 'name': 'Passatge de Formentera'}"
"Passatge de l'Alger"	"Passatge de l'Alger"							"way"	"  33103432"		"{'access': 'yes', 'foot': 'designated', 'highway': 'pedestrian', 'motor_vehicle': 'no', 'name': \"Passatge de l'Alger\", 'surface': 'paving_stones'}"
"Passatge de l'Esglesia de Santa Maria"	"Passatge de l'Església de Santa Maria"							"way"	" 637464541"		"{'highway': 'footway', 'name': \"Passatge de l'Esglesia de Santa Maria\"}"
"Passatge de l'Esglesia de Santa Maria"	"Passatge de l'Església de Santa Maria"							"way"	" 998142480"		"{'highway': 'residential', 'name': \"Passatge de l'Esglesia de Santa Maria\"}"
"Passatge de l'Esglesia de Santa Maria"	"Passatge de l'Església de Santa Maria"							"way"	" 998142481"		"{'highway': 'steps', 'name': \"Passatge de l'Esglesia de Santa Maria\"}"
"Passatge de la Civada"	"Passatge de la Civada"							"way"	" 930418996"		"{'highway': 'pedestrian', 'name': 'Passatge de la Civada'}"
"Passatge de la Civada"	"Passatge de la Civada"							"way"	" 930418997"		"{'highway': 'pedestrian', 'name': 'Passatge de la Civada'}"
"Passatge de la Conreria"	"Passatge de la Conreria"							"way"	" 637464539"		"{'highway': 'residential', 'name': 'Passatge de la Conreria', 'surface': 'unpaved'}"
"Passatge de la Conreria"	"Passatge de la Conreria"							"way"	" 998142479"		"{'highway': 'residential', 'name': 'Passatge de la Conreria', 'surface': 'unpaved'}"
"Passatge de la Costa Brava"	"Passatge de la Costa Brava"							"way"	"  33143121"		"{'access': 'yes', 'bicycle': 'dismount', 'foot': 'designated', 'highway': 'pedestrian', 'horse': 'no', 'motor_vehicle': 'no', 'name': 'Passatge de la Costa Brava', 'surface': 'paving_stones'}"
"Passatge de la Costa Brava"	"Passatge de la Costa Brava"							"way"	"  33143073"		"{'access': 'permissive', 'bicycle': 'yes', 'foot': 'yes', 'goods': 'yes', 'hgv': 'no', 'highway': 'service', 'horse': 'yes', 'maxspeed': '10', 'motorboat': 'no', 'motorcar': 'destination', 'motorcycle': 'destination', 'name': 'Passatge de la Costa Brava', 'oneway': 'yes', 'psv': 'yes', 'service': 'alley', 'surface': 'paving_stones'}"
"Passatge de la Costa Brava"	"Passatge de la Costa Brava"							"way"	"  33143086"		"{'highway': 'pedestrian', 'name': 'Passatge de la Costa Brava', 'surface': 'paving_stones'}"
"Passatge de la Garsa"	"Passatge de la Garsa"							"way"	" 635018378"		"{'highway': 'footway', 'name': 'Passatge de la Garsa'}"
"Passatge de la Música"	"Passatge de la Música"							"way"	" 405112016"		"{'highway': 'living_street', 'name': 'Passatge de la Música', 'oneway': 'yes'}"
"Passatge de la Música"	"Passatge de la Música"							"way"	" 405112743"		"{'highway': 'living_street', 'name': 'Passatge de la Música', 'oneway': 'yes'}"
"Passatge de la Pell"	"Passatge de la Pell"							"way"	" 405111868"		"{'highway': 'residential', 'name': 'Passatge de la Pell', 'oneway': 'yes'}"
"Passatge de la Pintura"	"Passatge de la Pintura"							"way"	" 405112451"		"{'highway': 'living_street', 'name': 'Passatge de la Pintura', 'oneway': 'yes'}"
"Passatge de les Maduixes"	"Passatge de les Maduixes"							"way"	" 636076914"		"{'highway': 'residential', 'name': 'Passatge de les Maduixes'}"
"passatge de les Violetes"	"passatge de les Violetes"							"way"	" 495926676"		"{'access': 'yes', 'bicycle': 'yes', 'cycleway': 'no', 'foot': 'yes', 'highway': 'residential', 'horse': 'permissive', 'maxspeed': '30', 'name': 'passatge de les Violetes', 'oneway': 'no', 'source': 'PNOA', 'source:date': '2009', 'surface': 'asphalt'}"
"passatge de les Violetes"	"passatge de les Violetes"							"way"	" 495926677"		"{'highway': 'residential', 'name': 'passatge de les Violetes', 'source': 'PNOA', 'source:date': '2009'}"
"passatge de Manresa"	"passatge de Manresa"							"way"	" 932020330"		"{'highway': 'pedestrian', 'name': 'passatge de Manresa'}"
"Passatge de Menorca"	"Passatge de Menorca"							"way"	" 638203235"		"{'highway': 'footway', 'name': 'Passatge de Menorca'}"
"Passatge de Ramon Casas"	"Passatge de Ramon Casas"							"way"	" 930418992"		"{'highway': 'pedestrian', 'name': 'Passatge de Ramon Casas'}"
"Passatge de Rondalles"	"Passatge de Rondalles"							"way"	" 405100488"		"{'highway': 'residential', 'name': 'Passatge de Rondalles', 'oneway': 'yes'}"
"Passatge de Sant Joan Baptista de la Salle"	"Passatge de Sant Joan Baptista de la Salle"							"way"	" 784288290"		"{'highway': 'footway', 'name': 'Passatge de Sant Joan Baptista de la Salle'}"
"Passatge de Santa Maria"	"Passatge de Santa Maria"							"way"	" 639361186"		"{'highway': 'footway', 'name': 'Passatge de Santa Maria'}"
"Passatge de Santa Maria"	"Passatge de Santa Maria"							"way"	" 639361187"		"{'highway': 'footway', 'name': 'Passatge de Santa Maria'}"
"Passatge de Vilanova"	"Passatge de Vilanova"							"way"	" 638500760"		"{'highway': 'pedestrian', 'name': 'Passatge de Vilanova'}"
"Passatge de Wagner"	"Passatge de Wagner"							"way"	" 201169708"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Passatge de Wagner', 'oneway': 'no', 'surface': 'asphalt'}"
"Passatge de Wagner"	"Passatge de Wagner"							"way"	" 201196783"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Passatge de Wagner', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passatge de Wagner"	"Passatge de Wagner"							"way"	" 521054539"		"{'highway': 'residential', 'lanes': '2', 'lit': 'yes', 'name': 'Passatge de Wagner', 'oneway': 'no', 'surface': 'asphalt'}"
"Passatge de Wagner"	"Passatge de Wagner"							"way"	" 425854281"		"{'highway': 'residential', 'lit': 'yes', 'name': 'Passatge de Wagner', 'oneway': 'yes', 'surface': 'asphalt'}"
"Passatge del Compte de Borrel"	"Passatge del Compte de Borrel"							"way"	"  40110496"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '30', 'name': 'Passatge del Compte de Borrel', 'oneway': 'yes'}"
"Passatge del Corraló"	"Passatge del Corraló"							"way"	" 405112454"		"{'highway': 'living_street', 'name': 'Passatge del Corraló', 'oneway': 'no'}"
"Passatge del Cucut"	"Passatge del Cucut"							"way"	"  93265403"		"{'highway': 'service', 'name': 'Passatge del Cucut', 'surface': 'concrete'}"
"Passatge del Putxet"	"Passatge del Putxet"							"way"	" 639363286"		"{'highway': 'steps', 'name': 'Passatge del Putxet'}"
"Passatge del Putxet"	"Passatge del Putxet"							"way"	" 823199182"		"{'highway': 'footway', 'name': 'Passatge del Putxet'}"
"Passatge del Putxet"	"Passatge del Putxet"							"way"	" 823199183"		"{'highway': 'footway', 'name': 'Passatge del Putxet'}"
"Passatge del Putxet"	"Passatge del Putxet"							"way"	" 823199184"		"{'highway': 'footway', 'name': 'Passatge del Putxet'}"
"Passatge del Putxet"	"Passatge del Putxet"							"way"	" 823199185"		"{'highway': 'steps', 'name': 'Passatge del Putxet'}"
"Passatge del Reixagó"	"Passatge del Reixagó"							"way"	" 639363287"		"{'highway': 'footway', 'name': 'Passatge del Reixagó'}"
"Passatge del Reixagó"	"Passatge del Reixagó"							"way"	" 823199179"		"{'highway': 'steps', 'name': 'Passatge del Reixagó'}"
"Passatge del Reixagó"	"Passatge del Reixagó"							"way"	" 823199180"		"{'highway': 'steps', 'name': 'Passatge del Reixagó'}"
"Passatge del Reixagó"	"Passatge del Reixagó"							"way"	" 823199181"		"{'highway': 'footway', 'name': 'Passatge del Reixagó'}"
"passatge del Roure"	"passatge del Roure"							"way"	" 495926684"		"{'highway': 'residential', 'name': 'passatge del Roure', 'surface': 'unpaved'}"
"Passatge Escorxador"	"Passatge Escorxador"							"way"	" 401157848"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Passatge Escorxador', 'oneway': 'no'}"
"Passatge Falcó"	"Passatge Falcó"							"way"	" 110579340"		"{'highway': 'residential', 'name': 'Passatge Falcó'}"
"Passatge Illes Medes"	"Passatge Illes Medes"							"way"	"  33142504"		"{'highway': 'pedestrian', 'name': 'Passatge Illes Medes'}"
"Passatge Illes Medes"	"Passatge Illes Medes"							"way"	"  33103300"		"{'highway': 'pedestrian', 'name': 'Passatge Illes Medes', 'tracktype': 'grade2'}"
