"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Costa"	"Can Costa"							"node"	"7504474276"		"{'name': 'Can Costa', 'place': 'isolated_dwelling'}"
"Font Freda"	"Font Freda"							"node"	"2880375866"		"{'name': 'Font Freda', 'natural': 'spring'}"
"Serra Alta de Palau"	"Serra Alta de Palau"							"node"	"1241562731"		"{'name': 'Serra Alta de Palau', 'place': 'locality'}"
"Serra de Ramons"	"Serra de Ramons"							"node"	"1241557313"		"{'name': 'Serra de Ramons', 'place': 'locality'}"
"Serrat de Cal Ramonet"	"Serrat de Cal Ramonet"							"node"	"9751275261"		"{'ele': '581.7', 'name': 'Serrat de Cal Ramonet', 'natural': 'peak'}"
"Serrat de Castelló"	"Serrat de Castelló"							"node"	"3770738430"		"{'ele': '665.8', 'name': 'Serrat de Castelló', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat de la Llosa"	"Serrat de la Llosa"							"node"	"3782238657"		"{'ele': '639.1', 'name': 'Serrat de la Llosa', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat del Sastre"	"Serrat del Sastre"							"node"	"3770738435"		"{'ele': '1047.1', 'name': 'Serrat del Sastre', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat dels Llamps"	"Serrat dels Llamps"							"node"	"1241548735"		"{'name': 'Serrat dels Llamps', 'place': 'locality'}"
"Serrat dels Xoriguers"	"Serrat dels Xoriguers"							"node"	"1241571875"		"{'name': 'Serrat dels Xoriguers', 'place': 'locality'}"
"Serrat Pla"	"Serrat Pla"							"node"	"1241568815"		"{'name': 'Serrat Pla', 'place': 'locality'}"
"Serrat Rodó"	"Serrat Rodó"							"node"	"3770738428"		"{'ele': '711.8', 'name': 'Serrat Rodó', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
