"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Fullà"	"Camí de Fullà"							"way"	"375573877"		"{'highway': 'unclassified', 'name': 'Camí de Fullà'}"
"Camí de Fullà"	"Camí de Fullà"							"way"	"529982928"		"{'highway': 'track', 'name': 'Camí de Fullà'}"
"Camí de la Parada"	"Camí de la Parada"							"way"	"583429843"		"{'highway': 'unclassified', 'name': 'Camí de la Parada', 'surface': 'asphalt'}"
"Camí de la Portella"	"Camí de la Portella"							"way"	"579624880"		"{'highway': 'track', 'name': 'Camí de la Portella', 'smoothness': 'bad', 'surface': 'ground', 'tracktype': 'grade3', 'width': '3'}"
"Camí de la Saleta"	"Camí de la Saleta"							"way"	"341779141"		"{'highway': 'unclassified', 'name': 'Camí de la Saleta'}"
"Camí de la Saleta"	"Camí de la Saleta"							"way"	"341779142"		"{'highway': 'track', 'name': 'Camí de la Saleta', 'tracktype': 'grade1'}"
"Camí de Sant Salvador"	"Camí de Sant Salvador"							"way"	"232838651"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Sant Salvador', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí de Valldaura"	"Camí de Valldaura"							"way"	"730037815"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Valldaura', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí de Valldaura"	"Camí de Valldaura"							"way"	"374568786"		"{'bridge': 'yes', 'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Valldaura', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí de Valldaura"	"Camí de Valldaura"							"way"	"232838649"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Valldaura', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí de Valldaura"	"Camí de Valldaura"							"way"	"232838665"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí de Valldaura', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí del Belleró"	"Camí del Belleró"							"way"	"232838646"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí del Belleró', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí del Belleró"	"Camí del Belleró"							"way"	"491614098"		"{'highway': 'unclassified', 'name': 'Camí del Belleró', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
"Camí del Belleró"	"Camí del Belleró"							"way"	"491614111"		"{'brp_access': '3', 'highway': 'unclassified', 'name': 'Camí del Belleró', 'smoothness': 'good', 'surface': 'asphalt', 'width': '3.5'}"
