"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Cervià"	"Can Cervià"							"way"	"936759063"		"{'building': 'yes', 'name': 'Can Cervià', 'source': 'PNOA'}"
"Can Comes"	"Can Comes"							"way"	"1091866773"		"{'building': 'yes', 'name': 'Can Comes'}"
"Can Girald"	"Can Girald"							"node"	"3508147211"		"{'name': 'Can Girald', 'place': 'isolated_dwelling'}"
"Can Parades"	"Can Parades"							"way"	"365641046"		"{'building': 'yes', 'name': 'Can Parades'}"
"Can Serrats"	"Can Serrats"							"way"	"936759061"		"{'building': 'yes', 'name': 'Can Serrats', 'source': 'PNOA'}"
"Can Verdera"	"Can Verdera"							"way"	"365641195"		"{'building': 'yes', 'name': 'Can Verdera'}"
"Font d'en Puig"	"Font d'en Puig"							"node"	"5907954701"		"{'description': 'Biot de pedra', 'drinking_water': 'no', 'drinking_water:legal': 'no', 'intermittent': 'no', 'name': \"Font d'en Puig\", 'natural': 'spring', 'refitted': 'yes', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font d'en Verdera"	"Font d'en Verdera"							"node"	"5907954698"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'intermittent': 'no', 'name': \"Font d'en Verdera\", 'natural': 'spring', 'refitted': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Can Prat"	"Font de Can Prat"							"node"	"5907954712"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'intermittent': 'yes', 'name': 'Font de Can Prat', 'natural': 'spring', 'refitted': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Can Redreça"	"Font de Can Redreça"							"node"	"5907956711"		"{'description': 'Sense garanties sanitàries', 'drinking_water': 'yes', 'drinking_water:legal': 'no', 'intermittent': 'no', 'name': 'Font de Can Redreça', 'natural': 'spring', 'refitted': 'yes', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de l'Hort d'en Serrats"	"Font de l'Hort d'en Serrats"							"node"	"5907956695"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'intermittent': 'no', 'name': \"Font de l'Hort d'en Serrats\", 'natural': 'spring', 'refitted': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de l'Illa"	"Font de l'Illa"							"node"	"5907956710"		"{'description': 'Sense garanties sanitàries', 'drinking_water': 'yes', 'drinking_water:legal': 'no', 'intermittent': 'no', 'name': \"Font de l'Illa\", 'natural': 'spring', 'refitted': 'yes', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
