"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí aeri N-O de Sant Honorat"	"Camí aeri N-O de Sant Honorat"							"way"	" 673094761"		"{'bicycle': 'no', 'highway': 'path', 'horse': 'no', 'name': 'Camí aeri N-O de Sant Honorat', 'sac_scale': 'difficult_alpine_hiking', 'surface': 'paving_stones', 'width': '0.5'}"
"Camí Camp del Fuster"	"Camí Camp del Fuster"							"way"	" 229232950"		"{'highway': 'residential', 'name': 'Camí Camp del Fuster'}"
"Camí d'aproximació Via ferrada Regina de Peramola"	"Camí d'aproximació Via ferrada Regina de Peramola"							"way"	" 195554323"		"{'highway': 'path', 'name': \"Camí d'aproximació Via ferrada Regina de Peramola\"}"
"Camí de Castell-llebre"	"Camí de Castell-llebre"							"way"	" 159190606"		"{'highway': 'track', 'name': 'Camí de Castell-llebre', 'tracktype': 'grade1'}"
"Camí de la Capella"	"Camí de la Capella"							"way"	" 195419019"		"{'highway': 'residential', 'name': 'Camí de la Capella'}"
"camí de la Collada d'Aubenç"	"camí de la Collada d'Aubenç"							"way"	" 785795914"		"{'highway': 'path', 'name': \"camí de la Collada d'Aubenç\"}"
"camí de la Collada d'Aubenç"	"camí de la Collada d'Aubenç"							"way"	" 785795913"		"{'highway': 'track', 'name': \"camí de la Collada d'Aubenç\"}"
"camí de la Collada d'Aubenç"	"camí de la Collada d'Aubenç"							"way"	" 925927812"		"{'highway': 'track', 'name': \"camí de la Collada d'Aubenç\", 'smoothness': 'very_horrible', 'source': 'survey', 'surface': 'ground', 'tracktype': 'grade4'}"
"Camí de la Font de la Vila"	"Camí de la Font de la Vila"							"way"	" 381543370"		"{'highway': 'residential', 'name': 'Camí de la Font de la Vila'}"
"Camí de Pallerols a Andorra"	"Camí de Pallerols a Andorra"							"way"	" 261353576"		"{'highway': 'path', 'name': 'Camí de Pallerols a Andorra', 'source': 'survey;gps;aerial imagery'}"
"Camí de Pallerols a Andorra"	"Camí de Pallerols a Andorra"							"way"	" 195545276"		"{'description': 'Marques blaves i grogues', 'highway': 'path', 'name': 'Camí de Pallerols a Andorra', 'sac_scale': 'mountain_hiking', 'surface': 'ground', 'trail_visibility': 'excellent'}"
"Camí de Pallerols a Andorra"	"Camí de Pallerols a Andorra"							"way"	" 925947441"		"{'description': 'Marques blaves i grogues', 'highway': 'path', 'name': 'Camí de Pallerols a Andorra', 'surface': 'ground', 'trail_visibility': 'excellent'}"
"Camí de Pallerols a Andorra"	"Camí de Pallerols a Andorra"							"way"	" 925947440"		"{'description': 'Marques blaves i grogues', 'highway': 'path', 'name': 'Camí de Pallerols a Andorra', 'sac_scale': 'demanding_mountain_hiking', 'surface': 'ground', 'trail_visibility': 'excellent'}"
"Camí de Pallerols a Andorra"	"Camí de Pallerols a Andorra"							"way"	" 925927819"		"{'description': 'Marques blaves i grogues', 'highway': 'path', 'name': 'Camí de Pallerols a Andorra', 'sac_scale': 'demanding_mountain_hiking', 'safety_rope': 'yes', 'surface': 'ground', 'trail_visibility': 'excellent'}"
"Camí de Pallerols a Andorra"	"Camí de Pallerols a Andorra"							"way"	" 925927818"		"{'description': 'Marques blaves i grogues', 'highway': 'path', 'name': 'Camí de Pallerols a Andorra', 'surface': 'ground', 'trail_visibility': 'excellent'}"
"Camí de Peramola"	"Camí de Peramola"							"way"	" 857943289"		"{'highway': 'living_street', 'name': 'Camí de Peramola'}"
"Camí de retorn Via ferrada Regina de Peramola"	"Camí de retorn Via ferrada Regina de Peramola"							"way"	" 195446000"		"{'highway': 'path', 'name': 'Camí de retorn Via ferrada Regina de Peramola'}"
"Camí de retorn Via ferrada Regina de Peramola"	"Camí de retorn Via ferrada Regina de Peramola"							"way"	" 593463554"		"{'highway': 'path', 'name': 'Camí de retorn Via ferrada Regina de Peramola', 'sac_scale': 'demanding_alpine_hiking', 'trail_visibility': 'good'}"
"Camí de retorn Via ferrada Regina de Peramola"	"Camí de retorn Via ferrada Regina de Peramola"							"way"	" 928481657"		"{'cai_scale': 'eea', 'highway': 'path', 'name': 'Camí de retorn Via ferrada Regina de Peramola', 'sac_scale': 'demanding_alpine_hiking', 'trail_visibility': 'good'}"
"Camí de retorn Via ferrada Regina de Peramola"	"Camí de retorn Via ferrada Regina de Peramola"							"way"	" 928481658"		"{'highway': 'path', 'name': 'Camí de retorn Via ferrada Regina de Peramola', 'sac_scale': 'demanding_alpine_hiking', 'trail_visibility': 'good'}"
"Camí de retorn Via ferrada Regina de Peramola"	"Camí de retorn Via ferrada Regina de Peramola"							"way"	" 928529528"		"{'highway': 'path', 'name': 'Camí de retorn Via ferrada Regina de Peramola', 'trail_visibility': 'no'}"
"Camí del Coscollet"	"Camí del Coscollet"							"way"	" 195442643"		"{'highway': 'track', 'name': 'Camí del Coscollet', 'tracktype': 'grade3'}"
"Carrer Avellanes"	"Carrer Avellanes"							"way"	" 669167804"		"{'highway': 'residential', 'name': 'Carrer Avellanes', 'tunnel': 'building_passage'}"
"Carrer Avellanes"	"Carrer Avellanes"							"way"	" 381543375"		"{'highway': 'residential', 'name': 'Carrer Avellanes'}"
"Carrer Baixada de la Sal"	"Carrer Baixada de la Sal"							"way"	" 381543386"		"{'highway': 'residential', 'name': 'Carrer Baixada de la Sal'}"
"Carrer de Frederic Ribó"	"Carrer de Frederic Ribó"							"way"	"1098637764"		"{'highway': 'residential', 'name': 'Carrer de Frederic Ribó'}"
"Carrer de Frederic Ribó"	"Carrer de Frederic Ribó"							"way"	" 195418956"		"{'highway': 'residential', 'name': 'Carrer de Frederic Ribó'}"
"Carrer de l'Esglèsia"	"Carrer de l'Esglèsia"							"way"	" 381543371"		"{'highway': 'residential', 'name': \"Carrer de l'Esglèsia\"}"
"Carrer de l'Esglèsia"	"Carrer de l'Esglèsia"							"way"	" 381543377"		"{'highway': 'residential', 'name': \"Carrer de l'Esglèsia\", 'tunnel': 'building_passage'}"
