"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Biel"	"Cal Biel"							"node"	"6721915060"		"{'name': 'Cal Biel', 'shop': 'fruit_store'}"
"Cal Borrull"	"Cal Borrull"							"way"	"358497687"		"{'building': 'yes', 'name': 'Cal Borrull'}"
"Cal Ferrer del Coll"	"Cal Ferrer del Coll"							"node"	"4140228799"		"{'name': 'Cal Ferrer del Coll', 'place': 'isolated_dwelling'}"
"Cal Francesc"	"Cal Francesc"							"relation"	"10784240"		"{'name': 'Cal Francesc', 'place': 'isolated_dwelling', 'type': 'multipolygon'}"
"Cal Lleó Vell"	"Cal Lleó Vell"							"way"	"936247074"		"{'building': 'ruins', 'name': 'Cal Lleó Vell'}"
"Cal Masrugat"	"Cal Masrugat"							"node"	"6282878709"		"{'name': 'Cal Masrugat', 'place': 'isolated_dwelling'}"
"Cal Nin"	"Cal Nin"							"node"	"6282878693"		"{'name': 'Cal Nin', 'place': 'isolated_dwelling'}"
"Camp d'Orques"	"Camp d'Orques"							"node"	"8193629268"		"{'name': \"Camp d'Orques\", 'place': 'locality'}"
"Camp de la Font"	"Camp de la Font"							"node"	"7303917633"		"{'name': 'Camp de la Font', 'place': 'locality'}"
"Camp de la Serra de Cal Francesc"	"Camp de la Serra de Cal Francesc"							"node"	"7267845830"		"{'name': 'Camp de la Serra de Cal Francesc', 'place': 'locality'}"
"Camp del Maset"	"Camp del Maset"							"node"	"8193629257"		"{'name': 'Camp del Maset', 'place': 'locality'}"
"Camp del Pi"	"Camp del Pi"							"node"	"1241563219"		"{'name': 'Camp del Pi', 'place': 'locality'}"
"Camp del Rigol"	"Camp del Rigol"							"node"	"7655139312"		"{'name': 'Camp del Rigol', 'place': 'locality'}"
"Escola Herois del Bruc"	"Escola Herois del Bruc"			"Escola Herois del Bruc"		"Catalonia school"	"Q111338744"	"way"	"369622671"		"{'addr:housenumber': '19', 'addr:postcode': '08784', 'addr:street': 'Carrer Pompeu Fabra', 'amenity': 'school', 'name': 'Escola Herois del Bruc', 'ref': '8022768', 'wikidata': 'Q111338744'}"
