"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de Cal Cabot"	"Barranc de Cal Cabot"							"way"	"984089985"		"{'name': 'Barranc de Cal Cabot', 'waterway': 'stream'}"
"Cal Bellús"	"Cal Bellús"							"node"	"2168988933"		"{'name': 'Cal Bellús', 'place': 'isolated_dwelling'}"
"Cal Bernat"	"Cal Bernat"							"node"	"2168905387"		"{'name': 'Cal Bernat', 'place': 'isolated_dwelling'}"
"Cal Cabot"	"Cal Cabot"							"node"	"3597188322"		"{'name': 'Cal Cabot', 'place': 'isolated_dwelling'}"
"Cal Cuca"	"Cal Cuca"							"node"	"6322222993"		"{'name': 'Cal Cuca', 'place': 'hamlet'}"
"Cal Fidel"	"Cal Fidel"							"node"	"2168905388"		"{'name': 'Cal Fidel', 'place': 'isolated_dwelling'}"
"Cal Fitó"	"Cal Fitó"							"node"	"9099102040"		"{'name': 'Cal Fitó', 'place': 'isolated_dwelling'}"
"Cal Grau"	"Cal Grau"							"node"	"2150031944"		"{'name': 'Cal Grau', 'place': 'isolated_dwelling'}"
"Cal Llobet"	"Cal Llobet"							"node"	"7781111391"		"{'name': 'Cal Llobet', 'place': 'locality'}"
"Cal Maçana"	"Cal Maçana"							"node"	"2169077507"		"{'name': 'Cal Maçana', 'place': 'isolated_dwelling'}"
"Cal Marc"	"Cal Marc"							"node"	"9094147528"		"{'name': 'Cal Marc', 'place': 'isolated_dwelling'}"
"Cal Nadal"	"Cal Nadal"							"node"	"9098831610"		"{'name': 'Cal Nadal', 'place': 'isolated_dwelling'}"
"Cal Nicolau"	"Cal Nicolau"							"node"	"2168898872"		"{'name': 'Cal Nicolau', 'place': 'isolated_dwelling'}"
"Cal Piquet"	"Cal Piquet"							"node"	"5243864983"		"{'name': 'Cal Piquet', 'place': 'isolated_dwelling'}"
"Cal Prat"	"Cal Prat"							"node"	"2168968316"		"{'name': 'Cal Prat', 'place': 'isolated_dwelling'}"
"Cal Roca"	"Cal Roca"							"node"	"9765168297"		"{'name': 'Cal Roca', 'place': 'isolated_dwelling'}"
"Cal Sala"	"Cal Sala"							"node"	"2169077509"		"{'name': 'Cal Sala', 'place': 'isolated_dwelling'}"
"Cal Serafí"	"Cal Serafí"							"node"	"9099099066"		"{'name': 'Cal Serafí', 'place': 'isolated_dwelling'}"
"Camp de l'Era"	"Camp de l'Era"							"node"	"7781092857"		"{'name': \"Camp de l'Era\", 'place': 'locality'}"
"Camp de la Creu"	"Camp de la Creu"							"node"	"7781092847"		"{'name': 'Camp de la Creu', 'place': 'locality'}"
"Camp de Sobre Casa"	"Camp de Sobre Casa"							"node"	"4454052772"		"{'name': 'Camp de Sobre Casa', 'place': 'locality'}"
"Camp del Pla"	"Camp del Pla"							"node"	"7781092848"		"{'name': 'Camp del Pla', 'place': 'locality'}"
"Obaga de Casanova"	"Obaga de Casanova"							"node"	"1241684846"		"{'name': 'Obaga de Casanova', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga de Pinós"	"Obaga de Pinós"							"node"	"1241671832"		"{'name': 'Obaga de Pinós', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga de Puigpelat"	"Obaga de Puigpelat"							"node"	"1241681398"		"{'name': 'Obaga de Puigpelat', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga de Torrescassana"	"Obaga de Torrescassana"							"node"	"1241681900"		"{'name': 'Obaga de Torrescassana', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga del Codina"	"Obaga del Codina"							"node"	"7781111406"		"{'name': 'Obaga del Codina', 'place': 'locality'}"
"Obaga dels Tudons"	"Obaga dels Tudons"							"node"	"1241684694"		"{'name': 'Obaga dels Tudons', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga Negra de Ribalta"	"Obaga Negra de Ribalta"							"node"	"1241684018"		"{'name': 'Obaga Negra de Ribalta', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Santuari de Pinós"	"Santuari de Pinós"							"way"	"675107556"		"{'amenity': 'place_of_worship', 'building': 'church', 'denomination': 'catholic', 'name': 'Santuari de Pinós', 'religion': 'christian'}"
"Santuari de Pinós dolmen de Cal Cabot"	"Santuari de Pinós dolmen de Cal Cabot"							"relation"	"14576861"		"{'ascent': '222', 'distance': '6.6', 'name': 'Santuari de Pinós dolmen de Cal Cabot', 'network': 'lwn', 'roundtrip': 'yes', 'route': 'hiking', 'type': 'route', 'website': 'http://turismesolsones.com/ruta/santuari-de-pinos-domen-de-cal-cabot/'}"
