"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 170452842"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya', 'surface': 'asphalt'}"
"Avinguda de l'Esport"	"Avinguda de l'Esport"							"way"	" 170356372"		"{'highway': 'residential', 'name': \"Avinguda de l'Esport\"}"
"Avinguda de l'Esport"	"Avinguda de l'Esport"							"way"	" 170356371"		"{'highway': 'residential', 'name': \"Avinguda de l'Esport\"}"
"Avinguda de l'Esport"	"Avinguda de l'Esport"							"way"	" 170356370"		"{'highway': 'residential', 'name': \"Avinguda de l'Esport\"}"
"Avinguda de la Font de Valldans"	"Avinguda de la Font de Valldans"							"way"	" 760854487"		"{'embankment': 'yes', 'highway': 'primary_link', 'name': 'Avinguda de la Font de Valldans', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de la Font de Valldans"	"Avinguda de la Font de Valldans"							"way"	" 170350423"		"{'embankment': 'yes', 'highway': 'residential', 'name': 'Avinguda de la Font de Valldans', 'surface': 'asphalt'}"
"Avinguda de la Font de Valldans"	"Avinguda de la Font de Valldans"							"way"	" 760854486"		"{'embankment': 'yes', 'highway': 'primary_link', 'name': 'Avinguda de la Font de Valldans', 'oneway': 'yes', 'surface': 'asphalt'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	" 170350424"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat', 'surface': 'asphalt'}"
"Avinguda de Pompeu Fabra"	"Avinguda de Pompeu Fabra"							"way"	" 169747418"	"name:etymology:wikidata=Q379785"	"{'highway': 'residential', 'name': 'Avinguda de Pompeu Fabra', 'name:etymology:wikidata': 'Q379785', 'surface': 'asphalt'}"
"Avinguda del Passeig"	"Avinguda del Passeig"							"way"	" 232660393"		"{'highway': 'primary', 'maxspeed': '50', 'name': 'Avinguda del Passeig', 'ref': 'C-1412a'}"
"Avinguda del Passeig"	"Avinguda del Passeig"							"way"	" 766376096"		"{'highway': 'primary_link', 'maxspeed': '50', 'name': 'Avinguda del Passeig', 'oneway': 'yes', 'ref': 'C-1412a'}"
"Avinguda del Passeig"	"Avinguda del Passeig"							"way"	" 170350425"		"{'highway': 'primary', 'maxspeed': '50', 'name': 'Avinguda del Passeig', 'ref': 'C-1412a'}"
"Avinguda del Passeig"	"Avinguda del Passeig"							"way"	" 766376095"		"{'highway': 'primary_link', 'maxspeed': '50', 'name': 'Avinguda del Passeig', 'oneway': 'yes', 'ref': 'C-1412a'}"
"Camí de Cal Noi"	"Camí de Cal Noi"							"way"	" 305508377"		"{'highway': 'unclassified', 'name': 'Camí de Cal Noi', 'surface': 'asphalt'}"
"Camí de la Carrerada"	"Camí de la Carrerada"							"way"	" 170356373"		"{'highway': 'residential', 'name': 'Camí de la Carrerada', 'surface': 'asphalt'}"
"Camí de la Carrerada"	"Camí de la Carrerada"							"way"	" 170356409"		"{'highway': 'residential', 'name': 'Camí de la Carrerada'}"
"camí de la depuradora"	"camí de la depuradora"							"way"	" 170452859"		"{'highway': 'unclassified', 'name': 'camí de la depuradora', 'tracktype': 'grade1'}"
"Camí de les Masies"	"Camí de les Masies"							"way"	" 209343286"		"{'highway': 'track', 'name': 'Camí de les Masies', 'surface': 'asphalt', 'tracktype': 'grade1', 'width': '3'}"
"Camí de les Treites"	"Camí de les Treites"							"way"	" 395993728"		"{'highway': 'track', 'name': 'Camí de les Treites', 'tracktype': 'grade2'}"
"Camí de Ponts a Vilanova de l'Aguda"	"Camí de Ponts a Vilanova de l'Aguda"							"way"	" 336657798"		"{'highway': 'track', 'name': \"Camí de Ponts a Vilanova de l'Aguda\", 'tracktype': 'grade1'}"
"Camí de Sant Bartomeu"	"Camí de Sant Bartomeu"							"way"	" 305507990"		"{'highway': 'unclassified', 'maxspeed': '40', 'name': 'Camí de Sant Bartomeu'}"
"Camí de Sant Pere"	"Camí de Sant Pere"							"way"	" 824927588"		"{'highway': 'unclassified', 'name': 'Camí de Sant Pere'}"
"Camí de Valldans"	"Camí de Valldans"							"way"	" 170350442"		"{'highway': 'unclassified', 'name': 'Camí de Valldans'}"
"Camí de Valldans"	"Camí de Valldans"							"way"	" 170350426"		"{'highway': 'unclassified', 'name': 'Camí de Valldans', 'surface': 'asphalt'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	"1008119258"		"{'highway': 'residential', 'name': 'Camí del Cementiri', 'oneway': 'yes'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 170458248"		"{'highway': 'residential', 'name': 'Camí del Cementiri'}"
"camí del riu"	"camí del riu"							"way"	" 170452862"		"{'highway': 'unclassified', 'name': 'camí del riu'}"
"Camí del Serradal"	"Camí del Serradal"							"way"	" 192494329"		"{'highway': 'unclassified', 'name': 'Camí del Serradal'}"
"Camí del Tossal"	"Camí del Tossal"							"node"	"1241686675"		"{'name': 'Camí del Tossal', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Camí del Tossal"	"Camí del Tossal"							"way"	" 305508003"		"{'highway': 'residential', 'name': 'Camí del Tossal'}"
"Camí del Tossal"	"Camí del Tossal"							"way"	" 305507994"		"{'highway': 'unclassified', 'maxspeed': '40', 'name': 'Camí del Tossal'}"
"Camí dels Mallols"	"Camí dels Mallols"							"way"	" 170452866"		"{'highway': 'track', 'name': 'Camí dels Mallols', 'surface': 'ground', 'tracktype': 'grade2'}"
"Camí dels Mallols"	"Camí dels Mallols"							"way"	" 753407324"		"{'highway': 'residential', 'name': 'Camí dels Mallols'}"
