"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Porrera"	"Ajuntament de Porrera"							"way"	" 884054369"		"{'amenity': 'townhall', 'building': 'public', 'building:levels': '3', 'name': 'Ajuntament de Porrera'}"
"Bosc de les Toloses"	"Bosc de les Toloses"							"node"	"1241791275"		"{'name': 'Bosc de les Toloses', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc del Canut"	"Bosc del Canut"							"node"	"1241772551"		"{'name': 'Bosc del Canut', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas d'en Perí"	"Mas d'en Perí"							"way"	" 503507653"		"{'building': 'yes', 'name': \"Mas d'en Perí\", 'place': 'isolated_dwelling'}"
"Mas d'en Pubill"	"Mas d'en Pubill"							"way"	"1006819468"		"{'building': 'yes', 'name': \"Mas d'en Pubill\"}"
"Mas de Ca l'Àngela"	"Mas de Ca l'Àngela"							"way"	"1066990977"		"{'building': 'yes', 'name': \"Mas de Ca l'Àngela\"}"
"Mas de l'Aubada"	"Mas de l'Aubada"							"way"	" 852782898"		"{'building': 'yes', 'name': \"Mas de l'Aubada\", 'tourism': 'wine_cellar'}"
"Mas de l'Aubada"	"Mas de l'Aubada"							"way"	" 852782899"		"{'building': 'yes', 'name': \"Mas de l'Aubada\", 'tourism': 'wine_cellar'}"
"Mas del Licor"	"Mas del Licor"							"node"	"9288864303"		"{'historic': 'ruins', 'name': 'Mas del Licor'}"
"Mas del Pepo"	"Mas del Pepo"							"way"	" 749263041"		"{'building': 'ruins', 'name': 'Mas del Pepo'}"
"Mas del Perxet"	"Mas del Perxet"							"way"	" 749263045"		"{'building': 'yes', 'name': 'Mas del Perxet'}"
"Mas del Quico de la Rosa"	"Mas del Quico de la Rosa"							"way"	" 749263042"		"{'name': 'Mas del Quico de la Rosa', 'place': 'isolated_dwelling'}"
"Mas dels Rocals"	"Mas dels Rocals"							"node"	"9288864314"		"{'historic': 'ruins', 'name': 'Mas dels Rocals'}"
"Riu de Cortiella"	"Riu de Cortiella"			"Riu de Cortiella, riu de Cortiella"	"Riu de Cortiella"	"watercourse"	"Q20108792"	"way"	" 182927748"		"{'name': 'Riu de Cortiella', 'waterway': 'river', 'wikidata': 'Q20108792', 'wikipedia': 'ca:Riu de Cortiella'}"
"Riu de Siurana"	"Riu de Siurana"			"Siurana (riu), riu de Siurana, Riu Siurana, Riu de Siurana"	"Siurana (riu)"	"river"	"Q9072124"	"way"	" 375122429"		"{'name': 'Riu de Siurana', 'waterway': 'river', 'wikidata': 'Q9072124', 'wikipedia': 'ca:Riu de Siurana'}"
