"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge R.E.N.F.E."	"Passatge R.E.N.F.E."							"way"	" 86453656"		"{'highway': 'steps', 'name': 'Passatge R.E.N.F.E.'}"
"Passatge RENFE"	"Passatge RENFE"							"way"	" 86453658"		"{'highway': 'residential', 'name': 'Passatge RENFE', 'oneway': 'yes'}"
"Passeig de l'Església"	"Passeig de l'Església"							"way"	"189246567"		"{'highway': 'steps', 'incline': 'down', 'name': \"Passeig de l'Església\"}"
"Passeig de l'Església"	"Passeig de l'Església"							"way"	"189246568"		"{'highway': 'living_street', 'name': \"Passeig de l'Església\"}"
"Passeig de Sardana"	"Passeig de Sardana"							"way"	" 76411521"		"{'highway': 'living_street', 'name': 'Passeig de Sardana', 'oneway': 'no', 'surface': 'asphalt'}"
"Passeig Enrique Granados"	"Passeig Enrique Granados"							"way"	" 38103280"		"{'highway': 'residential', 'name': 'Passeig Enrique Granados', 'oneway': 'yes', 'surface': 'paved'}"
"Passeig Enrique Granados"	"Passeig Enrique Granados"							"way"	" 86440209"		"{'highway': 'living_street', 'name': 'Passeig Enrique Granados', 'narrow': 'yes', 'oneway': 'yes'}"
"Passeig Enrique Granados"	"Passeig Enrique Granados"							"way"	"745318808"		"{'highway': 'residential', 'maxheight:physical': '3.5', 'name': 'Passeig Enrique Granados', 'oneway': 'yes', 'surface': 'paved'}"
"Passeig Marítim"	"Passeig Marítim"							"way"	"177133154"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Passeig Marítim', 'surface': 'paved'}"
"Passeig Migdia"	"Passeig Migdia"							"way"	"164389576"		"{'highway': 'living_street', 'name': 'Passeig Migdia'}"
