"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Castelltort"	"Camí de Castelltort"							"way"	" 587872231"		"{'highway': 'track', 'name': 'Camí de Castelltort'}"
"Camí de la Bassa"	"Camí de la Bassa"							"way"	" 372504698"		"{'highway': 'living_street', 'name': 'Camí de la Bassa'}"
"Camí de la Guàrdia"	"Camí de la Guàrdia"							"way"	" 277375733"		"{'highway': 'unclassified', 'name': 'Camí de la Guàrdia', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí de Vilamajor"	"Camí de Vilamajor"							"way"	" 180312720"		"{'highway': 'unclassified', 'name': 'Camí de Vilamajor'}"
"Camí del Castell"	"Camí del Castell"							"way"	" 277375681"		"{'highway': 'unclassified', 'name': 'Camí del Castell', 'surface': 'asphalt', 'tracktype': 'grade1'}"
"Camí del Graell"	"Camí del Graell"							"way"	" 277373343"		"{'highway': 'track', 'name': 'Camí del Graell'}"
"Carrer Bens"	"Carrer Bens"							"way"	" 159523784"		"{'highway': 'living_street', 'name': 'Carrer Bens'}"
"Carrer de Baix"	"Carrer de Baix"							"way"	" 372504700"		"{'highway': 'living_street', 'name': 'Carrer de Baix'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	" 159523756"		"{'highway': 'living_street', 'name': 'Carrer de Dalt'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	" 159523774"		"{'highway': 'living_street', 'name': 'Carrer de Dalt'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	" 382198986"		"{'highway': 'living_street', 'layer': '-1', 'name': 'Carrer de Dalt', 'tunnel': 'building_passage'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	" 372504701"		"{'highway': 'living_street', 'name': 'Carrer de Dalt'}"
"Carrer de Dalt"	"Carrer de Dalt"							"way"	" 372504707"		"{'highway': 'residential', 'name': 'Carrer de Dalt'}"
"Carrer de la Mota"	"Carrer de la Mota"							"way"	" 159523770"		"{'highway': 'living_street', 'name': 'Carrer de la Mota'}"
"Carrer de les Voltes"	"Carrer de les Voltes"							"way"	" 382198875"		"{'highway': 'living_street', 'layer': '-1', 'name': 'Carrer de les Voltes', 'tunnel': 'building_passage'}"
"Carrer de les Voltes"	"Carrer de les Voltes"							"way"	" 159523788"		"{'highway': 'living_street', 'name': 'Carrer de les Voltes'}"
"Carrer de les Voltes"	"Carrer de les Voltes"							"way"	" 382198985"		"{'highway': 'living_street', 'name': 'Carrer de les Voltes'}"
"Carrer de Sant Pons"	"Carrer de Sant Pons"							"way"	" 159523783"		"{'highway': 'living_street', 'name': 'Carrer de Sant Pons'}"
"Carrer del Call"	"Carrer del Call"							"way"	" 159523777"		"{'highway': 'living_street', 'name': 'Carrer del Call'}"
"Carrer del Castell"	"Carrer del Castell"							"way"	" 159523791"		"{'highway': 'living_street', 'name': 'Carrer del Castell'}"
"Carrer del Portal de la Pau"	"Carrer del Portal de la Pau"							"way"	" 372504702"		"{'highway': 'living_street', 'name': 'Carrer del Portal de la Pau'}"
"Carrer dels Horts"	"Carrer dels Horts"							"way"	" 159523799"		"{'highway': 'living_street', 'name': 'Carrer dels Horts'}"
"Carrer Major"	"Carrer Major"							"way"	" 372504699"		"{'highway': 'living_street', 'name': 'Carrer Major'}"
"Parc Astronòmic de Pujalt"	"Parc Astronòmic de Pujalt"							"node"	"8752451706"		"{'name': 'Parc Astronòmic de Pujalt', 'tourism': 'museum'}"
"Plaça de Dalt"	"Plaça de Dalt"							"way"	" 372504703"		"{'highway': 'living_street', 'name': 'Plaça de Dalt'}"
"Plaça de Dalt"	"Plaça de Dalt"							"way"	" 382198877"		"{'area:highway': 'living_street', 'name': 'Plaça de Dalt'}"
"Plaça de l'Arbre"	"Plaça de l'Arbre"							"way"	" 372504704"		"{'area': 'yes', 'highway': 'pedestrian', 'layer': '1', 'name': \"Plaça de l'Arbre\"}"
"Plaça de l'Església"	"Plaça de l'Església"							"relation"	"   3128384"		"{'highway': 'residential', 'name': \"Plaça de l'Església\", 'type': 'multipolygon'}"
"Plaça del Portal"	"Plaça del Portal"							"way"	" 372504706"		"{'highway': 'living_street', 'name': 'Plaça del Portal'}"
"Plaça del Portal"	"Plaça del Portal"							"way"	" 159523785"		"{'highway': 'living_street', 'name': 'Plaça del Portal'}"
"Plaça del Portal"	"Plaça del Portal"							"way"	" 372504705"		"{'highway': 'residential', 'name': 'Plaça del Portal'}"
"Plaça Sant Andreu"	"Plaça Sant Andreu"							"way"	" 228889304"		"{'highway': 'residential', 'name': 'Plaça Sant Andreu'}"
"Plaça Sant Andreu"	"Plaça Sant Andreu"							"way"	" 571378189"		"{'highway': 'unclassified', 'name': 'Plaça Sant Andreu'}"
"Plaça Urbano Izquierdo"	"Plaça Urbano Izquierdo"							"way"	" 382198876"		"{'area': 'yes', 'highway': 'living_street', 'name': 'Plaça Urbano Izquierdo'}"
