"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Biel"	"Cal Biel"							"way"	"154549645"		"{'building': 'yes', 'name': 'Cal Biel'}"
"Cal Caseta"	"Cal Caseta"							"node"	"8234194184"		"{'name': 'Cal Caseta', 'place': 'isolated_dwelling'}"
"Cal Comallonga"	"Cal Comallonga"							"way"	"254912989"		"{'addr:city': 'Rajadell', 'building': 'yes', 'building:levels': '2', 'name': 'Cal Comallonga'}"
"Cal Cortès"	"Cal Cortès"							"node"	"3426978992"		"{'name': 'Cal Cortès', 'place': 'isolated_dwelling'}"
"Cal Damià"	"Cal Damià"							"way"	"254912965"		"{'building': 'yes', 'building:levels': '1', 'name': 'Cal Damià'}"
"Cal Daurell (ruïnes)"	"Cal Daurell (ruïnes)"							"way"	"1019207289"		"{'addr:city': 'Rajadell', 'building': 'house', 'building:levels': '0', 'name': 'Cal Daurell (ruïnes)'}"
"Cal Favó"	"Cal Favó"							"way"	"154549648"		"{'building': 'yes', 'name': 'Cal Favó'}"
"Cal Jan del Bosc"	"Cal Jan del Bosc"							"way"	"154549654"		"{'building': 'yes', 'name': 'Cal Jan del Bosc'}"
"Cal Maçana"	"Cal Maçana"							"node"	"8234236056"		"{'name': 'Cal Maçana', 'place': 'isolated_dwelling'}"
"Cal Magdalena"	"Cal Magdalena"							"node"	"5187918690"		"{'name': 'Cal Magdalena', 'place': 'isolated_dwelling'}"
"Cal Mateu"	"Cal Mateu"							"way"	"1055012701"		"{'addr:city': 'Rajadell', 'building': 'house', 'name': 'Cal Mateu'}"
"Cal Mingo"	"Cal Mingo"							"way"	"154758934"		"{'building': 'yes', 'name': 'Cal Mingo'}"
"Cal Miralles"	"Cal Miralles"							"node"	"3426981593"		"{'name': 'Cal Miralles', 'place': 'isolated_dwelling'}"
"Cal Montfort"	"Cal Montfort"							"node"	"4285907124"		"{'building': 'yes', 'name': 'Cal Montfort', 'place': 'isolated_dwelling'}"
"Cal Morros"	"Cal Morros"							"node"	"3426981594"		"{'name': 'Cal Morros', 'place': 'isolated_dwelling'}"
"Cal Pau"	"Cal Pau"							"node"	"3426981595"		"{'name': 'Cal Pau', 'place': 'isolated_dwelling'}"
"Cal Pere Coix"	"Cal Pere Coix"							"node"	"4847382403"		"{'name': 'Cal Pere Coix', 'place': 'isolated_dwelling'}"
"Cal Peric (ruïnes)"	"Cal Peric (ruïnes)"							"way"	"1055010314"		"{'addr:city': 'Rajadell', 'building': 'house', 'name': 'Cal Peric (ruïnes)'}"
"Cal Piques"	"Cal Piques"							"way"	"154549659"		"{'building': 'yes', 'name': 'Cal Piques'}"
"Cal Planell"	"Cal Planell"							"node"	"3506868046"		"{'name': 'Cal Planell', 'place': 'isolated_dwelling'}"
"Cal Roig"	"Cal Roig"							"way"	"1055012531"		"{'addr:city': 'Rajadell', 'building': 'house', 'name': 'Cal Roig'}"
"Cal Sebastià"	"Cal Sebastià"							"way"	"154758941"		"{'building': 'yes', 'name': 'Cal Sebastià'}"
"Cal Tatxer"	"Cal Tatxer"							"node"	"4847382405"		"{'name': 'Cal Tatxer', 'place': 'isolated_dwelling'}"
"Cal Torre del Forn"	"Cal Torre del Forn"							"way"	"194144368"		"{'building': 'yes', 'name': 'Cal Torre del Forn'}"
"Cal Vila"	"Cal Vila"							"node"	"4847382398"		"{'name': 'Cal Vila', 'place': 'isolated_dwelling'}"
"Cal Voliac"	"Cal Voliac"							"way"	"762296357"		"{'addr:city': 'Rajadell', 'addr:housenumber': '32', 'addr:postcode': '08256', 'addr:street': 'Carrer de Montserrat', 'building': 'house', 'building:levels': '1', 'height': '4', 'name': 'Cal Voliac'}"
"Cal Xic"	"Cal Xic"							"node"	"4285907125"		"{'building': 'yes', 'name': 'Cal Xic', 'place': 'isolated_dwelling'}"
"Camp de la font del Rauric"	"Camp de la font del Rauric"							"node"	"6514737081"		"{'name': 'Camp de la font del Rauric', 'place': 'locality'}"
"Obaga de Barquets"	"Obaga de Barquets"							"node"	"6514737082"		"{'name': 'Obaga de Barquets', 'place': 'locality'}"
"Obaga de Cal Maçana"	"Obaga de Cal Maçana"							"node"	"8483199984"		"{'name': 'Obaga de Cal Maçana', 'place': 'locality'}"
"Obaga de Cal Torre"	"Obaga de Cal Torre"							"node"	"7305505749"		"{'name': 'Obaga de Cal Torre', 'place': 'locality'}"
"Obaga del Mas del Bosc"	"Obaga del Mas del Bosc"							"node"	"1241555024"		"{'name': 'Obaga del Mas del Bosc', 'place': 'locality'}"
"Obaga del Rauric"	"Obaga del Rauric"							"node"	"6514736792"		"{'name': 'Obaga del Rauric', 'place': 'locality'}"
"Obaga dels Peric"	"Obaga dels Peric"							"node"	"7318166523"		"{'name': 'Obaga dels Peric', 'place': 'locality'}"
