"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Renau"	"Ajuntament de Renau"							"way"	" 870500441"		"{'amenity': 'townhall', 'building': 'public', 'name': 'Ajuntament de Renau'}"
"Bosc de Salt de Roca"	"Bosc de Salt de Roca"							"way"	"  94060521"		"{'landuse': 'forest', 'leaf_type': 'needleleaved', 'name': 'Bosc de Salt de Roca', 'source': 'EU CORINE land cover 2006'}"
"bosc del Fargues"	"bosc del Fargues"							"node"	"4242918030"		"{'name': 'bosc del Fargues', 'place': 'locality'}"
"Castell de Peralta"	"Castell de Peralta"							"node"	"2684450787"		"{'historic': 'castle', 'name': 'Castell de Peralta'}"
"Mas de l'Aleix"	"Mas de l'Aleix"							"node"	"4242918029"		"{'building': 'yes', 'name': \"Mas de l'Aleix\"}"
"Mas de Pujals"	"Mas de Pujals"							"node"	"4242918031"		"{'name': 'Mas de Pujals', 'place': 'isolated_dwelling'}"
"Mas de Taret"	"Mas de Taret"							"node"	"6335092584"		"{'name': 'Mas de Taret', 'place': 'isolated_dwelling'}"
"Mas dels Set Pins"	"Mas dels Set Pins"							"node"	"4863812023"		"{'name': 'Mas dels Set Pins', 'place': 'isolated_dwelling'}"
"Riu Gaià"	"Riu Gaià"							"way"	" 351917501"		"{'name': 'Riu Gaià', 'waterway': 'river'}"
