"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Rec del Molí"	"Rec del Molí"							"way"	"445512058"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512042"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512045"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512049"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512052"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512054"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512039"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512063"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512040"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512055"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512048"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512062"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512059"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512043"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512056"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512047"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512044"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512046"		"{'name': 'Rec del Molí', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512060"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512041"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"445512061"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
"Rec del Molí"	"Rec del Molí"							"way"	"750226160"		"{'name': 'Rec del Molí', 'waterway': 'stream'}"
