"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de les Eres"	"Camí de les Eres"							"way"	"229439362"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Camí de les Eres'}"
"Camí de Sant Pere"	"Camí de Sant Pere"							"way"	" 85675613"	"name:es=camino de San Pedro"	"{'brp_access': '3', 'highway': 'track', 'maxspeed': '20', 'name': 'Camí de Sant Pere', 'name:es': 'camino de San Pedro', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '4'}"
"Camí Fortià - Castelló Nou"	"Camí Fortià - Castelló Nou"							"way"	"220025203"		"{'brp_access': '1', 'highway': 'track', 'maxspeed': '20', 'name': 'Camí Fortià - Castelló Nou', 'smoothness': 'intermediate', 'surface': 'compacted', 'tracktype': 'grade2', 'width': '5'}"
"Camí vell de Fortià"	"Camí vell de Fortià"							"way"	" 85680546"		"{'highway': 'unclassified', 'maxspeed': '20', 'name': 'Camí vell de Fortià', 'source': 'ICGC', 'source:date': '2015'}"
"Carrer de l'Empordà"	"Carrer de l'Empordà"							"way"	"229439360"		"{'highway': 'residential', 'maxspeed': '20', 'name': \"Carrer de l'Empordà\", 'narrow': 'yes'}"
"Carrer de la Plaça Vella"	"Carrer de la Plaça Vella"							"way"	"742408122"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de la Plaça Vella', 'narrow': 'yes'}"
"Carrer de la Plaça Vella"	"Carrer de la Plaça Vella"							"way"	" 85675032"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de la Plaça Vella'}"
"Carrer de la Riera"	"Carrer de la Riera"							"way"	"229439358"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de la Riera', 'narrow': 'yes'}"
"Carrer de la Tramuntana"	"Carrer de la Tramuntana"							"way"	"229439352"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de la Tramuntana', 'noexit': 'yes'}"
"Carrer de Masmueca"	"Carrer de Masmueca"							"way"	" 32470864"		"{'highway': 'residential', 'lanes': '2', 'lanes:backward': '1', 'lanes:forward': '1', 'maxspeed': '30', 'name': 'Carrer de Masmueca'}"
"Carrer de Masmueca"	"Carrer de Masmueca"							"way"	"229439356"		"{'highway': 'residential', 'lanes': '1', 'maxspeed': '20', 'name': 'Carrer de Masmueca'}"
"Carrer de Sant Pere"	"Carrer de Sant Pere"							"way"	" 85676430"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de Sant Pere'}"
"Carrer de Siurana"	"Carrer de Siurana"							"way"	"415162938"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer de Siurana'}"
"Carrer del Delme"	"Carrer del Delme"							"way"	" 85675033"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer del Delme', 'narrow': 'yes'}"
"Carrer del Mar"	"Carrer del Mar"							"way"	" 85675031"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer del Mar'}"
"Carrer Nou"	"Carrer Nou"							"way"	" 85632038"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer Nou'}"
"Plaça del Joc de la Pilota"	"Plaça del Joc de la Pilota"							"way"	"973100080"		"{'name': 'Plaça del Joc de la Pilota', 'place': 'square'}"
"Plaça del Joc de la Pilota"	"Plaça del Joc de la Pilota"							"way"	" 85632037"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Plaça del Joc de la Pilota'}"
"Plaça del Joc de la Pilota"	"Plaça del Joc de la Pilota"							"way"	"415162942"		"{'area': 'yes', 'highway': 'pedestrian', 'layer': '1', 'name': 'Plaça del Joc de la Pilota', 'source': 'PNOA'}"
"Plaça Major"	"Plaça Major"							"way"	"415162941"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaça Major'}"
