"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Roses"	"Ajuntament de Roses"							"node"	"1706714264"		"{'amenity': 'townhall', 'contact:phone': '+34 972 25 24 00', 'contact:website': 'https://www.roses.cat/', 'name': 'Ajuntament de Roses'}"
"Castell de la Trinitat"	"Castell de la Trinitat"							"way"	" 398510615"		"{'amenity': 'parking', 'name': 'Castell de la Trinitat'}"
"Castell del Joncar B"	"Castell del Joncar B"							"way"	" 847263447"		"{'addr:city': 'Roses', 'addr:housenumber': '25B', 'addr:street': 'Passeig Maritim', 'building': 'apartments', 'name': 'Castell del Joncar B'}"
"Castell del Joncar C"	"Castell del Joncar C"							"way"	" 847263448"		"{'addr:city': 'Roses', 'addr:housenumber': '25C', 'addr:street': 'Passeig Maritim', 'building': 'apartments', 'name': 'Castell del Joncar C'}"
"Mas d'en Berta"	"Mas d'en Berta"			"Mas d'en Berta, Mas de Can Berta"	"Mas d'en Berta"	"masia"	"Q18004389"	"way"	" 978514793"		"{'building': 'yes', 'name': \"Mas d'en Berta\", 'ruins': 'yes', 'wikidata': 'Q18004389', 'wikipedia': \"ca:Mas d'en Berta\"}"
"Mas d'en Coll"	"Mas d'en Coll"			"Mas d'en Coll"	"Mas d'en Coll"	"masia"	"Q18004367"	"way"	" 206566008"		"{'building': 'yes', 'name': \"Mas d'en Coll\", 'wikidata': 'Q18004367', 'wikipedia': \"ca:Mas d'en Coll\"}"
"Mas de la Casa Cremada"	"Mas de la Casa Cremada"							"way"	" 132928933"		"{'building': 'yes', 'name': 'Mas de la Casa Cremada', 'ruins': 'yes'}"
"Mas de la Llobatera"	"Mas de la Llobatera"			"Mas de la Llobatera"		"masia"	"Q107213529"	"way"	" 283813754"		"{'building': 'yes', 'name': 'Mas de la Llobatera', 'ruins': 'yes', 'wikidata': 'Q107213529'}"
"Mas de la Torre del Sastre"	"Mas de la Torre del Sastre"							"node"	"5626550441"		"{'name': 'Mas de la Torre del Sastre', 'place': 'isolated_dwelling'}"
"Mas de Pairet"	"Mas de Pairet"			"Mas Pairet (Roses), Mas Pairet"	"Mas Pairet (Roses)"	"masia"	"Q18004552"	"way"	" 620166074"		"{'building': 'yes', 'name': 'Mas de Pairet', 'wikidata': 'Q18004552', 'wikipedia': 'ca:Mas Pairet (Roses)'}"
"Mas de Puigmirat"	"Mas de Puigmirat"			"Mas de Puigmirat"		"masia"	"Q107213532"	"way"	" 206566007"		"{'building': 'yes', 'name': 'Mas de Puigmirat', 'ruins': 'yes', 'wikidata': 'Q107213532'}"
"Mas Palou"	"Mas Palou"							"node"	"2223233873"		"{'amenity': 'restaurant', 'name': 'Mas Palou'}"
"Platja de Almadrava"	"Platja de Almadrava"							"relation"	"   8306551"		"{'name': 'Platja de Almadrava', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Bonifaci"	"Platja de Bonifaci"							"relation"	"   8307438"		"{'name': 'Platja de Bonifaci', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Calitjàs"	"Platja de Calitjàs"							"relation"	"   8308073"		"{'name': 'Platja de Calitjàs', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Canyelles petites"	"Platja de Canyelles petites"			"Platja de Canyelles Petites, Cala de Canyelles Petites"		"golden sand beach"	"Q24004120"	"relation"	"   8306550"		"{'access': 'yes', 'name': 'Platja de Canyelles petites', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon', 'wikidata': 'Q24004120'}"
"Platja de la Llumenera"	"Platja de la Llumenera"							"relation"	"   8308071"		"{'name': 'Platja de la Llumenera', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de la Murtra"	"Platja de la Murtra"			"Platja de la Murtra, Cala Murtra"		"beach"	"Q24021775"	"relation"	"   8308060"		"{'name': 'Platja de la Murtra', 'natural': 'beach', 'nudism': 'yes', 'supervised': 'no', 'type': 'multipolygon', 'wikidata': 'Q24021775'}"
"Platja de la Pelosa"	"Platja de la Pelosa"			"Platja de la Pelosa, Cala Pelosa"		"golden sand beach"	"Q24021773"	"relation"	"   8308072"		"{'name': 'Platja de la Pelosa', 'natural': 'beach', 'type': 'multipolygon', 'wikidata': 'Q24021773'}"
"Platja de la Punta"	"Platja de la Punta"			"Platja de la Punta, Platja de la Perola"		"urban beach"	"Q24021778"	"relation"	"   8307313"		"{'access': 'yes', 'name': 'Platja de la Punta', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon', 'wikidata': 'Q24021778'}"
