"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carreró de La Vailet"	"Carreró de La Vailet"							"way"	" 134120883"		"{'highway': 'living_street', 'name': 'Carreró de La Vailet'}"
"Passatge d'Irena Sendler"	"Passatge d'Irena Sendler"							"way"	" 752858639"		"{'highway': 'pedestrian', 'name': \"Passatge d'Irena Sendler\"}"
"Passatge de Ca la Nor"	"Passatge de Ca la Nor"							"way"	" 132737754"		"{'highway': 'living_street', 'name': 'Passatge de Ca la Nor', 'tunnel': 'building_passage'}"
"Passatge de Ca la Nor"	"Passatge de Ca la Nor"							"way"	" 423399310"		"{'highway': 'living_street', 'name': 'Passatge de Ca la Nor', 'oneway': 'yes'}"
"Passatge de Ca la Nor"	"Passatge de Ca la Nor"							"way"	" 423399311"		"{'highway': 'steps', 'name': 'Passatge de Ca la Nor', 'oneway': 'yes'}"
"Passatge de Ca la Nor"	"Passatge de Ca la Nor"							"way"	" 423399989"		"{'highway': 'living_street', 'name': 'Passatge de Ca la Nor'}"
"Passatge de Clara Campoamor"	"Passatge de Clara Campoamor"							"way"	" 539764466"		"{'highway': 'pedestrian', 'name': 'Passatge de Clara Campoamor'}"
"Passatge de l'Empordà"	"Passatge de l'Empordà"							"way"	" 527981983"		"{'access': 'no', 'highway': 'living_street', 'name': \"Passatge de l'Empordà\", 'psv': 'yes'}"
"Passatge de l'Empordà"	"Passatge de l'Empordà"							"way"	" 527981982"		"{'highway': 'living_street', 'name': \"Passatge de l'Empordà\"}"
"Passatge de les Cultures"	"Passatge de les Cultures"							"way"	" 133848940"		"{'highway': 'residential', 'name': 'Passatge de les Cultures', 'oneway': 'yes'}"
"Passatge de Montserrat"	"Passatge de Montserrat"							"way"	" 134120882"		"{'access': 'yes', 'highway': 'living_street', 'name': 'Passatge de Montserrat', 'psv': 'yes', 'vehicle': 'private'}"
"Passatge de Ponent"	"Passatge de Ponent"							"way"	" 134113010"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Passatge de Ponent', 'surface': 'asphalt'}"
"Passatge de Sa Dragonera"	"Passatge de Sa Dragonera"							"way"	" 123719526"		"{'highway': 'residential', 'name': 'Passatge de Sa Dragonera'}"
"Passatge de Sant Pere més Alt"	"Passatge de Sant Pere més Alt"							"way"	" 666508478"		"{'highway': 'service', 'lanes': '1', 'name': 'Passatge de Sant Pere més Alt', 'service': 'alley'}"
"Passatge de Sant Pere més Alt"	"Passatge de Sant Pere més Alt"							"way"	" 273997745"		"{'cycleway': 'shared', 'highway': 'service', 'lanes': '1', 'name': 'Passatge de Sant Pere més Alt', 'service': 'alley'}"
"Passatge de Sant Pere més Alt"	"Passatge de Sant Pere més Alt"							"way"	" 666508479"		"{'highway': 'service', 'lanes': '1', 'name': 'Passatge de Sant Pere més Alt', 'service': 'alley'}"
"Passatge de Sant Pere més Alt"	"Passatge de Sant Pere més Alt"							"way"	" 666508480"		"{'cycleway': 'shared', 'highway': 'service', 'lanes': '1', 'name': 'Passatge de Sant Pere més Alt', 'service': 'alley', 'tunnel': 'building_passage'}"
"Passatge de Sant Pere més Alt"	"Passatge de Sant Pere més Alt"							"way"	" 666508481"		"{'highway': 'service', 'lanes': '1', 'name': 'Passatge de Sant Pere més Alt', 'service': 'alley', 'tunnel': 'building_passage'}"
"Passatge de Santa Teresa"	"Passatge de Santa Teresa"							"way"	" 129318483"		"{'highway': 'residential', 'name': 'Passatge de Santa Teresa', 'oneway': 'yes'}"
"Passatge del Solsonès"	"Passatge del Solsonès"							"way"	"1086986056"		"{'highway': 'residential', 'name': 'Passatge del Solsonès', 'oneway': 'yes'}"
"Passatge Escanilla"	"Passatge Escanilla"							"way"	" 134120887"		"{'highway': 'living_street', 'name': 'Passatge Escanilla', 'oneway': 'yes'}"
"Passeig de l'Ateneu Familiar"	"Passeig de l'Ateneu Familiar"							"way"	" 539764469"		"{'highway': 'pedestrian', 'name': \"Passeig de l'Ateneu Familiar\"}"
"Passeig de l'Ateneu Familiar"	"Passeig de l'Ateneu Familiar"							"way"	" 539764470"		"{'highway': 'steps', 'name': \"Passeig de l'Ateneu Familiar\"}"
"Passeig de les Mimoses"	"Passeig de les Mimoses"							"way"	" 528119997"		"{'highway': 'residential', 'name': 'Passeig de les Mimoses', 'oneway': 'no', 'parking:lane:both': 'parallel', 'sidewalk': 'both', 'source': 'Bing'}"
"Passeig de les Mimoses"	"Passeig de les Mimoses"							"way"	" 129317587"		"{'highway': 'residential', 'name': 'Passeig de les Mimoses', 'oneway': 'yes'}"
"Passeig de les Mimoses"	"Passeig de les Mimoses"							"way"	" 426561216"		"{'highway': 'residential', 'name': 'Passeig de les Mimoses', 'oneway': 'no', 'parking:lane:both': 'parallel', 'sidewalk': 'both', 'source': 'Bing'}"
"Passeig President Josep Tarradellas"	"Passeig President Josep Tarradellas"							"way"	" 129318068"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig President Josep Tarradellas'}"
"Rotonda La Parellada"	"Rotonda La Parellada"							"way"	"  22712026"		"{'highway': 'trunk_link', 'junction': 'circular', 'lanes': '2', 'maxspeed': '40', 'name': 'Rotonda La Parellada', 'oneway': 'yes'}"
"Rotonda La Parellada"	"Rotonda La Parellada"							"way"	" 441228483"		"{'highway': 'trunk_link', 'junction': 'circular', 'lanes': '2', 'maxspeed': '40', 'name': 'Rotonda La Parellada', 'oneway': 'yes'}"
"Rotonda La Parellada"	"Rotonda La Parellada"							"way"	" 527853255"		"{'highway': 'trunk_link', 'junction': 'circular', 'lanes': '3', 'maxspeed': '40', 'name': 'Rotonda La Parellada', 'oneway': 'yes'}"
"Rotonda La Parellada"	"Rotonda La Parellada"							"way"	" 527853256"		"{'highway': 'trunk_link', 'junction': 'circular', 'lanes': '1', 'maxspeed': '40', 'name': 'Rotonda La Parellada', 'oneway': 'yes'}"
"Rotonda La Parellada"	"Rotonda La Parellada"							"way"	" 539099895"		"{'highway': 'trunk_link', 'junction': 'circular', 'lanes': '2', 'maxspeed': '40', 'name': 'Rotonda La Parellada', 'oneway': 'yes'}"
"Rotonda La Parellada"	"Rotonda La Parellada"							"way"	" 558100703"		"{'highway': 'trunk_link', 'junction': 'circular', 'lanes': '2', 'maxspeed': '40', 'name': 'Rotonda La Parellada', 'oneway': 'yes'}"
