"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Barata"	"Can Barata"							"way"	"278021827"		"{'building': 'yes', 'name': 'Can Barata'}"
"Can Barata"	"Can Barata"							"node"	"4465138324"		"{'name': 'Can Barata', 'place': 'neighbourhood'}"
"Can Barba"	"Can Barba"			"Can Barba"		"masia"	"Q73417139"	"way"	"321783084"		"{'building': 'yes', 'name': 'Can Barba', 'wikidata': 'Q73417139', 'wikimedia_commons': 'Category:Can_Barba'}"
"Can Barba"	"Can Barba"			"Can Barba"		"masia"	"Q73417139"	"way"	"321783083"		"{'building': 'yes', 'name': 'Can Barba', 'wikidata': 'Q73417139', 'wikimedia_commons': 'Category:Can_Barba'}"
"Can Bell"	"Can Bell"							"way"	"815748210"		"{'building': 'yes', 'name': 'Can Bell'}"
"Can Borrell"	"Can Borrell"							"way"	"42749448"		"{'access': 'customers', 'amenity': 'parking', 'fee': 'no', 'name': 'Can Borrell', 'parking': 'surface'}"
"Can Borrell"	"Can Borrell"							"node"	"7904344622"		"{'name': 'Can Borrell', 'place': 'locality'}"
"Can Cadena- Minyons Escoles i Guies de Catalunya"	"Can Cadena- Minyons Escoles i Guies de Catalunya"							"way"	"127885928"		"{'addr:housename': 'Rambla Mossen Jacint Verdaguer', 'addr:housenumber': '10', 'addr:street': 'Rambla de Mossèn Jacint Verdaguer', 'building': 'yes', 'name': 'Can Cadena- Minyons Escoles i Guies de Catalunya'}"
"Can Calders"	"Can Calders"							"node"	"1406189253"		"{'bus': 'yes', 'highway': 'bus_stop', 'local_ref': 'L6, L8', 'name': 'Can Calders', 'public_transport': 'stop_position'}"
"Can Castanyer"	"Can Castanyer"							"node"	"7628636259"		"{'name': 'Can Castanyer', 'place': 'isolated_dwelling'}"
"Can Castellví a Serra d'en Julià"	"Can Castellví a Serra d'en Julià"							"way"	"123158967"		"{'highway': 'track', 'name': \"Can Castellví a Serra d'en Julià\", 'ref': 'G04', 'source': 'bing', 'tracktype': 'grade2'}"
"Can Graells"	"Can Graells"							"way"	"312264131"		"{'historic': 'ruins', 'name': 'Can Graells'}"
"Can Graells"	"Can Graells"							"node"	"3471000283"		"{'ele': '220.9', 'man_made': 'survey_point', 'name': 'Can Graells', 'ref': '287121028'}"
"Can Llobet"	"Can Llobet"							"node"	"7578228007"		"{'name': 'Can Llobet', 'place': 'isolated_dwelling'}"
"Can Mallol"	"Can Mallol"							"way"	"767709666"		"{'building': 'yes', 'name': 'Can Mallol'}"
"Can Mallol"	"Can Mallol"							"way"	"813699108"		"{'access': 'private', 'highway': 'track', 'name': 'Can Mallol'}"
"Can Montmany"	"Can Montmany"							"way"	"891089466"		"{'name': 'Can Montmany', 'place': 'isolated_dwelling'}"
"Can Mora"	"Can Mora"							"node"	"5830716741"		"{'amenity': 'restaurant', 'name': 'Can Mora'}"
"Can Trabal"	"Can Trabal"							"node"	"1241562053"		"{'name': 'Can Trabal', 'place': 'locality'}"
"Coll de la Vinassa"	"Coll de la Vinassa"							"node"	"4439425327"		"{'ele': '467.6', 'name': 'Coll de la Vinassa', 'natural': 'saddle'}"
"Coll del Penitent"	"Coll del Penitent"							"node"	"9170121891"		"{'ele': '382.64', 'name': 'Coll del Penitent', 'natural': 'saddle'}"
"Font d'En Colom"	"Font d'En Colom"							"node"	"2705508423"		"{'bus': 'yes', 'highway': 'bus_stop', 'name': \"Font d'En Colom\", 'public_transport': 'stop_position', 'shelter': 'yes'}"
"Font de Can Barba"	"Font de Can Barba"			"font de Can Barba"		"spring"	"Q113148033"	"node"	"3285488333"		"{'drinking_water': 'no', 'name': 'Font de Can Barba', 'natural': 'spring', 'wikidata': 'Q113148033', 'wikimedia_commons': 'Category:Font_de_Can_Barba_(Sant_Cugat_del_Vallès)'}"
"Font de l'Estrangulador"	"Font de l'Estrangulador"							"node"	"5787401744"		"{'name': \"Font de l'Estrangulador\", 'natural': 'spring'}"
"Font de la Rabassada"	"Font de la Rabassada"							"node"	"4925787597"		"{'name': 'Font de la Rabassada', 'natural': 'spring'}"
"Font de la Salamandra"	"Font de la Salamandra"							"node"	"989000060"		"{'intermittent': 'yes', 'name': 'Font de la Salamandra', 'natural': 'spring'}"
"Font de Sant Sever"	"Font de Sant Sever"							"node"	"3908538571"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'name': 'Font de Sant Sever', 'natural': 'spring'}"
"Font de Sant Vicenç del Bosc"	"Font de Sant Vicenç del Bosc"							"node"	"1550344383"		"{'name': 'Font de Sant Vicenç del Bosc', 'natural': 'spring'}"
"Font del Bon Pastor"	"Font del Bon Pastor"							"node"	"6508036891"		"{'name': 'Font del Bon Pastor', 'natural': 'spring'}"
"Font del Camp del Miracle"	"Font del Camp del Miracle"							"node"	"840087503"		"{'amenity': 'drinking_water', 'check_date': '2022-10-09', 'name': 'Font del Camp del Miracle'}"
