"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Nano"	"Cal Nano"							"node"	"2392501899"		"{'amenity': 'bar', 'name': 'Cal Nano'}"
"Cal Nano"	"Cal Nano"							"way"	"170713332"		"{'building': 'yes', 'name': 'Cal Nano', 'ruins': 'yes'}"
"Cal Pinotxo"	"Cal Pinotxo"							"way"	"165714732"		"{'building': 'house', 'name': 'Cal Pinotxo'}"
"Camp d'en Ralet"	"Camp d'en Ralet"							"node"	"1241598006"		"{'name': \"Camp d'en Ralet\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Escola Ardenya"	"Escola Ardenya"			"Escola Ardenya"		"Catalonia school"	"Q111283766"	"way"	"163065927"		"{'amenity': 'school', 'name': 'Escola Ardenya', 'ref': '17008018', 'wikidata': 'Q111283766'}"
"Escola de Vela"	"Escola de Vela"							"way"	"173926088"		"{'building': 'yes', 'name': 'Escola de Vela'}"
"Escola Gaziel"	"Escola Gaziel"			"Escola Gaziel"		"Catalonia school"	"Q111283651"	"way"	"163065926"	"name:etymology:wikidata=Q4895929"	"{'amenity': 'school', 'name': 'Escola Gaziel', 'name:etymology:wikidata': 'Q4895929', 'ref': '17003264', 'wikidata': 'Q111283651'}"
"Escola L'Estació"	"Escola L'Estació"			"Escola L'Estació"		"Catalonia school"	"Q111283732"	"way"	"163065928"		"{'amenity': 'school', 'name': \"Escola L'Estació\", 'ref': '17004682', 'wikidata': 'Q111283732'}"
"Escola Nàutica Sant Feliu"	"Escola Nàutica Sant Feliu"							"node"	"6604003062"		"{'amenity': 'prep_school', 'name': 'Escola Nàutica Sant Feliu'}"
