"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Carreró de Rovira"	"Carreró de Rovira"							"way"	"183447935"		"{'highway': 'pedestrian', 'name': 'Carreró de Rovira'}"
"Passatge d'en Jaumet"	"Passatge d'en Jaumet"							"way"	"183447971"		"{'name': \"Passatge d'en Jaumet\"}"
"Passatge de la Sala"	"Passatge de la Sala"							"way"	"183362995"		"{'highway': 'residential', 'name': 'Passatge de la Sala'}"
"Passatge de Sant Marçal"	"Passatge de Sant Marçal"							"way"	"183347897"		"{'highway': 'residential', 'name': 'Passatge de Sant Marçal'}"
"Passatge del Doctor Gravalosa"	"Passatge del Doctor Gravalosa"							"way"	"183447972"		"{'highway': 'pedestrian', 'name': 'Passatge del Doctor Gravalosa'}"
"Passatge del Montseny"	"Passatge del Montseny"							"way"	"183347898"		"{'highway': 'residential', 'name': 'Passatge del Montseny'}"
"Passatge del Pi"	"Passatge del Pi"							"way"	"183362997"		"{'highway': 'residential', 'name': 'Passatge del Pi'}"
"Passatge Tintorer"	"Passatge Tintorer"							"way"	"752678400"		"{'bicycle': 'permissive', 'highway': 'footway', 'horse': 'no', 'name': 'Passatge Tintorer', 'surface': 'asphalt'}"
"Passeig de la Font del Ferro"	"Passeig de la Font del Ferro"							"way"	"183362998"		"{'highway': 'residential', 'name': 'Passeig de la Font del Ferro'}"
"Passeig de la Font Vella"	"Passeig de la Font Vella"							"way"	"225625869"		"{'highway': 'residential', 'name': 'Passeig de la Font Vella'}"
"Passeig de la Font Vella"	"Passeig de la Font Vella"							"way"	"183447973"		"{'highway': 'residential', 'name': 'Passeig de la Font Vella'}"
"Passeig de la Font Vella"	"Passeig de la Font Vella"							"way"	"825447297"		"{'highway': 'residential', 'name': 'Passeig de la Font Vella'}"
"Passeig de La Miranda"	"Passeig de La Miranda"							"way"	"525572616"		"{'highway': 'track', 'name': 'Passeig de La Miranda', 'tracktype': 'grade2'}"
"Passeig del Catorze d'Abril"	"Passeig del Catorze d'Abril"							"way"	"183362999"		"{'highway': 'residential', 'name': \"Passeig del Catorze d'Abril\"}"
"Passeig Font del Cirerer"	"Passeig Font del Cirerer"							"way"	"825447301"		"{'cycleway:both': 'no', 'highway': 'tertiary', 'name': 'Passeig Font del Cirerer', 'oneway': 'no', 'ref': 'GI-541z', 'surface': 'asphalt'}"
"Passeig Font del Cirerer"	"Passeig Font del Cirerer"							"way"	"589523052"		"{'highway': 'tertiary', 'name': 'Passeig Font del Cirerer', 'oneway': 'no', 'ref': 'GI-541z'}"
