"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Botifoll"	"Can Botifoll"							"node"	"3629005991"		"{'name': 'Can Botifoll', 'place': 'isolated_dwelling'}"
"Can Canals"	"Can Canals"							"node"	"3629013986"		"{'name': 'Can Canals', 'place': 'isolated_dwelling'}"
"Can Canals Nou"	"Can Canals Nou"							"node"	"3629013985"		"{'name': 'Can Canals Nou', 'place': 'isolated_dwelling'}"
"Can Cornet"	"Can Cornet"							"node"	"3629005992"		"{'name': 'Can Cornet', 'place': 'isolated_dwelling'}"
"Can Pla"	"Can Pla"							"node"	"3629006294"		"{'amenity': 'restaurant', 'name': 'Can Pla'}"
"Can Pla Vell"	"Can Pla Vell"							"node"	"3629006293"		"{'name': 'Can Pla Vell', 'place': 'isolated_dwelling'}"
"Font de Can Pla"	"Font de Can Pla"							"node"	"3283582167"		"{'name': 'Font de Can Pla', 'natural': 'spring'}"
"Torrent d'Olius"	"Torrent d'Olius"							"way"	"183843496"		"{'name': \"Torrent d'Olius\", 'waterway': 'stream'}"
"Torrent de Cal Torres"	"Torrent de Cal Torres"							"way"	"215120988"		"{'layer': '-1', 'name': 'Torrent de Cal Torres', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent de Cal Torres"	"Torrent de Cal Torres"							"way"	"215120990"		"{'name': 'Torrent de Cal Torres', 'waterway': 'stream'}"
"Torrent de Cal Torres"	"Torrent de Cal Torres"							"way"	"177882454"		"{'name': 'Torrent de Cal Torres', 'waterway': 'stream'}"
"Torrent del Canigó"	"Torrent del Canigó"							"way"	"185080356"		"{'name': 'Torrent del Canigó', 'waterway': 'stream'}"
"Torrent del Canigó"	"Torrent del Canigó"							"way"	"358104134"		"{'name': 'Torrent del Canigó', 'waterway': 'stream'}"
"Torrent Fondo"	"Torrent Fondo"							"way"	"177882453"		"{'name': 'Torrent Fondo', 'waterway': 'stream'}"
"Torrent Fondo"	"Torrent Fondo"							"way"	"532976374"		"{'name': 'Torrent Fondo', 'waterway': 'stream'}"
"Torrent Fondo"	"Torrent Fondo"							"way"	"532976375"		"{'highway': 'path', 'layer': '-1', 'name': 'Torrent Fondo', 'tunnel': 'yes', 'waterway': 'stream'}"
