"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Bosc Sec"	"Bosc Sec"							"node"	"1241590203"		"{'name': 'Bosc Sec', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas Bellaire"	"Mas Bellaire"							"node"	"9922222440"		"{'name': 'Mas Bellaire', 'place': 'isolated_dwelling'}"
"Mas Cadavall"	"Mas Cadavall"							"way"	" 740033028"		"{'addr:city': 'Sant Joan les Fonts', 'addr:postcode': '17857', 'building': 'house', 'name': 'Mas Cadavall'}"
"Mas La Cadamont"	"Mas La Cadamont"							"way"	" 740033020"		"{'addr:city': 'Sant Joan les Fonts', 'addr:postcode': '17857', 'building': 'house', 'name': 'Mas La Cadamont', 'website': 'http://lacadamont.com/'}"
"Mas Pinadella"	"Mas Pinadella"							"way"	" 214456696"		"{'building': 'yes', 'name': 'Mas Pinadella'}"
"Riu Fluvià"	"Riu Fluvià"			"Fluvià"	"Fluvià"	"river"	"Q31551"	"way"	" 130659513"		"{'boat': 'no', 'name': 'Riu Fluvià', 'waterway': 'river', 'wikidata': 'Q31551', 'wikipedia': 'ca:Fluvià'}"
"Riu Fluvià"	"Riu Fluvià"			"Fluvià"	"Fluvià"	"river"	"Q31551"	"way"	"1089487238"		"{'boat': 'no', 'name': 'Riu Fluvià', 'waterway': 'river', 'wikidata': 'Q31551', 'wikipedia': 'ca:Fluvià'}"
"Riu Fluvià"	"Riu Fluvià"			"Fluvià"	"Fluvià"	"river"	"Q31551"	"way"	" 130659512"		"{'boat': 'no', 'layer': '-1', 'name': 'Riu Fluvià', 'waterway': 'river', 'wikidata': 'Q31551', 'wikipedia': 'ca:Fluvià'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425568"		"{'intermittent': 'yes', 'name': 'Riu Toronell', 'waterway': 'stream'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425567"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Riu Toronell', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425561"		"{'intermittent': 'yes', 'name': 'Riu Toronell', 'waterway': 'stream'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425564"		"{'intermittent': 'yes', 'name': 'Riu Toronell', 'waterway': 'stream'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425565"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Riu Toronell', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425566"		"{'intermittent': 'yes', 'name': 'Riu Toronell', 'waterway': 'stream'}"
"Riu Toronell"	"Riu Toronell"							"way"	" 696425562"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Riu Toronell', 'tunnel': 'yes', 'waterway': 'stream'}"
