"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Carreres"	"Can Carreres"							"way"	"621077898"		"{'building': 'yes', 'name': 'Can Carreres', 'source:name': 'local knowledge'}"
"Can Pla"	"Can Pla"			"Can Pla"		"masia"	"Q73406804"	"way"	"1016904723"		"{'building': 'yes', 'name': 'Can Pla', 'wikidata': 'Q73406804'}"
"Can Puigmitjà"	"Can Puigmitjà"							"node"	"1241588884"		"{'name': 'Can Puigmitjà', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Can Rodorar"	"Can Rodorar"							"way"	"485783513"		"{'building': 'yes', 'name': 'Can Rodorar', 'source:name': 'local knowledge'}"
"Can Rovira Petit"	"Can Rovira Petit"							"way"	"493446201"		"{'building': 'house', 'name': 'Can Rovira Petit'}"
"Can Segalars"	"Can Segalars"							"way"	"620776256"		"{'building': 'yes', 'name': 'Can Segalars', 'source:name': 'local knowledge'}"
"Can Segalars"	"Can Segalars"							"way"	"621077926"		"{'building': 'yes', 'name': 'Can Segalars', 'source:name': 'local knowledge'}"
"Can Soler"	"Can Soler"			"Can Soler"		"masia"	"Q107141365"	"way"	"621077914"		"{'building': 'yes', 'name': 'Can Soler', 'source': 'PNOA', 'source:name': 'local knowledge', 'wikidata': 'Q107141365'}"
"Collet de Guixeres"	"Collet de Guixeres"			"collet de Guixeres"		"saddle"	"Q23999170"	"node"	"2901100306"		"{'ele': '372', 'mountain_pass': 'yes', 'name': 'Collet de Guixeres', 'natural': 'saddle', 'source': 'IGN;ICGC', 'wikidata': 'Q23999170'}"
"Font de Burro"	"Font de Burro"							"node"	"5856303222"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'name': 'Font de Burro', 'natural': 'spring', 'refitted': 'no', 'seasonal': 'yes', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Cal Coix"	"Font de Cal Coix"							"node"	"4144905137"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'name': 'Font de Cal Coix', 'natural': 'spring', 'refitted': 'no', 'seasonal': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Can Pere Pastor"	"Font de Can Pere Pastor"							"node"	"5856303221"		"{'description': 'Mina', 'drinking_water': 'no', 'drinking_water:legal': 'no', 'name': 'Font de Can Pere Pastor', 'natural': 'spring', 'refitted': 'yes', 'seasonal': 'yes', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Can Pla"	"Font de Can Pla"							"node"	"5856303220"		"{'description': 'Sense garanties sanitàries', 'drinking_water': 'yes', 'drinking_water:legal': 'no', 'name': 'Font de Can Pla', 'natural': 'spring', 'refitted': 'no', 'seasonal': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Can Talaia"	"Font de Can Talaia"							"node"	"5856303218"		"{'description': 'Sense garanties sanitàries', 'drinking_water': 'yes', 'drinking_water:legal': 'no', 'name': 'Font de Can Talaia', 'natural': 'spring', 'refitted': 'yes', 'seasonal': 'yes', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de Faig"	"Font de Faig"							"node"	"5856303217"		"{'access': 'private', 'description': 'Sense garanties sanitàries', 'drinking_water': 'yes', 'drinking_water:legal': 'no', 'name': 'Font de Faig', 'natural': 'spring', 'refitted': 'yes', 'seasonal': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
"Font de l'Abocador"	"Font de l'Abocador"							"node"	"5856303216"		"{'drinking_water': 'no', 'drinking_water:legal': 'no', 'name': \"Font de l'Abocador\", 'natural': 'spring', 'refitted': 'no', 'seasonal': 'no', 'source': 'extrapolation from \"Les fonts del Pla de l\'Estany\" and PNOA', 'source:name': 'local knowledge'}"
