"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Ferrer"	"Cal Ferrer"							"way"	"360181817"		"{'amenity': 'restaurant', 'building': 'yes', 'name': 'Cal Ferrer'}"
"Camp de futbol"	"Camp de futbol"							"way"	"159830616"		"{'leisure': 'pitch', 'name': 'Camp de futbol', 'sport': 'soccer'}"
"Carena de Can Cabanes"	"Carena de Can Cabanes"							"node"	"1241552249"		"{'name': 'Carena de Can Cabanes', 'place': 'locality'}"
"Carena de l'Hostal"	"Carena de l'Hostal"							"node"	"3894035566"		"{'name': \"Carena de l'Hostal\"}"
"Carena de la Sala"	"Carena de la Sala"							"node"	"1241569028"		"{'name': 'Carena de la Sala', 'place': 'locality'}"
"Carena de les Cases"	"Carena de les Cases"							"node"	"1241565626"		"{'name': 'Carena de les Cases', 'place': 'locality'}"
"Carena de Vila-rasa"	"Carena de Vila-rasa"							"node"	"1241563182"		"{'name': 'Carena de Vila-rasa', 'place': 'locality'}"
"Carena del Castell"	"Carena del Castell"							"node"	"1241565253"		"{'name': 'Carena del Castell', 'place': 'locality'}"
"Carena del Cingle dels Corbs"	"Carena del Cingle dels Corbs"							"node"	"1241553038"		"{'name': 'Carena del Cingle dels Corbs', 'place': 'locality'}"
"Carena dels Ponts"	"Carena dels Ponts"							"node"	"1241551763"		"{'name': 'Carena dels Ponts', 'place': 'locality'}"
"Cim de la Pastera"	"Cim de la Pastera"							"node"	"7318420128"		"{'ele': '1201.4', 'name': 'Cim de la Pastera', 'natural': 'peak'}"
"Coma Mitjana"	"Coma Mitjana"							"node"	"1241550732"		"{'name': 'Coma Mitjana', 'place': 'locality'}"
