"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí de Cal Trinxet"	"Camí de Cal Trinxet"							"way"	" 554528485"		"{'highway': 'unclassified', 'name': 'Camí de Cal Trinxet', 'surface': 'asphalt'}"
"Camí de Can Perer Ferrer"	"Camí de Can Perer Ferrer"							"way"	" 348374806"		"{'highway': 'unclassified', 'name': 'Camí de Can Perer Ferrer'}"
"camí de la Rovira"	"camí de la Rovira"							"way"	" 205113250"		"{'highway': 'residential', 'maxspeed': '40', 'name': 'camí de la Rovira', 'surface': 'asphalt'}"
"camí de la Solana al Pla de la Mare de Déu"	"camí de la Solana al Pla de la Mare de Déu"							"way"	" 366178188"		"{'highway': 'track', 'name': 'camí de la Solana al Pla de la Mare de Déu'}"
"Camí de Sant Quirze de Besora al Castell de Montesquiu"	"Camí de Sant Quirze de Besora al Castell de Montesquiu"							"way"	" 719357550"		"{'highway': 'unclassified', 'name': 'Camí de Sant Quirze de Besora al Castell de Montesquiu', 'surface': 'asphalt'}"
"Camí de Sant Quirze de Besora al Moll de la Foradada"	"Camí de Sant Quirze de Besora al Moll de la Foradada"							"way"	" 348423834"		"{'highway': 'unclassified', 'name': 'Camí de Sant Quirze de Besora al Moll de la Foradada'}"
"Camí del Castell"	"Camí del Castell"							"way"	" 719357547"		"{'highway': 'unclassified', 'name': 'Camí del Castell', 'surface': 'asphalt'}"
"carrer Bisaura"	"carrer Bisaura"							"way"	" 205113215"		"{'highway': 'residential', 'maxspeed': '40', 'name': 'carrer Bisaura', 'surface': 'asphalt'}"
"Carrer d'Anselm Clavé"	"Carrer d'Anselm Clavé"							"way"	"  71887284"		"{'highway': 'residential', 'name': \"Carrer d'Anselm Clavé\"}"
"Carrer d'Ausona"	"Carrer d'Ausona"							"way"	"  71887286"		"{'highway': 'residential', 'name': \"Carrer d'Ausona\"}"
"Carrer d'Emma"	"Carrer d'Emma"							"way"	"  71887295"		"{'highway': 'residential', 'name': \"Carrer d'Emma\"}"
"Carrer d'en Jeroni Guixà"	"Carrer d'en Jeroni Guixà"							"way"	" 159990918"		"{'highway': 'residential', 'name': \"Carrer d'en Jeroni Guixà\"}"
"carrer de Bellmunt"	"carrer de Bellmunt"							"way"	" 425262896"		"{'highway': 'residential', 'name': 'carrer de Bellmunt'}"
"carrer de Bellmunt"	"carrer de Bellmunt"							"way"	" 159990902"		"{'highway': 'unclassified', 'name': 'carrer de Bellmunt'}"
"Carrer de Berga"	"Carrer de Berga"							"way"	" 159022827"		"{'highway': 'tertiary', 'name': 'Carrer de Berga', 'ref': 'BP-4654'}"
"Carrer de Besora"	"Carrer de Besora"							"way"	" 558563839"		"{'highway': 'residential', 'name': 'Carrer de Besora'}"
"Carrer de Besora"	"Carrer de Besora"							"way"	" 159990930"		"{'highway': 'residential', 'name': 'Carrer de Besora'}"
"Carrer de Besora"	"Carrer de Besora"							"way"	" 159990923"		"{'highway': 'residential', 'name': 'Carrer de Besora'}"
"Carrer de Canigó"	"Carrer de Canigó"							"way"	"  71887264"		"{'highway': 'residential', 'name': 'Carrer de Canigó'}"
