"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Blanquer"	"Can Blanquer"							"way"	"959895464"		"{'building': 'yes', 'name': 'Can Blanquer'}"
"Can Ferrers Vell"	"Can Ferrers Vell"							"node"	"4387240010"		"{'building': 'yes', 'name': 'Can Ferrers Vell'}"
"Can Garsa"	"Can Garsa"							"way"	"1032519112"		"{'building': 'house', 'name': 'Can Garsa'}"
"Can Ramonet"	"Can Ramonet"							"way"	"1037927791"		"{'building': 'house', 'name': 'Can Ramonet'}"
"Can Serra"	"Can Serra"							"way"	"959903507"		"{'building': 'house', 'name': 'Can Serra'}"
"Coll de la Bassa de la Processó"	"Coll de la Bassa de la Processó"							"node"	"2141488300"		"{'ele': '824.8', 'mountain_pass': 'yes', 'name': 'Coll de la Bassa de la Processó', 'natural': 'saddle'}"
"Collet de l'Om"	"Collet de l'Om"							"way"	"959903505"		"{'building': 'house', 'name': \"Collet de l'Om\"}"
"Collet de la Gallina"	"Collet de la Gallina"							"node"	"3523903844"		"{'ele': '876.1', 'name': 'Collet de la Gallina', 'natural': 'saddle'}"
"Collet de la Mongia"	"Collet de la Mongia"							"node"	"3523903845"		"{'ele': '909.0', 'name': 'Collet de la Mongia', 'natural': 'saddle'}"
"Collet del Llop"	"Collet del Llop"							"node"	"3523903847"		"{'ele': '1046,0', 'name': 'Collet del Llop', 'natural': 'saddle'}"
"Collet del Pi Cremat"	"Collet del Pi Cremat"							"node"	"3523903848"		"{'ele': '867.0', 'name': 'Collet del Pi Cremat', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Font dels Ferrers"	"Font dels Ferrers"							"node"	"4387240011"		"{'name': 'Font dels Ferrers', 'natural': 'spring'}"
"Puig Armat"	"Puig Armat"							"node"	"3523903850"		"{'ele': '830.9', 'name': 'Puig Armat', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat de la Garrafa"	"Serrat de la Garrafa"							"node"	"1241559915"		"{'name': 'Serrat de la Garrafa', 'place': 'locality'}"
"Serrat de la Socarrada"	"Serrat de la Socarrada"							"node"	"1241567360"		"{'name': 'Serrat de la Socarrada', 'place': 'locality'}"
"Serrat de les Corones"	"Serrat de les Corones"							"node"	"1241563495"		"{'name': 'Serrat de les Corones', 'place': 'locality'}"
"Serrat del Colom"	"Serrat del Colom"							"node"	"1241562570"		"{'name': 'Serrat del Colom', 'place': 'locality'}"
"Serrat del Pi"	"Serrat del Pi"							"node"	"1241549638"		"{'name': 'Serrat del Pi', 'place': 'locality'}"
"Serrat dels Ferrers"	"Serrat dels Ferrers"							"node"	"3523903855"		"{'ele': '1007.3', 'name': 'Serrat dels Ferrers', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat dels Matxos"	"Serrat dels Matxos"							"node"	"1241567567"		"{'name': 'Serrat dels Matxos', 'place': 'locality'}"
"Serrat Roig"	"Serrat Roig"							"node"	"1241565496"		"{'name': 'Serrat Roig', 'place': 'locality'}"
"Torrent de Blanquers"	"Torrent de Blanquers"							"way"	"688421081"		"{'intermittent': 'yes', 'name': 'Torrent de Blanquers', 'waterway': 'stream'}"
"Torrent de l'Hostal de l'Aigua"	"Torrent de l'Hostal de l'Aigua"							"way"	"782437354"		"{'intermittent': 'yes', 'name': \"Torrent de l'Hostal de l'Aigua\", 'waterway': 'stream'}"
"Torrent de la Coma"	"Torrent de la Coma"							"way"	"688187538"		"{'intermittent': 'yes', 'name': 'Torrent de la Coma', 'waterway': 'stream'}"
"Torrent de la Font Viva"	"Torrent de la Font Viva"							"way"	"618562954"		"{'intermittent': 'yes', 'name': 'Torrent de la Font Viva', 'waterway': 'stream'}"
"Torrent de la Riera"	"Torrent de la Riera"							"way"	"782437347"		"{'intermittent': 'yes', 'name': 'Torrent de la Riera', 'waterway': 'stream'}"
"Torrent de les Pedregoses"	"Torrent de les Pedregoses"							"way"	"782426069"		"{'intermittent': 'yes', 'name': 'Torrent de les Pedregoses', 'waterway': 'stream'}"
"Torrent del Gorg"	"Torrent del Gorg"							"way"	"688187546"		"{'intermittent': 'yes', 'name': 'Torrent del Gorg', 'waterway': 'stream'}"
"Torrent del Gorg"	"Torrent del Gorg"							"way"	"688187547"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent del Gorg', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Gorg"	"Torrent del Gorg"							"way"	"688187548"		"{'intermittent': 'yes', 'name': 'Torrent del Gorg', 'waterway': 'stream'}"
"Torrent del Graell"	"Torrent del Graell"							"way"	"782437371"		"{'intermittent': 'yes', 'name': 'Torrent del Graell', 'waterway': 'stream'}"
"Torrent del Graell"	"Torrent del Graell"							"way"	"782437363"		"{'intermittent': 'yes', 'name': 'Torrent del Graell', 'waterway': 'stream'}"
"Torrent del Graell"	"Torrent del Graell"							"way"	"782437364"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent del Graell', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Noguer"	"Torrent del Noguer"							"way"	"782437361"		"{'intermittent': 'yes', 'name': 'Torrent del Noguer', 'waterway': 'stream'}"
"Torrent del Noguer"	"Torrent del Noguer"							"way"	"782437373"		"{'intermittent': 'yes', 'name': 'Torrent del Noguer', 'waterway': 'stream'}"
"Torrent del Noguer"	"Torrent del Noguer"							"way"	"782437362"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent del Noguer', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Prat"	"Torrent del Prat"							"way"	"782437352"		"{'intermittent': 'yes', 'name': 'Torrent del Prat', 'waterway': 'stream'}"
"Torrent del Revell"	"Torrent del Revell"							"way"	"782437395"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent del Revell', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Revell"	"Torrent del Revell"							"way"	"782437394"		"{'intermittent': 'yes', 'name': 'Torrent del Revell', 'waterway': 'stream'}"
"Torrent del Revell"	"Torrent del Revell"							"way"	"782437396"		"{'intermittent': 'yes', 'name': 'Torrent del Revell', 'waterway': 'stream'}"
"Torrent del Serrat"	"Torrent del Serrat"							"way"	"782437353"		"{'intermittent': 'yes', 'name': 'Torrent del Serrat', 'waterway': 'stream'}"
"Torrent del Serrat"	"Torrent del Serrat"							"way"	"782437350"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Torrent del Serrat', 'tunnel': 'yes', 'waterway': 'stream'}"
"Torrent del Serrat"	"Torrent del Serrat"							"way"	"782437351"		"{'intermittent': 'yes', 'name': 'Torrent del Serrat', 'waterway': 'stream'}"
"Turó de Bufadors"	"Turó de Bufadors"							"node"	"1241549260"		"{'name': 'Turó de Bufadors', 'place': 'locality'}"
