"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Joan XXIII"	"Avinguda de Joan XXIII"							"way"	" 663232353"		"{'highway': 'residential', 'name': 'Avinguda de Joan XXIII'}"
"Camí del Poal"	"Camí del Poal"							"way"	" 197626599"		"{'highway': 'track', 'name': 'Camí del Poal'}"
"Carrer camí de la Font Sunyera"	"Carrer camí de la Font Sunyera"							"way"	" 197624934"		"{'highway': 'residential', 'name': 'Carrer camí de la Font Sunyera'}"
"Carrer de Can Jan"	"Carrer de Can Jan"							"way"	" 152628495"		"{'highway': 'residential', 'name': 'Carrer de Can Jan'}"
"Carrer de Jesús"	"Carrer de Jesús"							"way"	" 965279375"		"{'highway': 'service', 'name': 'Carrer de Jesús', 'service': 'alley'}"
"Carrer de Josep Anselm Clavé"	"Carrer de Josep Anselm Clavé"							"way"	" 144459552"		"{'highway': 'residential', 'lanes': '2', 'name': 'Carrer de Josep Anselm Clavé'}"
"Carrer de l'Escola"	"Carrer de l'Escola"							"way"	" 214810915"		"{'highway': 'residential', 'name': \"Carrer de l'Escola\"}"
"Carrer de l'Església"	"Carrer de l'Església"							"way"	" 965279382"		"{'highway': 'living_street', 'name': \"Carrer de l'Església\", 'surface': 'concrete'}"
"Carrer de la Font del Ca"	"Carrer de la Font del Ca"							"way"	" 197624935"		"{'highway': 'residential', 'name': 'Carrer de la Font del Ca'}"
"Carrer de la Neu"	"Carrer de la Neu"							"way"	" 965279368"		"{'highway': 'footway', 'name': 'Carrer de la Neu', 'surface': 'concrete'}"
"Carrer de la Neu"	"Carrer de la Neu"							"way"	" 965279366"		"{'highway': 'steps', 'incline': 'up', 'name': 'Carrer de la Neu'}"
"Carrer de la Neu"	"Carrer de la Neu"							"way"	" 965279379"		"{'highway': 'living_street', 'name': 'Carrer de la Neu', 'surface': 'asphalt'}"
"Carrer de la Ronda nord"	"Carrer de la Ronda nord"							"way"	" 152628490"		"{'highway': 'residential', 'name': 'Carrer de la Ronda nord'}"
"Carrer de la Sagrera"	"Carrer de la Sagrera"							"way"	"1020881928"		"{'highway': 'residential', 'name': 'Carrer de la Sagrera'}"
"Carrer de la Sagrera"	"Carrer de la Sagrera"							"way"	"1020881929"		"{'highway': 'residential', 'name': 'Carrer de la Sagrera'}"
"Carrer de la Sagrera"	"Carrer de la Sagrera"							"way"	" 293510564"		"{'highway': 'residential', 'name': 'Carrer de la Sagrera'}"
"Carrer de Llevant"	"Carrer de Llevant"							"way"	" 595752649"		"{'highway': 'residential', 'name': 'Carrer de Llevant'}"
"Carrer de López de Castro"	"Carrer de López de Castro"							"way"	" 197626602"		"{'highway': 'residential', 'name': 'Carrer de López de Castro', 'oneway': 'yes'}"
"Carrer de López de Castro"	"Carrer de López de Castro"							"way"	" 965279369"		"{'highway': 'residential', 'name': 'Carrer de López de Castro', 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer de López de Castro"	"Carrer de López de Castro"							"way"	" 965279374"		"{'highway': 'residential', 'name': 'Carrer de López de Castro', 'oneway': 'yes'}"
"Carrer de Montserrat"	"Carrer de Montserrat"							"way"	" 201788930"		"{'access': 'permissive', 'highway': 'residential', 'horse': 'permissive', 'motor_vehicle': 'permissive', 'name': 'Carrer de Montserrat', 'oneway': 'no'}"
"Carrer de Pau Casals"	"Carrer de Pau Casals"							"way"	" 152628468"		"{'highway': 'residential', 'name': 'Carrer de Pau Casals'}"
"Carrer de Ponent"	"Carrer de Ponent"							"way"	" 197626585"		"{'highway': 'residential', 'name': 'Carrer de Ponent'}"
"carrer de Sant Domènech"	"carrer de Sant Domènech"							"way"	" 197626584"		"{'highway': 'residential', 'name': 'carrer de Sant Domènech'}"
"Carrer del Camí de Can Girona"	"Carrer del Camí de Can Girona"							"way"	" 151617059"		"{'highway': 'residential', 'name': 'Carrer del Camí de Can Girona'}"
"Carrer del Canigó"	"Carrer del Canigó"							"way"	" 197626586"		"{'bridge': 'yes', 'highway': 'tertiary', 'lanes': '2', 'layer': '1', 'name': 'Carrer del Canigó', 'ref': 'BV-5006'}"
"Carrer del Canigó"	"Carrer del Canigó"							"way"	" 152176300"		"{'highway': 'tertiary', 'lanes': '2', 'name': 'Carrer del Canigó', 'ref': 'BV-5006'}"
"Carrer del Canigó"	"Carrer del Canigó"							"way"	"1020881914"		"{'highway': 'tertiary', 'lanes': '2', 'name': 'Carrer del Canigó', 'ref': 'BV-5006'}"
"Carrer del Canigó"	"Carrer del Canigó"							"way"	" 197626587"		"{'highway': 'tertiary', 'lanes': '2', 'name': 'Carrer del Canigó', 'ref': 'BV-5006'}"
