"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Sta Maria de Palautordera"	"Ajuntament de Sta Maria de Palautordera"							"way"	" 734401782"	"name:es=Ayuntamiento de Santa María de Palautordera"	"{'amenity': 'townhall', 'building': 'yes', 'name': 'Ajuntament de Sta Maria de Palautordera', 'name:es': 'Ayuntamiento de Santa María de Palautordera'}"
"Mas Segart"	"Mas Segart"							"way"	" 239864708"		"{'building': 'house', 'name': 'Mas Segart'}"
"Riu Sec"	"Riu Sec"							"way"	" 374797030"		"{'name': 'Riu Sec', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	" 239861596"		"{'name': 'Riu Sec', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	" 374797027"		"{'name': 'Riu Sec', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	" 374797028"		"{'name': 'Riu Sec', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	" 374797029"		"{'name': 'Riu Sec', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	"1051314309"		"{'name': 'Riu Sec', 'waterway': 'stream'}"
"Riu Sec"	"Riu Sec"							"way"	"1051314310"		"{'intermittent': 'yes', 'name': 'Riu Sec', 'waterway': 'stream'}"
