"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Pla de Can Cabanya"	"Pla de Can Cabanya"							"node"	"1241588333"		"{'name': 'Pla de Can Cabanya', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Guilla"	"Pla de Guilla"							"node"	"1241590966"		"{'name': 'Pla de Guilla', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de la Devesa"	"Pla de la Devesa"							"node"	"8151450065"		"{'name': 'Pla de la Devesa', 'place': 'locality'}"
"Pla de les Forques"	"Pla de les Forques"							"node"	"7498222909"		"{'name': 'Pla de les Forques', 'place': 'locality'}"
"Pla de les Tries"	"Pla de les Tries"							"node"	"1241586149"		"{'name': 'Pla de les Tries', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Pla de Pujolars"	"Pla de Pujolars"							"way"	"705103497"		"{'landuse': 'farmland', 'name': 'Pla de Pujolars'}"
"Pla del Coll de Caselles"	"Pla del Coll de Caselles"							"node"	"7498222908"		"{'name': 'Pla del Coll de Caselles', 'place': 'locality'}"
"Pla dels Casals"	"Pla dels Casals"							"node"	"7498222900"		"{'name': 'Pla dels Casals', 'place': 'locality'}"
"Pla Sacot"	"Pla Sacot"							"node"	"4895559294"		"{'name': 'Pla Sacot', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Rec d'Olivella"	"Rec d'Olivella"							"way"	"699679514"		"{'intermittent': 'yes', 'name': \"Rec d'Olivella\", 'waterway': 'stream'}"
"Rec d'Olivella"	"Rec d'Olivella"							"way"	"699679516"		"{'intermittent': 'yes', 'name': \"Rec d'Olivella\", 'waterway': 'stream'}"
"Rec d'Olivella"	"Rec d'Olivella"							"way"	"699679512"		"{'intermittent': 'yes', 'name': \"Rec d'Olivella\", 'waterway': 'stream'}"
"Rec d'Olivella"	"Rec d'Olivella"							"way"	"699679513"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"Rec d'Olivella\", 'tunnel': 'yes', 'waterway': 'stream'}"
"Rec d'Olivella"	"Rec d'Olivella"							"way"	"699679515"		"{'intermittent': 'yes', 'layer': '-1', 'name': \"Rec d'Olivella\", 'tunnel': 'yes', 'waterway': 'stream'}"
