"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge d'Andreu Nin"	"Passatge d'Andreu Nin"							"way"	" 142018859"		"{'highway': 'residential', 'name': \"Passatge d'Andreu Nin\"}"
"Passatge d'Àngel Guimerà"	"Passatge d'Àngel Guimerà"							"way"	" 142018925"	"name:etymology:wikidata=Q175485"	"{'highway': 'residential', 'name': \"Passatge d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485', 'oneway': 'yes'}"
"Passatge d'Antonio Machado"	"Passatge d'Antonio Machado"							"way"	" 301681949"		"{'highway': 'living_street', 'name': \"Passatge d'Antonio Machado\", 'oneway': 'yes'}"
"Passatge d'Antonio Machado"	"Passatge d'Antonio Machado"							"way"	" 301681948"		"{'highway': 'living_street', 'name': \"Passatge d'Antonio Machado\"}"
"Passatge d'Antonio Machado"	"Passatge d'Antonio Machado"							"way"	" 142010541"		"{'highway': 'living_street', 'name': \"Passatge d'Antonio Machado\"}"
"Passatge d'Antonio Machado"	"Passatge d'Antonio Machado"							"way"	" 301681950"		"{'highway': 'living_street', 'name': \"Passatge d'Antonio Machado\", 'oneway': 'yes'}"
"Passatge d'Ernest Lluch i Martín"	"Passatge d'Ernest Lluch i Martín"							"way"	" 595839016"		"{'highway': 'living_street', 'name': \"Passatge d'Ernest Lluch i Martín\"}"
"Passatge de Barcelona"	"Passatge de Barcelona"							"way"	" 142010520"		"{'highway': 'service', 'name': 'Passatge de Barcelona'}"
"Passatge de Clementina Arderiu"	"Passatge de Clementina Arderiu"							"way"	" 598513162"		"{'highway': 'living_street', 'name': 'Passatge de Clementina Arderiu'}"
"Passatge de Clementina Arderiu"	"Passatge de Clementina Arderiu"							"way"	" 301053394"		"{'highway': 'living_street', 'name': 'Passatge de Clementina Arderiu'}"
"Passatge de Ferrer i Guàrdia"	"Passatge de Ferrer i Guàrdia"							"way"	" 595839011"		"{'highway': 'living_street', 'name': 'Passatge de Ferrer i Guàrdia'}"
"Passatge de Francesc Layret"	"Passatge de Francesc Layret"							"way"	" 595839012"		"{'highway': 'living_street', 'name': 'Passatge de Francesc Layret'}"
"Passatge de Frederica Montseny"	"Passatge de Frederica Montseny"							"way"	" 595839013"	"name:etymology:wikidata=Q549307"	"{'highway': 'living_street', 'name': 'Passatge de Frederica Montseny', 'name:etymology:wikidata': 'Q549307'}"
"Passatge de Joan Corominas"	"Passatge de Joan Corominas"							"way"	" 142018902"		"{'highway': 'service', 'name': 'Passatge de Joan Corominas'}"
"Passatge de Joan Corominas"	"Passatge de Joan Corominas"							"way"	" 142018861"		"{'highway': 'service', 'name': 'Passatge de Joan Corominas'}"
"Passatge de Joan Fuster"	"Passatge de Joan Fuster"							"way"	" 142018899"		"{'highway': 'service', 'name': 'Passatge de Joan Fuster'}"
"Passatge de Joan Oliver"	"Passatge de Joan Oliver"							"way"	" 142010499"		"{'highway': 'living_street', 'name': 'Passatge de Joan Oliver'}"
"Passatge de Joan Salvat Papasseit"	"Passatge de Joan Salvat Papasseit"							"way"	" 301053395"		"{'highway': 'living_street', 'name': 'Passatge de Joan Salvat Papasseit'}"
"Passatge de Josep Irla"	"Passatge de Josep Irla"							"way"	" 142010605"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Passatge de Josep Irla'}"
"Passatge de la Rectoria"	"Passatge de la Rectoria"							"way"	" 142010594"		"{'highway': 'pedestrian', 'name': 'Passatge de la Rectoria'}"
"Passatge de la Rectoria"	"Passatge de la Rectoria"							"way"	" 142018864"		"{'highway': 'residential', 'name': 'Passatge de la Rectoria', 'oneway': 'yes'}"
"Passatge de Lluís Millet"	"Passatge de Lluís Millet"							"way"	"  76169056"		"{'highway': 'living_street', 'name': 'Passatge de Lluís Millet'}"
"Passatge de Lluís Millet"	"Passatge de Lluís Millet"							"way"	" 142018860"		"{'highway': 'pedestrian', 'name': 'Passatge de Lluís Millet'}"
"Passatge de Maria Aurèlia Capmany"	"Passatge de Maria Aurèlia Capmany"							"way"	" 818014323"		"{'highway': 'service', 'name': 'Passatge de Maria Aurèlia Capmany', 'surface': 'asphalt'}"
"passatge de Mas Granollacs"	"passatge de Mas Granollacs"							"way"	" 572168643"		"{'highway': 'pedestrian', 'name': 'passatge de Mas Granollacs'}"
"Passatge de Mercè Rodoreda"	"Passatge de Mercè Rodoreda"							"way"	" 301053396"	"name:etymology:wikidata=Q234663"	"{'highway': 'living_street', 'name': 'Passatge de Mercè Rodoreda', 'name:etymology:wikidata': 'Q234663'}"
"Passatge de Miguel Hernández"	"Passatge de Miguel Hernández"							"way"	" 778602677"		"{'highway': 'living_street', 'name': 'Passatge de Miguel Hernández'}"
"Passatge de Montserrat Roig"	"Passatge de Montserrat Roig"							"way"	" 142010526"	"name:etymology:wikidata=Q2011958"	"{'highway': 'living_street', 'name': 'Passatge de Montserrat Roig', 'name:etymology:wikidata': 'Q2011958'}"
"Passatge de Pere Calders"	"Passatge de Pere Calders"							"way"	" 818014322"		"{'highway': 'service', 'name': 'Passatge de Pere Calders', 'surface': 'asphalt'}"
"Passatge de Ramon Llull"	"Passatge de Ramon Llull"							"way"	" 933030871"		"{'highway': 'pedestrian', 'name': 'Passatge de Ramon Llull'}"
"Passatge del General Moragues"	"Passatge del General Moragues"							"way"	" 142010503"		"{'highway': 'service', 'name': 'Passatge del General Moragues'}"
"passatge del Noi del Sucre"	"passatge del Noi del Sucre"							"way"	" 142035040"		"{'area': 'yes', 'highway': 'pedestrian', 'name': 'passatge del Noi del Sucre'}"
"Passatge del Safareig"	"Passatge del Safareig"							"way"	" 142010587"		"{'highway': 'residential', 'name': 'Passatge del Safareig'}"
"Passatge Genís Sala"	"Passatge Genís Sala"							"way"	" 142018885"		"{'highway': 'pedestrian', 'name': 'Passatge Genís Sala'}"
"Passatge Major"	"Passatge Major"							"way"	" 142495103"		"{'highway': 'residential', 'name': 'Passatge Major', 'oneway': 'yes'}"
"Passatge Menor"	"Passatge Menor"							"way"	" 142495102"		"{'highway': 'residential', 'name': 'Passatge Menor', 'oneway': 'yes'}"
"Passatge Ramon Piró"	"Passatge Ramon Piró"							"way"	" 142018868"		"{'highway': 'residential', 'name': 'Passatge Ramon Piró', 'oneway': 'yes'}"
"Passatge Ramon Piró"	"Passatge Ramon Piró"							"way"	" 569421411"		"{'highway': 'residential', 'name': 'Passatge Ramon Piró'}"
"Passatge Vista Alegre"	"Passatge Vista Alegre"							"way"	" 142018850"		"{'highway': 'residential', 'name': 'Passatge Vista Alegre', 'oneway': 'yes'}"
"Passeig de Can Taió"	"Passeig de Can Taió"							"way"	"  51464214"		"{'highway': 'residential', 'lanes': '2', 'maxspeed': '30', 'name': 'Passeig de Can Taió'}"
"Passeig de Can Taió"	"Passeig de Can Taió"							"way"	" 190690775"		"{'highway': 'residential', 'name': 'Passeig de Can Taió'}"
"Passeig de Can Taió"	"Passeig de Can Taió"							"way"	" 142010615"		"{'highway': 'residential', 'name': 'Passeig de Can Taió', 'oneway': 'yes'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	" 142010523"		"{'highway': 'residential', 'lanes': '2', 'name': 'Passeig de la Dona'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	" 570420671"		"{'highway': 'residential', 'lanes': '1', 'name': 'Passeig de la Dona', 'oneway': 'yes'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	"1050856908"		"{'highway': 'residential', 'name': 'Passeig de la Dona', 'oneway': 'yes'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	" 570420673"		"{'destination': 'Santa Perpètua de Mogoda', 'destination:symbol': 'centre', 'highway': 'residential', 'lanes': '1', 'maxweight': '3.5', 'name': 'Passeig de la Dona', 'oneway': 'yes'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	" 464258297"		"{'highway': 'residential', 'name': 'Passeig de la Dona'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	" 464258296"		"{'highway': 'residential', 'name': 'Passeig de la Dona'}"
"Passeig de la Dona"	"Passeig de la Dona"							"way"	"1050856907"		"{'highway': 'residential', 'name': 'Passeig de la Dona', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	" 572168647"		"{'highway': 'pedestrian', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	" 572168649"		"{'highway': 'pedestrian', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"1041403158"		"{'highway': 'pedestrian', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"  51206625"		"{'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de la Florida', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"  51206618"		"{'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de la Florida', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"  51206619"		"{'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de la Florida', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"  51206624"		"{'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de la Florida', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	" 572168641"		"{'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de la Florida', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"1041403159"		"{'footway': 'crossing', 'highway': 'footway', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"1041403162"		"{'footway': 'sidewalk', 'highway': 'footway', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	" 572168640"		"{'cycleway': 'shared_lane', 'highway': 'residential', 'maxspeed': '30', 'name': 'Passeig de la Florida', 'oneway': 'yes'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"1041403164"		"{'footway': 'crossing', 'highway': 'footway', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	" 572168645"		"{'highway': 'pedestrian', 'name': 'Passeig de la Florida'}"
"Passeig de la Florida"	"Passeig de la Florida"							"way"	"1044286010"		"{'highway': 'pedestrian', 'name': 'Passeig de la Florida'}"
"Passeig de la Ribera"	"Passeig de la Ribera"							"way"	"1096402609"		"{'crossing': 'marked', 'footway': 'crossing', 'highway': 'footway', 'name': 'Passeig de la Ribera'}"
"Passeig de la Ribera"	"Passeig de la Ribera"							"way"	" 496406442"		"{'highway': 'cycleway', 'name': 'Passeig de la Ribera'}"
"Passeig de Santllehy"	"Passeig de Santllehy"							"way"	" 302026995"		"{'highway': 'residential', 'name': 'Passeig de Santllehy', 'oneway': 'yes'}"
"Passeig dels Colors"	"Passeig dels Colors"							"way"	" 595839007"		"{'highway': 'pedestrian', 'name': 'Passeig dels Colors'}"
"Rotonda Av. 3 - N-152"	"Rotonda Av. 3 - N-152"							"node"	"2960648542"		"{'bus': 'yes', 'highway': 'bus_stop', 'monorail': 'yes', 'name': 'Rotonda Av. 3 - N-152', 'public_transport': 'stop_position'}"
