"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda d'Anguera"	"Avinguda d'Anguera"							"way"	" 191968715"		"{'highway': 'secondary', 'name': \"Avinguda d'Anguera\", 'oneway': 'no', 'ref': 'TP-2311'}"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	" 191968756"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya'}"
"Avinguda de la Conca"	"Avinguda de la Conca"							"way"	" 192132769"		"{'highway': 'secondary', 'lanes': '2', 'maxspeed': '50', 'name': 'Avinguda de la Conca', 'oneway': 'no', 'ref': 'C-241d'}"
"Avinguda de la Serra"	"Avinguda de la Serra"							"way"	" 191968776"		"{'highway': 'residential', 'name': 'Avinguda de la Serra'}"
"Avinguda de Pedrenya"	"Avinguda de Pedrenya"							"way"	" 192132766"		"{'fixme': 'do a survey', 'highway': 'tertiary', 'lanes': '2', 'name': 'Avinguda de Pedrenya', 'oneway': 'no', 'ref': 'T-233', 'source': 'guesswork'}"
"avinguda de Vallespinosa"	"avinguda de Vallespinosa"							"way"	" 210958329"		"{'highway': 'residential', 'name': 'avinguda de Vallespinosa'}"
"avinguda de Vallespinosa"	"avinguda de Vallespinosa"							"way"	" 210958318"		"{'highway': 'residential', 'name': 'avinguda de Vallespinosa'}"
"avinguda de Vallespinosa"	"avinguda de Vallespinosa"							"way"	" 210958319"		"{'bridge': 'yes', 'highway': 'track', 'layer': '1', 'name': 'avinguda de Vallespinosa'}"
"avinguda de Vallespinosa"	"avinguda de Vallespinosa"							"way"	" 426444595"		"{'highway': 'track', 'name': 'avinguda de Vallespinosa', 'tracktype': 'grade2'}"
"avinguda del Solà"	"avinguda del Solà"							"way"	" 191968794"		"{'highway': 'residential', 'name': 'avinguda del Solà'}"
"avinguda del Solà"	"avinguda del Solà"							"way"	" 191968747"		"{'highway': 'residential', 'name': 'avinguda del Solà'}"
"Camí de Fores"	"Camí de Fores"							"way"	" 191968724"		"{'highway': 'residential', 'name': 'Camí de Fores'}"
"Camí de Forès"	"Camí de Forès"							"way"	" 741625199"		"{'highway': 'track', 'name': 'Camí de Forès'}"
"Camí de la Cova Cativera"	"Camí de la Cova Cativera"							"way"	" 484509025"		"{'highway': 'track', 'name': 'Camí de la Cova Cativera'}"
"Camí de la Cova Cativera"	"Camí de la Cova Cativera"							"way"	" 273080618"		"{'highway': 'track', 'name': 'Camí de la Cova Cativera'}"
"Camí de les Torres de Comaverd"	"Camí de les Torres de Comaverd"							"way"	" 240694310"		"{'highway': 'track', 'name': 'Camí de les Torres de Comaverd'}"
"camí de Picaire"	"camí de Picaire"							"way"	" 191968774"		"{'highway': 'residential', 'name': 'camí de Picaire'}"
"Camí de Rocacorba"	"Camí de Rocacorba"							"way"	" 741625200"		"{'highway': 'track', 'name': 'Camí de Rocacorba'}"
"Camí de Selmella GR-175"	"Camí de Selmella GR-175"							"way"	" 271494269"		"{'highway': 'track', 'name': 'Camí de Selmella GR-175'}"
"camí de Vallverd"	"camí de Vallverd"							"way"	" 210958299"		"{'highway': 'track', 'name': 'camí de Vallverd'}"
"Camí del Bosc"	"Camí del Bosc"							"way"	" 484509026"		"{'highway': 'track', 'name': 'Camí del Bosc'}"
"Camí del Calvari"	"Camí del Calvari"							"way"	" 568336334"		"{'highway': 'path', 'name': 'Camí del Calvari'}"
"Camí del Salt"	"Camí del Salt"							"way"	" 484509028"		"{'highway': 'track', 'name': 'Camí del Salt'}"
"camí dels Plans"	"camí dels Plans"							"way"	" 411016227"		"{'highway': 'track', 'name': 'camí dels Plans'}"
"Carrer Aribau"	"Carrer Aribau"							"way"	" 191968749"		"{'highway': 'residential', 'name': 'Carrer Aribau'}"
"Carrer Atlàntida"	"Carrer Atlàntida"							"way"	" 192147317"		"{'highway': 'residential', 'name': 'Carrer Atlàntida'}"
"carrer Baluard"	"carrer Baluard"							"way"	" 426444612"		"{'highway': 'pedestrian', 'name': 'carrer Baluard'}"
"carrer Baluard"	"carrer Baluard"							"way"	" 426444613"		"{'highway': 'steps', 'name': 'carrer Baluard'}"
"carrer Baluard"	"carrer Baluard"							"way"	" 426444610"		"{'highway': 'pedestrian', 'name': 'carrer Baluard', 'tunnel': 'building_passage'}"
"Carrer d'Alfons I"	"Carrer d'Alfons I"							"way"	" 191968762"		"{'highway': 'residential', 'name': \"Carrer d'Alfons I\"}"
"Carrer d'Àngel Guimerà"	"Carrer d'Àngel Guimerà"							"way"	" 191968795"	"name:etymology:wikidata=Q175485"	"{'highway': 'residential', 'name': \"Carrer d'Àngel Guimerà\", 'name:etymology:wikidata': 'Q175485'}"
"Carrer d'Antoni Gaudí"	"Carrer d'Antoni Gaudí"							"way"	" 191968773"		"{'highway': 'residential', 'name': \"Carrer d'Antoni Gaudí\"}"
"carrer d'Eres"	"carrer d'Eres"							"way"	" 191968752"		"{'highway': 'residential', 'name': \"carrer d'Eres\"}"
"carrer d'Eres"	"carrer d'Eres"							"way"	" 191968766"		"{'highway': 'residential', 'name': \"carrer d'Eres\"}"
"carrer d'Eres"	"carrer d'Eres"							"way"	" 191968735"		"{'highway': 'residential', 'name': \"carrer d'Eres\"}"
"Carrer d'Orient"	"Carrer d'Orient"							"way"	" 191968097"		"{'highway': 'residential', 'name': \"Carrer d'Orient\"}"
