"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"137414316"		"{'highway': 'unclassified', 'name': 'Avinguda Pirineus'}"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"221131022"		"{'highway': 'unclassified', 'name': 'Avinguda Pirineus', 'oneway': 'yes'}"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"221131036"		"{'highway': 'unclassified', 'name': 'Avinguda Pirineus', 'oneway': 'yes'}"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"239471312"		"{'highway': 'residential', 'name': 'Avinguda Pirineus'}"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"580537171"		"{'highway': 'residential', 'name': 'Avinguda Pirineus'}"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"580537172"		"{'highway': 'residential', 'name': 'Avinguda Pirineus'}"
"Avinguda Pirineus"	"Avinguda Pirineus"							"way"	"239471311"		"{'bridge': 'yes', 'highway': 'unclassified', 'name': 'Avinguda Pirineus'}"
"camí a Sarroca"	"camí a Sarroca"							"way"	"705240388"		"{'highway': 'residential', 'name': 'camí a Sarroca'}"
"Camí de la Vinya"	"Camí de la Vinya"							"way"	"543155174"		"{'highway': 'track', 'name': 'Camí de la Vinya'}"
"Camí de Larén"	"Camí de Larén"							"way"	"395498612"		"{'highway': 'unclassified', 'name': 'Camí de Larén'}"
"Camí de les Bordes"	"Camí de les Bordes"							"way"	"897141863"		"{'highway': 'path', 'name': 'Camí de les Bordes'}"
"camí de les Sauqueres"	"camí de les Sauqueres"							"way"	"887007549"		"{'highway': 'track', 'name': 'camí de les Sauqueres'}"
"camí de les Sauqueres"	"camí de les Sauqueres"							"way"	"705209842"		"{'highway': 'track', 'name': 'camí de les Sauqueres'}"
