"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc de la Trinitat"	"Barranc de la Trinitat"							"way"	"930567318"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Barranc de la Trinitat', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc de la Trinitat"	"Barranc de la Trinitat"							"way"	"930567316"		"{'intermittent': 'yes', 'name': 'Barranc de la Trinitat', 'waterway': 'stream'}"
"Barranc de la Trinitat"	"Barranc de la Trinitat"							"way"	"930567317"		"{'intermittent': 'yes', 'name': 'Barranc de la Trinitat', 'waterway': 'stream'}"
"Camp de futbol Nou Pins Vens"	"Camp de futbol Nou Pins Vens"							"way"	"265464206"		"{'leisure': 'pitch', 'name': 'Camp de futbol Nou Pins Vens', 'sport': 'soccer'}"
"Camp del Pastor"	"Camp del Pastor"							"node"	"7436981883"		"{'name': 'Camp del Pastor', 'place': 'locality'}"
"Coma de Cala Forn"	"Coma de Cala Forn"							"node"	"8372112895"		"{'name': 'Coma de Cala Forn', 'place': 'locality'}"
"Coma Roja"	"Coma Roja"							"node"	"8628338880"		"{'name': 'Coma Roja', 'place': 'locality'}"
"Escola Agnès de Sitges"	"Escola Agnès de Sitges"			"Escola Agnès de Sitges"		"Catalonia school"	"Q111339379"	"way"	"237741169"	"name:etymology:wikidata=Q62072630"	"{'amenity': 'school', 'building': 'school', 'name': 'Escola Agnès de Sitges', 'name:etymology:wikidata': 'Q62072630', 'note': 'Localización provisional', 'ref': '8062833', 'wikidata': 'Q111339379'}"
"Escola Maria Ossó"	"Escola Maria Ossó"			"Escola Maria Ossó"		"Catalonia school"	"Q111339276"	"way"	"52079187"	"name:etymology:wikidata=Q112174621"	"{'amenity': 'school', 'name': 'Escola Maria Ossó', 'name:etymology:wikidata': 'Q112174621', 'ref': '8053583', 'wikidata': 'Q111339276'}"
"Escola Pia de Sitges"	"Escola Pia de Sitges"			"Centre educatiu privat Escola Pia de Sitges"		"private educational institution in Catalonia"	"Q111595517"	"way"	"297017933"		"{'amenity': 'school', 'name': 'Escola Pia de Sitges', 'ref': '8029076', 'wheelchair': 'yes', 'wikidata': 'Q111595517'}"
"Santuari Nostra Senyora del Vinyet"	"Santuari Nostra Senyora del Vinyet"							"way"	"507848847"		"{'amenity': 'place_of_worship', 'building': 'yes', 'denomination': 'catholic', 'name': 'Santuari Nostra Senyora del Vinyet', 'religion': 'christian'}"
