"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Sort"	"Ajuntament de Sort"							"node"	"1469906071"		"{'amenity': 'townhall', 'name': 'Ajuntament de Sort'}"
"Bosc de Bornagues"	"Bosc de Bornagues"							"node"	"1241635376"		"{'name': 'Bosc de Bornagues', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Costa Negra"	"Bosc de Costa Negra"							"node"	"1241654814"		"{'name': 'Bosc de Costa Negra', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de l'Aubaga"	"Bosc de l'Aubaga"							"node"	"1241616088"		"{'name': \"Bosc de l'Aubaga\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de la Masia"	"Bosc de la Masia"							"node"	"1241607624"		"{'name': 'Bosc de la Masia', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Montardit"	"Bosc de Montardit"							"node"	"1241612139"		"{'name': 'Bosc de Montardit', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Castell dels Comtes del Pallars"	"Castell dels Comtes del Pallars"			"Castell de Sort, Castell dels Comtes de Pallars"	"Castell de Sort"	"castle"	"Q11913105"	"way"	" 227464201"		"{'building': 'yes', 'historic': 'castle', 'name': 'Castell dels Comtes del Pallars', 'wikidata': 'Q11913105', 'wikipedia': 'ca:Castell de Sort'}"
"Riu de Rialbó"	"Riu de Rialbó"							"way"	" 297726104"		"{'name': 'Riu de Rialbó', 'waterway': 'river'}"
"Riu de Sant Antoni"	"Riu de Sant Antoni"							"way"	" 417810308"		"{'name': 'Riu de Sant Antoni', 'waterway': 'river'}"
"Riu del Cantó"	"Riu del Cantó"							"way"	" 740765497"		"{'name': 'Riu del Cantó', 'waterway': 'river'}"
"Riu Noguera Pallaresa"	"Riu Noguera Pallaresa"							"way"	" 303578776"		"{'boat': 'no', 'name': 'Riu Noguera Pallaresa', 'waterway': 'river', 'whitewater:section_grade': '2'}"
"Riu Pamano"	"Riu Pamano"							"way"	" 410542292"		"{'name': 'Riu Pamano', 'waterway': 'stream'}"
"Riu Pamano"	"Riu Pamano"							"way"	" 729120191"		"{'layer': '-1', 'name': 'Riu Pamano', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Riu Pamano"	"Riu Pamano"							"way"	" 729120192"		"{'name': 'Riu Pamano', 'waterway': 'stream'}"
"Riu Pamano"	"Riu Pamano"							"way"	" 410542289"		"{'name': 'Riu Pamano', 'waterway': 'river'}"
"Riu Pamano"	"Riu Pamano"							"way"	" 976909985"		"{'name': 'Riu Pamano', 'waterway': 'stream'}"
"Riu Pamano"	"Riu Pamano"							"way"	" 976909976"		"{'name': 'Riu Pamano', 'waterway': 'stream'}"
