"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge de Can Granyent"	"Passatge de Can Granyent"							"way"	"461563615"		"{'highway': 'living_street', 'lanes': '1', 'name': 'Passatge de Can Granyent', 'surface': 'paving_stones'}"
"Passatge de l'Aplec"	"Passatge de l'Aplec"							"way"	"279756444"		"{'highway': 'residential', 'name': \"Passatge de l'Aplec\"}"
"Passatge de la Barceloneta"	"Passatge de la Barceloneta"							"way"	"461563601"		"{'highway': 'residential', 'name': 'Passatge de la Barceloneta'}"
"Passatge de la Pagesia"	"Passatge de la Pagesia"							"way"	"279756442"		"{'highway': 'residential', 'name': 'Passatge de la Pagesia'}"
"Passatge de la Plana de Vic"	"Passatge de la Plana de Vic"							"way"	"279756447"		"{'highway': 'residential', 'name': 'Passatge de la Plana de Vic'}"
"Passatge de la Sagrera"	"Passatge de la Sagrera"							"way"	"751017266"		"{'highway': 'living_street', 'name': 'Passatge de la Sagrera'}"
"Passatge del Camí Ral de Tona"	"Passatge del Camí Ral de Tona"							"way"	"279838945"		"{'highway': 'track', 'name': 'Passatge del Camí Ral de Tona'}"
"Passatge del Camí Ral de Tona"	"Passatge del Camí Ral de Tona"							"way"	"751017267"		"{'highway': 'track', 'name': 'Passatge del Camí Ral de Tona'}"
"Passatge del Camí Ral de Tona"	"Passatge del Camí Ral de Tona"							"way"	"133996180"		"{'highway': 'track', 'name': 'Passatge del Camí Ral de Tona'}"
"Passatge del Casino"	"Passatge del Casino"							"way"	"751017265"		"{'highway': 'living_street', 'name': 'Passatge del Casino'}"
"Passatge del Congost"	"Passatge del Congost"							"way"	"720016307"		"{'highway': 'residential', 'name': 'Passatge del Congost', 'oneway': 'yes'}"
"Passatge del Congost"	"Passatge del Congost"							"way"	"720016308"		"{'highway': 'residential', 'name': 'Passatge del Congost', 'oneway': 'yes'}"
"Passatge del Congost"	"Passatge del Congost"							"way"	"279756461"		"{'highway': 'residential', 'name': 'Passatge del Congost'}"
"Passatge del Congost"	"Passatge del Congost"							"way"	"279756427"		"{'highway': 'residential', 'name': 'Passatge del Congost'}"
"Passatge del Reig"	"Passatge del Reig"							"way"	"751017285"		"{'highway': 'pedestrian', 'name': 'Passatge del Reig'}"
"Passatge del Tossal"	"Passatge del Tossal"							"way"	"185585864"		"{'highway': 'residential', 'name': 'Passatge del Tossal', 'oneway': 'yes'}"
"Passatge del Tossal"	"Passatge del Tossal"							"way"	"185585863"		"{'highway': 'residential', 'name': 'Passatge del Tossal', 'oneway': 'yes'}"
"Passeig de Domènec Sert"	"Passeig de Domènec Sert"							"way"	"194540119"		"{'highway': 'residential', 'layer': '1', 'name': 'Passeig de Domènec Sert', 'oneway': 'yes', 'ref': 'B-530'}"
"Passeig de Domènec Sert"	"Passeig de Domènec Sert"							"way"	"751017262"		"{'highway': 'tertiary', 'name': 'Passeig de Domènec Sert', 'oneway': 'yes', 'ref': 'B-530'}"
"Passeig de l'Alcalde Joan Reig"	"Passeig de l'Alcalde Joan Reig"							"way"	"461563610"		"{'highway': 'living_street', 'name': \"Passeig de l'Alcalde Joan Reig\"}"
"Passeig de l'Arenal"	"Passeig de l'Arenal"							"way"	"185952471"		"{'highway': 'residential', 'name': \"Passeig de l'Arenal\", 'oneway': 'no'}"
"Passeig de la Flama del Canigó"	"Passeig de la Flama del Canigó"							"way"	"461563612"		"{'highway': 'living_street', 'name': 'Passeig de la Flama del Canigó'}"
"Passeig de les Moreres"	"Passeig de les Moreres"							"way"	"185981209"		"{'highway': 'residential', 'name': 'Passeig de les Moreres', 'oneway': 'no'}"
"Passeig de les Pinediques"	"Passeig de les Pinediques"							"way"	"768708609"		"{'highway': 'residential', 'name': 'Passeig de les Pinediques'}"
"Passeig de Sant Genís"	"Passeig de Sant Genís"							"way"	"300970836"		"{'highway': 'residential', 'name': 'Passeig de Sant Genís', 'oneway': 'yes'}"
"Passeig de Sant Genís"	"Passeig de Sant Genís"							"way"	"185952979"		"{'highway': 'residential', 'name': 'Passeig de Sant Genís', 'oneway': 'yes'}"
"Passeig del Pla de les Albes"	"Passeig del Pla de les Albes"							"way"	"279756425"		"{'highway': 'residential', 'name': 'Passeig del Pla de les Albes'}"
"Passeig del Pujoló"	"Passeig del Pujoló"							"way"	"185639938"		"{'highway': 'residential', 'name': 'Passeig del Pujoló', 'oneway': 'yes'}"
"Passeig del Pujoló"	"Passeig del Pujoló"							"way"	"185639939"		"{'highway': 'residential', 'name': 'Passeig del Pujoló', 'oneway': 'yes'}"
"Passeig dels Vilademany"	"Passeig dels Vilademany"							"way"	"715826492"		"{'highway': 'residential', 'name': 'Passeig dels Vilademany', 'oneway': 'no'}"
"Passeig dels Vilademany"	"Passeig dels Vilademany"							"way"	"185579522"		"{'highway': 'residential', 'name': 'Passeig dels Vilademany', 'oneway': 'yes'}"
