"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can bec"	"Can bec"							"way"	"573307906"		"{'building': 'house', 'name': 'Can bec'}"
"Can Benet Vives"	"Can Benet Vives"							"node"	"3646000261"		"{'name': 'Can Benet Vives', 'place': 'isolated_dwelling'}"
"Can Benet Vives"	"Can Benet Vives"							"way"	"860579325"		"{'building': 'yes', 'name': 'Can Benet Vives'}"
"Can Borra"	"Can Borra"							"way"	"573212833"		"{'building': 'house', 'name': 'Can Borra'}"
"Can Buc"	"Can Buc"							"way"	"574541473"		"{'building': 'house', 'name': 'Can Buc'}"
"Can Calent"	"Can Calent"							"node"	"9565895320"		"{'name': 'Can Calent', 'place': 'locality', 'source': 'Instituto Geográfico Nacional'}"
"Can Camps"	"Can Camps"							"node"	"3645199857"		"{'name': 'Can Camps', 'place': 'neighbourhood'}"
"Can Castellar d'Índies"	"Can Castellar d'Índies"							"way"	"571810895"		"{'building': 'house', 'name': \"Can Castellar d'Índies\"}"
"Can Conte"	"Can Conte"							"way"	"477150058"		"{'amenity': 'social_facility', 'building': 'yes', 'name': 'Can Conte', 'social_facility': 'nursing_home', 'social_facility:for': 'senior'}"
"Can Dalmau"	"Can Dalmau"							"way"	"571811145"		"{'building': 'house', 'name': 'Can Dalmau'}"
"Can Feliu"	"Can Feliu"							"way"	"1005588637"		"{'building': 'house', 'name': 'Can Feliu'}"
"Can Feliu"	"Can Feliu"							"way"	"1005588635"		"{'building': 'house', 'name': 'Can Feliu'}"
"Can Ferriol de Baix"	"Can Ferriol de Baix"							"way"	"573243470"		"{'building': 'house', 'name': 'Can Ferriol de Baix'}"
"Can Font-rodona"	"Can Font-rodona"							"way"	"574541484"		"{'building': 'house', 'name': 'Can Font-rodona'}"
"Can Font-rodona"	"Can Font-rodona"							"node"	"3645199858"		"{'name': 'Can Font-rodona', 'place': 'isolated_dwelling'}"
"Can Forest"	"Can Forest"							"way"	"573307905"		"{'building': 'house', 'name': 'Can Forest'}"
"Can Llambre"	"Can Llambre"							"node"	"9565895317"		"{'name': 'Can Llambre', 'place': 'locality', 'source': 'Instituto Geográfico Nacional'}"
"Can Marquès"	"Can Marquès"							"node"	"5820507883"		"{'amenity': 'restaurant', 'internet_access': 'wlan', 'name': 'Can Marquès'}"
"Can Mas"	"Can Mas"							"way"	"218641384"		"{'building': 'yes', 'name': 'Can Mas'}"
"Can Miguel Llambre"	"Can Miguel Llambre"							"node"	"9565895319"		"{'name': 'Can Miguel Llambre', 'place': 'locality', 'source': 'Instituto Geográfico Nacional'}"
"Can Montsant"	"Can Montsant"							"way"	"585717732"		"{'building': 'yes', 'name': 'Can Montsant'}"
"Can Pica"	"Can Pica"							"way"	"935141456"		"{'building': 'yes', 'guest_house': 'agritourism', 'name': 'Can Pica', 'tourism': 'guest_house'}"
"Can Riu"	"Can Riu"							"way"	"1112010219"		"{'building': 'yes', 'name': 'Can Riu'}"
"Can Riu Centre Eqüestre"	"Can Riu Centre Eqüestre"							"way"	"1112010226"		"{'leisure': 'horse_riding', 'name': 'Can Riu Centre Eqüestre'}"
"Can Soler"	"Can Soler"							"node"	"5506121009"		"{'name': 'Can Soler', 'place': 'hamlet'}"
"Can Terrades"	"Can Terrades"							"way"	"573243484"		"{'building': 'house', 'name': 'Can Terrades'}"
"Can Teulada"	"Can Teulada"							"way"	"573243495"		"{'building': 'house', 'name': 'Can Teulada'}"
