"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Bartomeu"	"Cal Bartomeu"							"way"	"319180254"		"{'building': 'yes', 'name': 'Cal Bartomeu'}"
"Cal Cabreta"	"Cal Cabreta"							"way"	"457212198"		"{'building': 'house', 'name': 'Cal Cabreta'}"
"Cal Camorra"	"Cal Camorra"							"node"	"8611374023"		"{'name': 'Cal Camorra', 'place': 'isolated_dwelling'}"
"Cal Curt"	"Cal Curt"							"node"	"4815819954"		"{'building': 'yes', 'name': 'Cal Curt'}"
"Cal Damià"	"Cal Damià"							"way"	"1076911781"		"{'building': 'house', 'name': 'Cal Damià'}"
"Cal Déu Negre"	"Cal Déu Negre"							"way"	"681461079"		"{'building': 'ruins', 'name': 'Cal Déu Negre'}"
"Cal Ferro"	"Cal Ferro"							"node"	"6192972038"		"{'name': 'Cal Ferro', 'place': 'isolated_dwelling'}"
"Cal Francesc"	"Cal Francesc"							"node"	"5409685204"		"{'building': 'yes', 'name': 'Cal Francesc'}"
"Cal Frederic"	"Cal Frederic"							"way"	"822683156"		"{'building': 'yes', 'name': 'Cal Frederic'}"
"Cal Frederic"	"Cal Frederic"							"node"	"6670306126"		"{'name': 'Cal Frederic', 'place': 'isolated_dwelling'}"
"Cal Groc"	"Cal Groc"							"node"	"6218853066"		"{'name': 'Cal Groc', 'place': 'isolated_dwelling'}"
"Cal Jan de l'Horta"	"Cal Jan de l'Horta"							"node"	"4815819955"		"{'building': 'yes', 'name': \"Cal Jan de l'Horta\"}"
"Cal Jan Xic"	"Cal Jan Xic"							"node"	"4064259031"		"{'name': 'Cal Jan Xic', 'place': 'isolated_dwelling'}"
"Cal Jaume Macià"	"Cal Jaume Macià"							"node"	"6917803242"		"{'name': 'Cal Jaume Macià', 'place': 'isolated_dwelling'}"
"Cal Jutge"	"Cal Jutge"							"node"	"6218852640"		"{'name': 'Cal Jutge', 'place': 'isolated_dwelling'}"
"Cal Jutge"	"Cal Jutge"							"way"	"821243440"		"{'building': 'yes', 'name': 'Cal Jutge'}"
"Cal Macià"	"Cal Macià"							"way"	"438328288"		"{'name': 'Cal Macià', 'place': 'isolated_dwelling'}"
"Cal Macià"	"Cal Macià"							"node"	"4064259032"		"{'name': 'Cal Macià', 'place': 'isolated_dwelling'}"
"Cal Magí Via"	"Cal Magí Via"							"way"	"457212197"		"{'building': 'house', 'name': 'Cal Magí Via'}"
"Cal Martinet"	"Cal Martinet"							"way"	"457212160"		"{'building': 'house', 'name': 'Cal Martinet'}"
"Cal Minguet"	"Cal Minguet"							"way"	"438328286"		"{'name': 'Cal Minguet', 'place': 'isolated_dwelling'}"
"Cal Pau Cruset"	"Cal Pau Cruset"							"node"	"4987459784"		"{'name': 'Cal Pau Cruset', 'phone': '+34-619-134814', 'tourism': 'apartment', 'website': 'https://www.calpaucruset.com/'}"
"Cal Pau Guix"	"Cal Pau Guix"							"way"	"438328287"		"{'name': 'Cal Pau Guix', 'place': 'isolated_dwelling'}"
"Cal Pau Isidre"	"Cal Pau Isidre"							"node"	"4064259034"		"{'name': 'Cal Pau Isidre', 'place': 'isolated_dwelling'}"
"Cal Pau Ros"	"Cal Pau Ros"							"way"	"822682744"		"{'building': 'yes', 'name': 'Cal Pau Ros'}"
"Cal Pau Ros"	"Cal Pau Ros"							"node"	"6218853026"		"{'name': 'Cal Pau Ros', 'place': 'isolated_dwelling'}"
"Cal Pau Tòfol"	"Cal Pau Tòfol"							"node"	"8164873191"		"{'name': 'Cal Pau Tòfol', 'place': 'isolated_dwelling'}"
"Cal Peret de la Fassina"	"Cal Peret de la Fassina"							"way"	"593459529"		"{'name': 'Cal Peret de la Fassina', 'place': 'isolated_dwelling'}"
"Cal Peret Pastor"	"Cal Peret Pastor"							"node"	"4064259035"		"{'name': 'Cal Peret Pastor', 'place': 'isolated_dwelling'}"
"Cal Quec"	"Cal Quec"							"node"	"4141367171"		"{'name': 'Cal Quec', 'place': 'isolated_dwelling'}"
"Cal Quim"	"Cal Quim"							"node"	"6225593501"		"{'name': 'Cal Quim', 'place': 'isolated_dwelling'}"
"Cal Regata"	"Cal Regata"							"node"	"6139714213"		"{'building': 'yes', 'name': 'Cal Regata'}"
"Cal Rei"	"Cal Rei"							"way"	"821243441"		"{'building': 'yes', 'name': 'Cal Rei'}"
"Cal Rei"	"Cal Rei"							"node"	"6218852641"		"{'name': 'Cal Rei', 'place': 'isolated_dwelling'}"
"Cal Romà"	"Cal Romà"							"way"	"457212161"		"{'building': 'house', 'name': 'Cal Romà'}"
"Cal Sord"	"Cal Sord"							"node"	"6225592384"		"{'name': 'Cal Sord', 'place': 'isolated_dwelling'}"
"Cal Ton Janot"	"Cal Ton Janot"							"node"	"4141367172"		"{'name': 'Cal Ton Janot', 'place': 'isolated_dwelling'}"
"Cal Via"	"Cal Via"							"way"	"822683147"		"{'building': 'yes', 'name': 'Cal Via'}"
"Cal Via"	"Cal Via"							"node"	"6670306125"		"{'name': 'Cal Via', 'place': 'isolated_dwelling', 'ref:ine': '08288000900'}"
"Cal Via"	"Cal Via"							"way"	"822683155"		"{'building': 'yes', 'name': 'Cal Via'}"
"Cal Via"	"Cal Via"							"node"	"6670306127"		"{'name': 'Cal Via', 'place': 'hamlet', 'ref:ine': '08288000900'}"
"Cal Xic Xixella"	"Cal Xic Xixella"							"way"	"438328289"		"{'building': 'yes', 'name': 'Cal Xic Xixella'}"
"Camp de Cal Curt"	"Camp de Cal Curt"							"node"	"1241566405"		"{'name': 'Camp de Cal Curt', 'place': 'locality'}"
"Camp Rodó"	"Camp Rodó"							"node"	"6843967154"		"{'name': 'Camp Rodó', 'place': 'locality'}"
"Escola Guerau de Peguera"	"Escola Guerau de Peguera"			"Escola Guerau de Peguera"		"Catalonia school"	"Q111338942"	"node"	"4141542202"		"{'amenity': 'school', 'name': 'Escola Guerau de Peguera', 'ref': '8030637', 'wikidata': 'Q111338942'}"
"Obaga de Cal Camorra"	"Obaga de Cal Camorra"							"node"	"8611374024"		"{'name': 'Obaga de Cal Camorra', 'place': 'locality'}"
"Obaga de Foix"	"Obaga de Foix"							"node"	"7389523160"		"{'name': 'Obaga de Foix', 'place': 'locality'}"
"Obaga de l'Albereda"	"Obaga de l'Albereda"							"node"	"1241567866"		"{'name': \"Obaga de l'Albereda\", 'place': 'locality'}"
"Santuari de Foix"	"Santuari de Foix"							"way"	"283565501"		"{'amenity': 'place_of_worship', 'building': 'yes', 'denomination': 'catholic', 'name': 'Santuari de Foix', 'religion': 'christian'}"
"Tossal del Foix"	"Tossal del Foix"							"node"	"6218852659"		"{'ele': '642.2', 'name': 'Tossal del Foix', 'natural': 'peak'}"
