"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Còrrec de Coma Llobera"	"Còrrec de Coma Llobera"							"way"	"421470710"		"{'intermittent': 'yes', 'name': 'Còrrec de Coma Llobera', 'waterway': 'stream'}"
"Còrrec de la Cala Ferriol"	"Còrrec de la Cala Ferriol"							"way"	"407500708"		"{'intermittent': 'yes', 'name': 'Còrrec de la Cala Ferriol', 'waterway': 'stream'}"
"Còrrec de la Cala Pedrosa"	"Còrrec de la Cala Pedrosa"							"way"	"407500369"		"{'intermittent': 'yes', 'name': 'Còrrec de la Cala Pedrosa', 'waterway': 'stream'}"
"Còrrec de la Calella"	"Còrrec de la Calella"							"way"	"407500037"		"{'intermittent': 'yes', 'name': 'Còrrec de la Calella', 'waterway': 'stream'}"
"Còrrec de la Caleta"	"Còrrec de la Caleta"							"way"	"407502520"		"{'intermittent': 'yes', 'name': 'Còrrec de la Caleta', 'waterway': 'stream'}"
"Còrrec de les Tres Coves"	"Còrrec de les Tres Coves"							"way"	"407502514"		"{'intermittent': 'yes', 'name': 'Còrrec de les Tres Coves', 'waterway': 'stream'}"
"Còrrec del Falaguer"	"Còrrec del Falaguer"							"way"	"407500038"		"{'intermittent': 'yes', 'name': 'Còrrec del Falaguer', 'waterway': 'stream'}"
"Còrrec Llarg"	"Còrrec Llarg"							"way"	"407502517"		"{'intermittent': 'yes', 'name': 'Còrrec Llarg', 'waterway': 'stream'}"
"Pla del Milà"	"Pla del Milà"							"node"	"1241600752"		"{'name': 'Pla del Milà', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
