"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Joan"	"Can Joan"							"node"	"2625624105"		"{'amenity': 'restaurant', 'name': 'Can Joan'}"
"Coll de l'Alba"	"Coll de l'Alba"							"node"	"1241790205"		"{'name': \"Coll de l'Alba\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Coll de la Bassa d'Audí"	"Coll de la Bassa d'Audí"							"node"	"5124612701"		"{'ele': '478.9', 'name': \"Coll de la Bassa d'Audí\", 'natural': 'saddle'}"
"Coll de Rajolers"	"Coll de Rajolers"							"node"	"1241794327"		"{'name': 'Coll de Rajolers', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Coll de Vaques"	"Coll de Vaques"							"node"	"1241773382"		"{'name': 'Coll de Vaques', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Coll Redó"	"Coll Redó"							"node"	"1241760073"		"{'name': 'Coll Redó', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Coll Redó"	"Coll Redó"							"node"	"1476183733"		"{'man_made': 'communications_tower', 'name': 'Coll Redó'}"
"Font de Bunyols"	"Font de Bunyols"							"node"	"2291177897"		"{'name': 'Font de Bunyols', 'natural': 'spring'}"
"Font de Gràcia"	"Font de Gràcia"							"node"	"1241790256"		"{'name': 'Font de Gràcia', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Font de la Salut"	"Font de la Salut"							"way"	"146920150"		"{'highway': 'residential', 'name': 'Font de la Salut'}"
"Font de la Salut"	"Font de la Salut"							"way"	"634249957"		"{'highway': 'residential', 'name': 'Font de la Salut'}"
"Font Mala"	"Font Mala"							"node"	"8767899082"		"{'fixme': 'name', 'name': 'Font Mala', 'natural': 'spring'}"
"Puig de Mianes"	"Puig de Mianes"							"node"	"6385801312"		"{'ele': '24', 'name': 'Puig de Mianes', 'natural': 'peak', 'source': 'Institut Cartogràfic i Geològic de Catalunya'}"
