"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Castell Vell"	"Castell Vell"							"node"	"6803453933"		"{'amenity': 'restaurant', 'cuisine': 'regional;mediterranean;catalan', 'name': 'Castell Vell'}"
"Platja de Garbí de Llorell"	"Platja de Garbí de Llorell"							"relation"	"   8283525"		"{'name': 'Platja de Garbí de Llorell', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Giverola"	"Platja de Giverola"							"relation"	"   8283767"		"{'name': 'Platja de Giverola', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Llevant de Llorell"	"Platja de Llevant de Llorell"							"relation"	"   8283526"		"{'name': 'Platja de Llevant de Llorell', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Portopí"	"Platja de Portopí"							"relation"	"   8286617"		"{'name': 'Platja de Portopí', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Portopí (sector nord)"	"Platja de Portopí (sector nord)"							"relation"	"   8286614"		"{'name': 'Platja de Portopí (sector nord)', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de sa Carbonera"	"Platja de sa Carbonera"							"relation"	"   8283678"		"{'name': 'Platja de sa Carbonera', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de sa Pedrera"	"Platja de sa Pedrera"							"relation"	"   8283908"		"{'name': 'Platja de sa Pedrera', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja de Vallpresona"	"Platja de Vallpresona"							"relation"	"   8283991"		"{'name': 'Platja de Vallpresona', 'natural': 'beach', 'nudism': 'yes', 'type': 'multipolygon'}"
"Platja des Bol Nou"	"Platja des Bol Nou"							"relation"	"   8283993"		"{'name': 'Platja des Bol Nou', 'natural': 'beach', 'type': 'multipolygon'}"
"Platja Gran"	"Platja Gran"							"node"	"5652016821"		"{'addr:city': 'Tossa de Mar', 'addr:postcode': '17320', 'name': 'Platja Gran', 'natural': 'beach', 'wheelchair': 'limited'}"
"Platja Gran"	"Platja Gran"							"relation"	"   8283428"		"{'name': 'Platja Gran', 'natural': 'beach', 'type': 'multipolygon'}"
