"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Mas del Bessó"	"Mas del Bessó"							"way"	"1032778911"		"{'building': 'ruins', 'name': 'Mas del Bessó'}"
"Mas del Gaspar"	"Mas del Gaspar"							"way"	"1032783793"		"{'building': 'ruins', 'name': 'Mas del Gaspar'}"
"Mas del Llurba"	"Mas del Llurba"							"way"	"1067461788"		"{'building': 'yes', 'name': 'Mas del Llurba'}"
"Mas del Panto"	"Mas del Panto"							"way"	"1032466101"		"{'building': 'yes', 'name': 'Mas del Panto'}"
"Mas del Ponç"	"Mas del Ponç"							"way"	"1032466083"		"{'building': 'yes', 'name': 'Mas del Ponç'}"
"Mas Esclauet"	"Mas Esclauet"							"way"	" 275557153"		"{'building': 'yes', 'name': 'Mas Esclauet'}"
"Riu de Montsant"	"Riu de Montsant"			"Riu de Montsant, riu de Montsant, Riu Montsant"	"Riu de Montsant"	"watercourse"	"Q9071953"	"way"	" 182922853"		"{'name': 'Riu de Montsant', 'waterway': 'river', 'wikidata': 'Q9071953', 'wikipedia': 'ca:Riu de Montsant'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672992040"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990452"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990460"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990461"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'stream'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990463"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990464"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990455"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672990457"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
