"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc De Burrià"	"Barranc De Burrià"							"way"	"796966497"		"{'intermittent': 'yes', 'name': 'Barranc De Burrià', 'waterway': 'stream'}"
"Barranc de Forat Negre"	"Barranc de Forat Negre"							"way"	"904476404"		"{'intermittent': 'yes', 'name': 'Barranc de Forat Negre', 'waterway': 'stream'}"
"Barranc de Forat Negre"	"Barranc de Forat Negre"							"way"	"904476409"		"{'intermittent': 'yes', 'name': 'Barranc de Forat Negre', 'waterway': 'stream'}"
"Barranc de Forat Negre"	"Barranc de Forat Negre"							"way"	"904476410"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Barranc de Forat Negre', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc de l'Abellar"	"Barranc de l'Abellar"							"way"	"530768196"		"{'intermittent': 'yes', 'name': \"Barranc de l'Abellar\", 'waterway': 'stream'}"
"Barranc de la Dòvia"	"Barranc de la Dòvia"							"way"	"530819248"		"{'intermittent': 'yes', 'name': 'Barranc de la Dòvia', 'waterway': 'stream'}"
"Barranc de la Juliana"	"Barranc de la Juliana"							"way"	"1046344827"		"{'intermittent': 'yes', 'name': 'Barranc de la Juliana', 'waterway': 'stream'}"
"Barranc De Les Tàpies"	"Barranc De Les Tàpies"							"way"	"1023653396"		"{'intermittent': 'yes', 'name': 'Barranc De Les Tàpies', 'waterway': 'stream'}"
"Barranc del Cap del Terme"	"Barranc del Cap del Terme"							"way"	"1088384774"		"{'intermittent': 'yes', 'name': 'Barranc del Cap del Terme', 'waterway': 'stream'}"
"Barranc del Cap del Terme"	"Barranc del Cap del Terme"							"way"	"1088384772"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Barranc del Cap del Terme', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc Del Forat Negre"	"Barranc Del Forat Negre"							"way"	"1046439508"		"{'intermittent': 'yes', 'name': 'Barranc Del Forat Negre', 'waterway': 'stream'}"
"Barranc dels Vidriers"	"Barranc dels Vidriers"							"way"	"1046344831"		"{'intermittent': 'yes', 'name': 'Barranc dels Vidriers', 'waterway': 'stream'}"
"Barranc dels Vidriers"	"Barranc dels Vidriers"							"way"	"1046344832"		"{'intermittent': 'yes', 'name': 'Barranc dels Vidriers', 'waterway': 'stream'}"
"Barranc dels Vidriers"	"Barranc dels Vidriers"							"way"	"1046344833"		"{'intermittent': 'yes', 'layer': '-1', 'name': 'Barranc dels Vidriers', 'tunnel': 'culvert', 'waterway': 'stream'}"
"Barranc Fondo"	"Barranc Fondo"							"way"	"1058312756"		"{'intermittent': 'yes', 'name': 'Barranc Fondo', 'waterway': 'stream'}"
"Barranc Fondo"	"Barranc Fondo"							"node"	"4766805932"		"{'name': 'Barranc Fondo', 'place': 'locality'}"
"Cal Corneta"	"Cal Corneta"							"node"	"5414245458"		"{'building': 'yes', 'name': 'Cal Corneta'}"
"Camp de Futbol Municipal"	"Camp de Futbol Municipal"							"way"	"158021176"		"{'leisure': 'pitch', 'name': 'Camp de Futbol Municipal', 'sport': 'soccer'}"
"Obaga d'en Cirici"	"Obaga d'en Cirici"							"node"	"9410031374"		"{'name': \"Obaga d'en Cirici\", 'place': 'locality'}"
"Obaga de l'Assistent"	"Obaga de l'Assistent"							"node"	"1241789741"		"{'name': \"Obaga de l'Assistent\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Obaga de l'Assistent"	"Obaga de l'Assistent"							"node"	"8026317517"		"{'name': \"Obaga de l'Assistent\", 'place': 'locality'}"
