"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Barranc d'Aneto"	"Barranc d'Aneto"							"way"	"501027837"		"{'name': \"Barranc d'Aneto\", 'waterway': 'stream'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"571427377"		"{'name': 'Barranc de Besiberri', 'natural': 'valley'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"366968213"		"{'name': 'Barranc de Besiberri', 'waterway': 'river'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"975638951"		"{'name': 'Barranc de Besiberri', 'waterway': 'river'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"975638943"		"{'name': 'Barranc de Besiberri', 'waterway': 'river'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"975638947"		"{'name': 'Barranc de Besiberri', 'waterway': 'river'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"975638949"		"{'name': 'Barranc de Besiberri', 'waterway': 'river'}"
"Barranc de Besiberri"	"Barranc de Besiberri"							"way"	"188541330"		"{'name': 'Barranc de Besiberri', 'waterway': 'stream'}"
"Barranc de Casós"	"Barranc de Casós"							"way"	"413314553"		"{'name': 'Barranc de Casós', 'waterway': 'stream'}"
"Barranc de la Baixada"	"Barranc de la Baixada"							"way"	"198833489"		"{'name': 'Barranc de la Baixada', 'waterway': 'stream'}"
"Barranc del Molar Gran"	"Barranc del Molar Gran"							"way"	"188541340"		"{'name': 'Barranc del Molar Gran', 'waterway': 'stream'}"
"Barranc del Ramader"	"Barranc del Ramader"							"way"	"458919489"		"{'name': 'Barranc del Ramader', 'waterway': 'stream'}"
"Camp de futbol"	"Camp de futbol"							"way"	"903948749"		"{'leisure': 'pitch', 'name': 'Camp de futbol', 'sport': 'soccer', 'surface': 'grass'}"
"Tossal de l'Home Mort"	"Tossal de l'Home Mort"							"node"	"3708331233"		"{'ele': '1390.7', 'name': \"Tossal de l'Home Mort\", 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Tossal de Segre"	"Tossal de Segre"							"node"	"2085530385"		"{'ele': '1683.7', 'name': 'Tossal de Segre', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Tossal Pla"	"Tossal Pla"							"node"	"577180447"		"{'ele': '2883.3', 'name': 'Tossal Pla', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
