"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Catalunya"	"Avinguda de Catalunya"							"way"	"178827123"		"{'highway': 'residential', 'name': 'Avinguda de Catalunya', 'oneway': 'no'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	"395716741"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat', 'oneway': 'no'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	"395716744"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat', 'oneway': 'no'}"
"Avinguda de la Generalitat"	"Avinguda de la Generalitat"							"way"	"289362142"		"{'highway': 'residential', 'name': 'Avinguda de la Generalitat', 'oneway': 'yes'}"
"Camí de la Montoliva"	"Camí de la Montoliva"							"way"	"399312550"		"{'highway': 'unclassified', 'name': 'Camí de la Montoliva', 'smoothness': 'good', 'surface': 'asphalt', 'width': '2.5'}"
"Camí de la Selva del Camp a Vilallonga del Camp"	"Camí de la Selva del Camp a Vilallonga del Camp"							"way"	"289530910"		"{'highway': 'unclassified', 'name': 'Camí de la Selva del Camp a Vilallonga del Camp', 'oneway': 'no'}"
"Camí del Carreró"	"Camí del Carreró"							"way"	"294024994"		"{'highway': 'unclassified', 'name': 'Camí del Carreró'}"
"Camí Ral"	"Camí Ral"							"way"	"294024933"		"{'highway': 'track', 'name': 'Camí Ral', 'tracktype': 'grade1'}"
"Carrer Balears"	"Carrer Balears"							"way"	"288614410"		"{'highway': 'residential', 'name': 'Carrer Balears'}"
"Carrer Brugent"	"Carrer Brugent"							"way"	"432715374"		"{'highway': 'residential', 'name': 'Carrer Brugent'}"
"Carrer Calvari"	"Carrer Calvari"							"way"	"289530882"		"{'highway': 'residential', 'name': 'Carrer Calvari'}"
"Carrer Colom"	"Carrer Colom"							"way"	"178827108"		"{'highway': 'residential', 'lanes': '2', 'maxspeed': '50', 'name': 'Carrer Colom', 'surface': 'asphalt'}"
"Carrer d'Alcover"	"Carrer d'Alcover"							"way"	"289530943"		"{'highway': 'tertiary_link', 'name': \"Carrer d'Alcover\", 'oneway': 'yes'}"
"Carrer d'Alcover"	"Carrer d'Alcover"							"way"	"289530904"		"{'highway': 'residential', 'name': \"Carrer d'Alcover\"}"
"Carrer d'Alcover"	"Carrer d'Alcover"							"way"	"289530912"		"{'highway': 'unclassified', 'name': \"Carrer d'Alcover\"}"
"Carrer d'Alcover"	"Carrer d'Alcover"							"way"	"289530941"		"{'highway': 'tertiary_link', 'name': \"Carrer d'Alcover\", 'oneway': 'yes'}"
"Carrer d'Alfons el Cast"	"Carrer d'Alfons el Cast"							"way"	"395718721"		"{'highway': 'residential', 'name': \"Carrer d'Alfons el Cast\", 'oneway': 'no'}"
"Carrer d'Alfons el Cast"	"Carrer d'Alfons el Cast"							"way"	"289530909"		"{'highway': 'residential', 'name': \"Carrer d'Alfons el Cast\", 'oneway': 'no'}"
"Carrer d'Antoni Gimbernat"	"Carrer d'Antoni Gimbernat"							"way"	"289362154"		"{'highway': 'residential', 'name': \"Carrer d'Antoni Gimbernat\"}"
"Carrer de Gaudí"	"Carrer de Gaudí"							"way"	"289362128"		"{'highway': 'residential', 'name': 'Carrer de Gaudí'}"
"Carrer de Girona"	"Carrer de Girona"							"way"	"289530948"		"{'highway': 'residential', 'name': 'Carrer de Girona', 'oneway': 'no'}"
"Carrer de Girona"	"Carrer de Girona"							"way"	"289530918"		"{'highway': 'residential', 'name': 'Carrer de Girona'}"
"Carrer de Jaume I"	"Carrer de Jaume I"							"way"	"289362159"		"{'highway': 'residential', 'name': 'Carrer de Jaume I', 'oneway': 'no'}"
