"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Vilanova de Prades"	"Ajuntament de Vilanova de Prades"							"way"	" 885142405"		"{'amenity': 'townhall', 'building': 'public', 'building:levels': '3', 'name': 'Ajuntament de Vilanova de Prades'}"
"Bosc de la Vila"	"Bosc de la Vila"							"node"	"1241790204"		"{'name': 'Bosc de la Vila', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Mas del Baro"	"Mas del Baro"							"way"	"1031917014"		"{'building': 'yes', 'name': 'Mas del Baro'}"
"Mas del Flaret"	"Mas del Flaret"							"way"	"1032783782"		"{'building': 'yes', 'name': 'Mas del Flaret'}"
"Mas del Ruau"	"Mas del Ruau"							"way"	"1029939711"		"{'building': 'yes', 'name': 'Mas del Ruau'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672992040"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223779"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223774"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223772"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223773"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223775"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223776"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223777"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 673223778"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672992042"		"{'name': 'Riu de Prades', 'waterway': 'river'}"
"Riu de Prades"	"Riu de Prades"							"way"	" 672992041"		"{'layer': '-1', 'name': 'Riu de Prades', 'tunnel': 'yes', 'waterway': 'river'}"
