"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge de la Rosa"	"Passatge de la Rosa"							"way"	"279863564"		"{'highway': 'residential', 'name': 'Passatge de la Rosa'}"
"Passatge de les Ermites"	"Passatge de les Ermites"							"way"	"185648493"		"{'highway': 'living_street', 'name': 'Passatge de les Ermites'}"
"Passatge de les Ermites"	"Passatge de les Ermites"							"way"	"185648551"		"{'highway': 'residential', 'name': 'Passatge de les Ermites'}"
"Passatge de les Ermites"	"Passatge de les Ermites"							"way"	"770870657"		"{'highway': 'track', 'name': 'Passatge de les Ermites'}"
"Passatge de Nirell"	"Passatge de Nirell"							"way"	"289710235"		"{'highway': 'footway', 'name': 'Passatge de Nirell'}"
"Passatge de Pere Calders i Rossinyol"	"Passatge de Pere Calders i Rossinyol"							"way"	"171426214"		"{'highway': 'residential', 'name': 'Passatge de Pere Calders i Rossinyol'}"
"Passatge de Sant Genís"	"Passatge de Sant Genís"							"way"	"171431349"		"{'highway': 'residential', 'name': 'Passatge de Sant Genís', 'oneway': 'yes'}"
"Passatge de Sant Genís"	"Passatge de Sant Genís"							"way"	"279863582"		"{'highway': 'pedestrian', 'name': 'Passatge de Sant Genís'}"
"Passatge del Carme"	"Passatge del Carme"							"way"	"171431347"		"{'highway': 'living_street', 'name': 'Passatge del Carme'}"
"Passatge del Parc"	"Passatge del Parc"							"way"	"162859782"		"{'highway': 'living_street', 'name': 'Passatge del Parc', 'service': 'driveway'}"
"passatge del Pi"	"passatge del Pi"							"way"	"171431356"		"{'highway': 'residential', 'name': 'passatge del Pi'}"
"passatge del Pi"	"passatge del Pi"							"way"	"283760935"		"{'highway': 'pedestrian', 'name': 'passatge del Pi'}"
"Passatge del Ravalet"	"Passatge del Ravalet"							"way"	"171504167"		"{'highway': 'residential', 'name': 'Passatge del Ravalet'}"
"Passatge Lloberas"	"Passatge Lloberas"							"way"	"171426225"		"{'highway': 'residential', 'name': 'Passatge Lloberas'}"
