"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de Vilaverd"	"Ajuntament de Vilaverd"							"node"	"6211313567"		"{'amenity': 'townhall', 'name': 'Ajuntament de Vilaverd'}"
"Castell de la Formiga"	"Castell de la Formiga"							"node"	"6846222819"		"{'name': 'Castell de la Formiga', 'natural': 'peak'}"
"Mas Cartanyà"	"Mas Cartanyà"							"node"	"5171060116"		"{'historic': 'ruins', 'name': 'Mas Cartanyà'}"
"Mas d'en Just"	"Mas d'en Just"							"node"	"4902086148"		"{'historic': 'ruins', 'name': \"Mas d'en Just\"}"
"Mas d'en Just"	"Mas d'en Just"							"way"	" 661683379"		"{'historic': 'ruins', 'name': \"Mas d'en Just\"}"
"Mas Solans"	"Mas Solans"							"node"	"4902154975"		"{'building': 'yes', 'name': 'Mas Solans'}"
"Riu Brugent"	"Riu Brugent"							"way"	" 364668411"		"{'name': 'Riu Brugent', 'waterway': 'river'}"
"Riu Brugent"	"Riu Brugent"							"way"	" 738298524"		"{'layer': '-1', 'name': 'Riu Brugent', 'tunnel': 'culvert', 'waterway': 'river'}"
"Riu Brugent"	"Riu Brugent"							"way"	" 738298523"		"{'name': 'Riu Brugent', 'waterway': 'river'}"
