"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Barceló"	"Can Barceló"							"way"	"721765657"		"{'addr:city': \"Vilobí d'Onyar\", 'building': 'house', 'name': 'Can Barceló'}"
"Can Baterola"	"Can Baterola"							"way"	"726575702"		"{'building': 'house', 'name': 'Can Baterola'}"
"Can Batlló"	"Can Batlló"							"way"	"699702961"		"{'building': 'detached', 'name': 'Can Batlló'}"
"Can Bells"	"Can Bells"							"way"	"370459506"		"{'landuse': 'residential', 'name': 'Can Bells', 'source': 'PNOA'}"
"Can Bells"	"Can Bells"							"node"	"3741570184"		"{'name': 'Can Bells', 'place': 'isolated_dwelling'}"
"Can Bito i Can Just"	"Can Bito i Can Just"							"way"	"1039555913"		"{'building': 'house', 'name': 'Can Bito i Can Just'}"
"Can Blanc"	"Can Blanc"							"way"	"725436443"		"{'building': 'house', 'name': 'Can Blanc'}"
"Can Boades"	"Can Boades"							"way"	"699683999"		"{'building': 'house', 'name': 'Can Boades'}"
"Can Boïls Nou"	"Can Boïls Nou"							"way"	"120049131"		"{'building': 'yes', 'name': 'Can Boïls Nou', 'place': 'isolated_dwelling', 'source': 'PNOA', 'source:date': '2/7/2011'}"
"Can Bosquets"	"Can Bosquets"							"way"	"725198937"		"{'building': 'house', 'name': 'Can Bosquets'}"
"Can Carreres"	"Can Carreres"							"way"	"725204681"		"{'addr:city': \"Violbí d'Onyar\", 'addr:postcode': '17185', 'building': 'house', 'name': 'Can Carreres'}"
"Can Cavaller"	"Can Cavaller"							"way"	"726575716"		"{'building': 'house', 'name': 'Can Cavaller'}"
"Can Colom Nou"	"Can Colom Nou"							"way"	"725436453"		"{'building': 'house', 'name': 'Can Colom Nou'}"
"Can Colomer"	"Can Colomer"							"way"	"699684006"		"{'building': 'house', 'name': 'Can Colomer'}"
"Can Cornellà"	"Can Cornellà"							"way"	"725204689"		"{'building': 'house', 'name': 'Can Cornellà'}"
"Can Devesa"	"Can Devesa"							"way"	"699684023"		"{'building': 'house', 'name': 'Can Devesa'}"
"Can Devesa Nou"	"Can Devesa Nou"							"way"	"699695267"		"{'building': 'house', 'name': 'Can Devesa Nou'}"
"Can Fèlix"	"Can Fèlix"							"way"	"725433601"		"{'building': 'house', 'name': 'Can Fèlix'}"
"Can Formiga"	"Can Formiga"							"way"	"699695476"		"{'building': 'house', 'name': 'Can Formiga'}"
"Can Freu"	"Can Freu"							"node"	"534607445"		"{'name': 'Can Freu'}"
"Can Gabriel"	"Can Gabriel"							"way"	"699695286"		"{'building': 'house', 'name': 'Can Gabriel'}"
"Can Garriga"	"Can Garriga"							"way"	"699695305"		"{'building': 'house', 'name': 'Can Garriga'}"
"Can Ginesta"	"Can Ginesta"							"node"	"6802711597"		"{'addr:city': \"Vilobí d'Onyar\", 'amenity': 'restaurant', 'name': 'Can Ginesta'}"
"Can Gras"	"Can Gras"							"way"	"726575695"		"{'addr:city': \"Vilobí d'Onyar\", 'building': 'house', 'name': 'Can Gras'}"
"Can Gros"	"Can Gros"							"way"	"699702945"		"{'building': 'house', 'name': 'Can Gros'}"
"Can Gros"	"Can Gros"							"node"	"4043567363"		"{'amenity': 'restaurant', 'cuisine': 'regional', 'name': 'Can Gros', 'source': 'survey'}"
"Can Llobet"	"Can Llobet"							"node"	"3741570188"		"{'name': 'Can Llobet', 'place': 'isolated_dwelling'}"
"Can Marquès"	"Can Marquès"							"way"	"725436441"		"{'building': 'house', 'name': 'Can Marquès'}"
"Can Mateu"	"Can Mateu"							"way"	"726575686"		"{'building': 'house', 'name': 'Can Mateu'}"
"Can Morell"	"Can Morell"							"way"	"799292851"		"{'building': 'detached', 'name': 'Can Morell'}"
"Can Morral"	"Can Morral"							"way"	"725433600"		"{'building': 'house', 'name': 'Can Morral'}"
"Can Palaí"	"Can Palaí"							"way"	"94247631"		"{'addr:city': \"Vilobí d'Onyar\", 'building': 'yes', 'name': 'Can Palaí'}"
"Can Passavetes"	"Can Passavetes"							"way"	"699695332"		"{'building': 'house', 'name': 'Can Passavetes'}"
"Can Pèlec"	"Can Pèlec"							"way"	"605888556"		"{'building': 'detached', 'name': 'Can Pèlec'}"
"Can Pèlec Vell"	"Can Pèlec Vell"							"way"	"605888559"		"{'building': 'detached', 'name': 'Can Pèlec Vell'}"
"Can Pere Màrtir"	"Can Pere Màrtir"							"node"	"5859723320"		"{'name': 'Can Pere Màrtir', 'place': 'farm', 'postal_code': '17184', 'website': 'https://masbes.net/'}"
"Can Peres"	"Can Peres"							"node"	"3741570189"		"{'name': 'Can Peres', 'place': 'isolated_dwelling'}"
"Can Planella Serra"	"Can Planella Serra"							"way"	"699702962"		"{'building': 'house', 'name': 'Can Planella Serra'}"
"Can Planes"	"Can Planes"							"way"	"793421303"		"{'building': 'detached', 'name': 'Can Planes'}"
"Can Rata"	"Can Rata"							"way"	"699695299"		"{'building': 'house', 'name': 'Can Rata'}"
"Can Recasens"	"Can Recasens"							"way"	"725436438"		"{'addr:city': \"Vilobí d'Onyar\", 'building': 'house', 'name': 'Can Recasens'}"
"Can Rodó"	"Can Rodó"							"node"	"3741570191"		"{'name': 'Can Rodó', 'place': 'isolated_dwelling'}"
"Can Rodó"	"Can Rodó"							"way"	"727063853"		"{'building': 'house', 'name': 'Can Rodó'}"
"Can Roure"	"Can Roure"							"way"	"727063861"		"{'building': 'house', 'name': 'Can Roure'}"
"Can Roure"	"Can Roure"							"node"	"3741570192"		"{'name': 'Can Roure', 'place': 'isolated_dwelling'}"
"Can Rovira"	"Can Rovira"							"way"	"793421297"		"{'building': 'detached', 'name': 'Can Rovira'}"
