"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de l'Estació"	"Avinguda de l'Estació"			""	""	""	""	"way"	" 225007281"		"{'highway': 'residential', 'name': \"Avinguda de l'Estació\", 'source': 'Bing'}"
"Avinguda de les Terres de l'Ebre"	"Avinguda de les Terres de l'Ebre"			""	""	""	""	"way"	" 225007260"		"{'highway': 'tertiary', 'name': \"Avinguda de les Terres de l'Ebre\", 'ref': 'C-12z', 'source': 'PNOA'}"
"Avinguda de Martí Martí"	"Avinguda de Martí Martí"			""	""	""	""	"way"	" 166994589"		"{'highway': 'residential', 'name': 'Avinguda de Martí Martí', 'source': 'Bing'}"
"Camí antic de la Punta Alta"	"Camí antic de la Punta Alta"			""	""	""	""	"way"	" 944572145"		"{'highway': 'track', 'name': 'Camí antic de la Punta Alta'}"
"Camí d'Alfara"	"Camí d'Alfara"			""	""	""	""	"way"	" 816531865"		"{'highway': 'unclassified', 'lanes': '1', 'name': \"Camí d'Alfara\", 'source': 'Bing, GPS', 'surface': 'asphalt', 'width': '5'}"
"Camí d'Alfara"	"Camí d'Alfara"			""	""	""	""	"way"	" 168342657"		"{'highway': 'unclassified', 'lanes': '1', 'name': \"Camí d'Alfara\", 'source': 'Bing, GPS', 'surface': 'asphalt', 'width': '5'}"
"Camí de ferradura del Reget"	"Camí de ferradura del Reget"			""	""	""	""	"way"	" 390635808"		"{'highway': 'bridleway', 'name': 'Camí de ferradura del Reget'}"
"Camí de la Font de Nadal"	"Camí de la Font de Nadal"			""	""	""	""	"way"	" 168180970"		"{'highway': 'track', 'name': 'Camí de la Font de Nadal'}"
"Camí de la Font de Perera"	"Camí de la Font de Perera"			""	""	""	""	"way"	" 944572150"		"{'highway': 'track', 'name': 'Camí de la Font de Perera'}"
"Camí de la Punta Alta"	"Camí de la Punta Alta"			""	""	""	""	"way"	" 292124541"		"{'highway': 'unclassified', 'name': 'Camí de la Punta Alta'}"
"Camí de la Romalda"	"Camí de la Romalda"			""	""	""	""	"way"	" 944572144"		"{'highway': 'track', 'name': 'Camí de la Romalda'}"
