"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament El Montmell"	"Ajuntament El Montmell"							"relation"	"   1394583"		"{'amenity': 'townhall', 'building': 'yes', 'name': 'Ajuntament El Montmell', 'source': 'PNOA', 'type': 'multipolygon'}"
"Bosc  de la Plana 'Aiguaviva"	"Bosc  de la Plana 'Aiguaviva"							"node"	"6872828347"		"{'name': \"Bosc  de la Plana 'Aiguaviva\", 'natural': 'wood'}"
"Bosc de Cal Gravat"	"Bosc de Cal Gravat"							"node"	"7434136790"		"{'name': 'Bosc de Cal Gravat', 'natural': 'wood'}"
"Bosc de Mas Campanera"	"Bosc de Mas Campanera"							"node"	"1241771746"		"{'name': 'Bosc de Mas Campanera', 'natural': 'wood', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Mas Miquel"	"Bosc de Mas Miquel"							"node"	"1241766771"		"{'name': 'Bosc de Mas Miquel', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc de Roca de Vidal"	"Bosc de Roca de Vidal"							"node"	"1241785066"		"{'name': 'Bosc de Roca de Vidal', 'natural': 'wood', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc del Forn de la Calç"	"Bosc del Forn de la Calç"							"node"	"7371892299"		"{'name': 'Bosc del Forn de la Calç', 'natural': 'wood'}"
"Bosc del Pi de les Tres Soques"	"Bosc del Pi de les Tres Soques"							"node"	"1241783760"		"{'name': 'Bosc del Pi de les Tres Soques', 'place': 'unknown', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Bosc dels Pins Vers"	"Bosc dels Pins Vers"							"node"	"8173970044"		"{'name': 'Bosc dels Pins Vers', 'natural': 'wood'}"
"Bosc Gran del Montmell"	"Bosc Gran del Montmell"							"node"	"6193060775"		"{'name': 'Bosc Gran del Montmell', 'natural': 'wood'}"
"Bosc Negre"	"Bosc Negre"							"node"	"1241754749"		"{'name': 'Bosc Negre', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Castell de Can Ferrer"	"Castell de Can Ferrer"							"node"	"5401695290"		"{'historic': 'castle', 'name': 'Castell de Can Ferrer', 'ruins': 'yes'}"
"Castell de Marmellar"	"Castell de Marmellar"							"node"	"3916693008"		"{'historic': 'castle', 'name': 'Castell de Marmellar', 'ruins': 'yes'}"
"Mas Bartomeu"	"Mas Bartomeu"							"way"	" 428179897"		"{'building': 'ruins', 'name': 'Mas Bartomeu', 'ruins': 'yes'}"
"Mas Campanera"	"Mas Campanera"							"node"	"7354643918"		"{'name': 'Mas Campanera', 'place': 'isolated_dwelling'}"
"Mas Campanera"	"Mas Campanera"							"node"	"7528373719"		"{'name': 'Mas Campanera', 'place': 'locality'}"
"Mas Miquel"	"Mas Miquel"							"way"	" 936273862"		"{'building': 'yes', 'building:levels': '2', 'name': 'Mas Miquel'}"
"Mas Murat"	"Mas Murat"							"way"	" 688489727"		"{'building': 'ruins', 'name': 'Mas Murat'}"
"Mas Solà"	"Mas Solà"							"node"	"7354643948"		"{'name': 'Mas Solà', 'place': 'isolated_dwelling'}"
