"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Roig"	"Can Roig"							"way"	"198437545"		"{'contact:facebook': 'https://www.facebook.com/camping.canroig', 'name': 'Can Roig', 'phone': '+34 973 690 502', 'tourism': 'camp_site'}"
"Coll d'Art"	"Coll d'Art"							"node"	"4167078168"		"{'ele': '1321.7', 'name': \"Coll d'Art\", 'natural': 'saddle'}"
"Coll d'Espina"	"Coll d'Espina"							"node"	"4894071381"		"{'ele': '2004.9', 'name': \"Coll d'Espina\", 'natural': 'saddle'}"
"Coll de la Calbera"	"Coll de la Calbera"							"node"	"4893559608"		"{'ele': '1661.5', 'name': 'Coll de la Calbera', 'natural': 'saddle'}"
"Coll de Sant Roc d'Adons"	"Coll de Sant Roc d'Adons"							"node"	"3920610595"		"{'ele': '1463.8', 'name': \"Coll de Sant Roc d'Adons\", 'natural': 'saddle'}"
"Coll de Sant Roc de Viu"	"Coll de Sant Roc de Viu"							"node"	"293028427"		"{'ele': '1441', 'mountain_pass': 'yes', 'name': 'Coll de Sant Roc de Viu', 'natural': 'saddle'}"
"Coll de Serreres, Vilaller"	"Coll de Serreres, Vilaller"							"relation"	"12246791"		"{'ascent': '427', 'distance': '4.2', 'name': 'Coll de Serreres, Vilaller', 'network': 'rwn', 'roundtrip': 'no', 'route': 'hiking', 'type': 'route', 'website': 'http://www.turismealtaribagorca.cat/ca/activitat/municipality-vall-de-boi-vilaller/ruta-del-coll-de-serreres'}"
"Coll Major"	"Coll Major"							"node"	"3022263219"		"{'ele': '2125.5', 'name': 'Coll Major', 'natural': 'saddle', 'source': 'Institut Cartogràfic de Catalunya'}"
"Font de la Mena"	"Font de la Mena"							"node"	"9639868554"		"{'name': 'Font de la Mena'}"
"Font de la Mena"	"Font de la Mena"							"way"	"527338057"		"{'amenity': 'parking', 'name': 'Font de la Mena', 'parking': 'surface'}"
"Font de Sapena"	"Font de Sapena"							"node"	"7880732841"		"{'amenity': 'drinking_water', 'name': 'Font de Sapena'}"
"Serra Capitana"	"Serra Capitana"							"node"	"1241620388"		"{'name': 'Serra Capitana', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra Capitana"	"Serra Capitana"							"way"	"834701229"		"{'name': 'Serra Capitana', 'natural': 'ridge'}"
"Serra de Platons"	"Serra de Platons"							"node"	"1241611169"		"{'name': 'Serra de Platons', 'place': 'unknown', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serra del Clotet"	"Serra del Clotet"							"way"	"497860594"		"{'name': 'Serra del Clotet', 'natural': 'ridge'}"
"Serrat de Casilda"	"Serrat de Casilda"							"node"	"1241635244"		"{'name': 'Serrat de Casilda', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de l'Erm"	"Serrat de l'Erm"							"node"	"2082327758"		"{'ele': '1275.9', 'name': \"Serrat de l'Erm\", 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat de la Feixa"	"Serrat de la Feixa"							"node"	"3920101271"		"{'ele': '1315.4', 'name': 'Serrat de la Feixa', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
"Serrat de les Costes de Montiberri"	"Serrat de les Costes de Montiberri"							"node"	"1241654486"		"{'name': 'Serrat de les Costes de Montiberri', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de les Coves"	"Serrat de les Coves"							"node"	"1241642070"		"{'name': 'Serrat de les Coves', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de les Pales"	"Serrat de les Pales"							"node"	"1241652048"		"{'name': 'Serrat de les Pales', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de Montagut"	"Serrat de Montagut"							"node"	"1241626402"		"{'name': 'Serrat de Montagut', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de Vicent"	"Serrat de Vicent"							"node"	"1241627259"		"{'name': 'Serrat de Vicent', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat de Vicent"	"Serrat de Vicent"							"way"	"839382147"		"{'name': 'Serrat de Vicent', 'natural': 'ridge'}"
"Serrat del Brocal"	"Serrat del Brocal"							"node"	"1241649093"		"{'name': 'Serrat del Brocal', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat del Forcall"	"Serrat del Forcall"							"way"	"497858049"		"{'ele': '2291', 'name': 'Serrat del Forcall', 'natural': 'ridge'}"
"Serrat del Portell"	"Serrat del Portell"							"way"	"834701228"		"{'name': 'Serrat del Portell', 'natural': 'ridge'}"
"Serrat dels Comunals"	"Serrat dels Comunals"							"node"	"1241624832"		"{'name': 'Serrat dels Comunals', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat dels Fronts"	"Serrat dels Fronts"							"node"	"1241635605"		"{'name': 'Serrat dels Fronts', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Serrat dels Fronts"	"Serrat dels Fronts"							"way"	"834701234"		"{'name': 'Serrat dels Fronts', 'natural': 'ridge'}"
"Serrat dels Teixons"	"Serrat dels Teixons"							"node"	"3920101274"		"{'ele': '1287.2', 'name': 'Serrat dels Teixons', 'natural': 'peak', 'source': 'Institut Cartogràfic de Catalunya'}"
