"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Francàs"	"Cal Francàs"							"node"	"8780967320"		"{'amenity': 'restaurant', 'name': 'Cal Francàs', 'phone': '+34630081778'}"
"Cal Pelegrí"	"Cal Pelegrí"							"node"	"9711027008"		"{'name': 'Cal Pelegrí', 'place': 'locality'}"
"Cal Pep"	"Cal Pep"							"node"	"9570395971"		"{'addr:city': 'Vendrell, el', 'addr:housenumber': '43', 'addr:postcode': '43700', 'addr:street': 'Avinguda de Sant Vicenç', 'amenity': 'restaurant', 'name': 'Cal Pep', 'phone': '+34 977 66 68 09'}"
"Escola Àngel Guimerà"	"Escola Àngel Guimerà"			"Escola Àngel Guimerà"		"Catalonia school"	"Q111309683"	"way"	"286803379"		"{'addr:city': 'El Vendrell', 'addr:housenumber': '7', 'addr:postcode': '43700', 'addr:street': 'Carrer de Frederic. Marès Deulovol', 'amenity': 'school', 'name': 'Escola Àngel Guimerà', 'ref': '43004748', 'wikidata': 'Q111309683'}"
"Escola Àngels Garriga"	"Escola Àngels Garriga"			"Escola Àngels Garriga"		"Catalonia school"	"Q111309773"	"way"	"259875380"	"name:etymology:wikidata=Q9098091"	"{'amenity': 'school', 'name': 'Escola Àngels Garriga', 'name:etymology:wikidata': 'Q9098091', 'ref': '43006587', 'wikidata': 'Q111309773'}"
"Escola bressol El Botafoc"	"Escola bressol El Botafoc"							"way"	"342673517"		"{'amenity': 'kindergarten', 'name': 'Escola bressol El Botafoc', 'ref': '43011871'}"
"Escola Bressol Vent de Migjorn"	"Escola Bressol Vent de Migjorn"							"way"	"292744144"		"{'amenity': 'kindergarten', 'name': 'Escola Bressol Vent de Migjorn', 'ref': '43012277'}"
"Escola d'art Apel·les Fenosa"	"Escola d'art Apel·les Fenosa"							"way"	"385214441"		"{'amenity': 'school', 'building': 'school', 'name': \"Escola d'art Apel·les Fenosa\"}"
"Escola Marta Mata"	"Escola Marta Mata"			"Escola Marta Mata"		"Catalonia school"	"Q111309806"	"way"	"239206701"	"name:etymology:wikidata=Q3398832"	"{'amenity': 'school', 'name': 'Escola Marta Mata', 'name:etymology:wikidata': 'Q3398832', 'ref': '43010165', 'wikidata': 'Q111309806'}"
"Escola Pau Casals"	"Escola Pau Casals"			"Escola Pau Casals"		"Catalonia school"	"Q111309684"	"way"	"253095580"		"{'amenity': 'school', 'name': 'Escola Pau Casals', 'ref': '43004815', 'wikidata': 'Q111309684'}"
"Escola Pla de Mar"	"Escola Pla de Mar"							"way"	"888722388"		"{'amenity': 'school', 'name': 'Escola Pla de Mar', 'ref': '43010177'}"
"Escola Sagrat Cor"	"Escola Sagrat Cor"			"Centre educatiu privat Sagrat Cor"		"private educational institution in Catalonia"	"Q111594812"	"way"	"323404173"		"{'amenity': 'school', 'name': 'Escola Sagrat Cor', 'ref': '43004761', 'wikidata': 'Q111594812'}"
"Obaga del Manso"	"Obaga del Manso"							"node"	"7331276755"		"{'name': 'Obaga del Manso', 'place': 'locality'}"
