"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda de Barcelona"	"Avinguda de Barcelona"							"way"	" 105029051"		"{'highway': 'residential', 'name': 'Avinguda de Barcelona', 'surface': 'asphalt'}"
"Avinguda de Barcelona"	"Avinguda de Barcelona"							"way"	"  59421532"		"{'highway': 'tertiary', 'maxspeed': '50', 'name': 'Avinguda de Barcelona', 'oneway': 'no'}"
"Avinguda de Barcelona"	"Avinguda de Barcelona"							"way"	"  77732378"		"{'check_date:surface': '2022-10-11', 'highway': 'residential', 'name': 'Avinguda de Barcelona', 'surface': 'asphalt'}"
"Avinguda de la Serra Alta"	"Avinguda de la Serra Alta"							"way"	" 203060080"		"{'highway': 'residential', 'name': 'Avinguda de la Serra Alta', 'surface': 'asphalt'}"
"Avinguda de la Serra Alta"	"Avinguda de la Serra Alta"							"way"	" 203060100"		"{'cycleway:both': 'no', 'highway': 'unclassified', 'lane_markings': 'no', 'maxspeed': '30', 'name': 'Avinguda de la Serra Alta', 'sidewalk': 'left', 'surface': 'asphalt'}"
"Avinguda de Pierola"	"Avinguda de Pierola"							"way"	" 374073792"		"{'cycleway:both': 'no', 'highway': 'unclassified', 'lane_markings': 'no', 'name': 'Avinguda de Pierola', 'surface': 'asphalt'}"
"Avinguda del Mirador"	"Avinguda del Mirador"							"way"	" 169326647"		"{'highway': 'residential', 'name': 'Avinguda del Mirador', 'oneway': 'no'}"
"Avinguda dels Àlbers"	"Avinguda dels Àlbers"							"way"	" 403481270"		"{'highway': 'residential', 'name': 'Avinguda dels Àlbers', 'oneway': 'yes'}"
"Avinguda dels Àlbers"	"Avinguda dels Àlbers"							"way"	" 403481268"		"{'highway': 'residential', 'name': 'Avinguda dels Àlbers', 'oneway': 'yes'}"
"Avinguda dels Hostalets de Pierola"	"Avinguda dels Hostalets de Pierola"							"way"	" 233760429"		"{'highway': 'residential', 'name': 'Avinguda dels Hostalets de Pierola', 'surface': 'asphalt'}"
"Avinguda dels Hostalets de Pierola"	"Avinguda dels Hostalets de Pierola"							"way"	" 191497107"		"{'highway': 'residential', 'lanes': '2', 'maxspeed': '50', 'name': 'Avinguda dels Hostalets de Pierola', 'oneway': 'no', 'surface': 'asphalt'}"
"Camí asfaltat de Pierola"	"Camí asfaltat de Pierola"							"way"	" 169351106"		"{'cycleway:both': 'no', 'highway': 'unclassified', 'lane_markings': 'no', 'name': 'Camí asfaltat de Pierola', 'surface': 'asphalt'}"
"Camí asfaltat de Pierola"	"Camí asfaltat de Pierola"							"way"	" 983756174"		"{'cycleway:both': 'no', 'highway': 'unclassified', 'lane_markings': 'no', 'name': 'Camí asfaltat de Pierola', 'surface': 'asphalt'}"
"Camí asfaltat de Pierola"	"Camí asfaltat de Pierola"							"way"	" 983756175"		"{'highway': 'unclassified', 'name': 'Camí asfaltat de Pierola', 'surface': 'asphalt'}"
"Camí de Can Fontimarc a Can Gimferrer"	"Camí de Can Fontimarc a Can Gimferrer"							"way"	" 203596630"		"{'highway': 'track', 'mtb:scale': '1', 'name': 'Camí de Can Fontimarc a Can Gimferrer', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí de Can Marcet"	"Camí de Can Marcet"							"way"	"  60670692"		"{'highway': 'track', 'name': 'Camí de Can Marcet', 'tracktype': 'grade1'}"
"Camí de Can Perallada a Can Marcet"	"Camí de Can Perallada a Can Marcet"							"way"	"  60670693"		"{'highway': 'unclassified', 'name': 'Camí de Can Perallada a Can Marcet', 'tracktype': 'grade1'}"
"Camí de Can Pinal"	"Camí de Can Pinal"							"way"	" 504537164"		"{'abandoned:highway': 'secondary', 'abandoned:ref': 'B-231', 'highway': 'unclassified', 'name': 'Camí de Can Pinal'}"
"Camí de Can Pinal"	"Camí de Can Pinal"							"way"	" 504537168"		"{'highway': 'unclassified', 'name': 'Camí de Can Pinal'}"
"Camí de Can Poncet"	"Camí de Can Poncet"							"way"	" 202938641"		"{'highway': 'track', 'mtb:scale': '1', 'name': 'Camí de Can Poncet', 'surface': 'ground', 'tracktype': 'grade3'}"
"Camí de l'Escorxador"	"Camí de l'Escorxador"							"way"	" 233827196"		"{'highway': 'residential', 'name': \"Camí de l'Escorxador\"}"
"Camí de la Font del Comú"	"Camí de la Font del Comú"							"way"	" 947275115"		"{'bicycle': 'no', 'highway': 'footway', 'horse': 'no', 'motor_vehicle': 'no', 'name': 'Camí de la Font del Comú', 'surface': 'paved'}"
"Camí de Pierola a Montserrat"	"Camí de Pierola a Montserrat"							"way"	" 202938642"		"{'highway': 'track', 'mtb:scale': '0', 'name': 'Camí de Pierola a Montserrat', 'surface': 'ground', 'tracktype': 'grade2'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	"  35575361"		"{'foot': 'yes', 'highway': 'residential', 'lit': 'no', 'name': 'Camí del Cementiri', 'sidewalk': 'none', 'surface': 'dirt'}"
