"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Passatge d'Espinell"	"Passatge d'Espinell"							"way"	"156430582"		"{'highway': 'living_street', 'name': \"Passatge d'Espinell\", 'oneway': 'no'}"
"Passatge de Fra Miquel d'Arandiga"	"Passatge de Fra Miquel d'Arandiga"							"way"	"156433765"		"{'highway': 'living_street', 'name': \"Passatge de Fra Miquel d'Arandiga\", 'oneway': 'no'}"
"Passatge de Jaume I"	"Passatge de Jaume I"							"way"	"156436673"		"{'highway': 'living_street', 'name': 'Passatge de Jaume I', 'oneway': 'no'}"
"Passatge de Jaume I"	"Passatge de Jaume I"							"way"	"439461696"		"{'highway': 'footway', 'name': 'Passatge de Jaume I', 'oneway': 'no'}"
"Passatge de Jaume I"	"Passatge de Jaume I"							"way"	"439461697"		"{'highway': 'footway', 'name': 'Passatge de Jaume I', 'oneway': 'no'}"
"Passatge de Joan Baptista de Victòria"	"Passatge de Joan Baptista de Victòria"							"way"	"439446084"		"{'highway': 'living_street', 'name': 'Passatge de Joan Baptista de Victòria', 'oneway': 'no'}"
"Passatge de l'Àncora"	"Passatge de l'Àncora"							"way"	"156430590"		"{'highway': 'living_street', 'name': \"Passatge de l'Àncora\", 'oneway': 'no'}"
"Passatge de l'Arpó"	"Passatge de l'Arpó"							"way"	"439179797"		"{'highway': 'living_street', 'name': \"Passatge de l'Arpó\", 'oneway': 'no'}"
"Passatge de l'Ham"	"Passatge de l'Ham"							"way"	"156433813"		"{'highway': 'living_street', 'name': \"Passatge de l'Ham\", 'oneway': 'no'}"
"Passatge de l'Historiador Samper"	"Passatge de l'Historiador Samper"							"way"	"156433793"		"{'highway': 'living_street', 'name': \"Passatge de l'Historiador Samper\", 'oneway': 'no'}"
"Passatge de l'Historiador Samper"	"Passatge de l'Historiador Samper"							"way"	"439447028"		"{'highway': 'track', 'name': \"Passatge de l'Historiador Samper\", 'oneway': 'no'}"
"Passatge de l'Historiador Samper"	"Passatge de l'Historiador Samper"							"way"	"439447029"		"{'highway': 'track', 'name': \"Passatge de l'Historiador Samper\", 'oneway': 'no'}"
"Passatge de l'Historiador Vilarroya"	"Passatge de l'Historiador Vilarroya"							"way"	"156433800"		"{'highway': 'track', 'name': \"Passatge de l'Historiador Vilarroya\", 'oneway': 'no'}"
"Passatge de l'Historiador Vilarroya"	"Passatge de l'Historiador Vilarroya"							"way"	"439446819"		"{'highway': 'living_street', 'name': \"Passatge de l'Historiador Vilarroya\", 'oneway': 'no'}"
