"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Avinguda dels Països Catalans"	"Avinguda dels Països Catalans"							"way"	" 108627872"		"{'highway': 'residential', 'name': 'Avinguda dels Països Catalans', 'oneway': 'yes'}"
"Avinguda dels Països Catalans"	"Avinguda dels Països Catalans"							"way"	" 108627874"		"{'highway': 'residential', 'name': 'Avinguda dels Països Catalans'}"
"Avinguda dels Pesquers"	"Avinguda dels Pesquers"							"way"	" 236515249"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda dels Pesquers'}"
"Avinguda dels Pesquers"	"Avinguda dels Pesquers"							"way"	" 108566491"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda dels Pesquers', 'surface': 'asphalt', 'width': '6'}"
"Avinguda Onze de Setembre"	"Avinguda Onze de Setembre"							"way"	" 108514701"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda Onze de Setembre', 'oneway': 'yes'}"
"Avinguda Països Catalans"	"Avinguda Països Catalans"							"way"	" 108514730"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda Països Catalans', 'oneway': 'yes'}"
"Avinguda Països Catalans"	"Avinguda Països Catalans"							"way"	" 108627869"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Avinguda Països Catalans', 'oneway': 'yes'}"
"Camí de l'Armentera"	"Camí de l'Armentera"							"way"	" 222146278"		"{'brp_access': '3', 'highway': 'track', 'maxspeed': '20', 'name': \"Camí de l'Armentera\", 'smoothness': 'bad', 'surface': 'compacted', 'tracktype': 'grade2', 'width': '3.5'}"
"Camí de les Baixures"	"Camí de les Baixures"							"way"	" 108514702"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí de les Baixures'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 108514712"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí del Cementiri', 'surface': 'gravel', 'tracktype': 'grade3', 'width': '3'}"
"Camí del Cementiri"	"Camí del Cementiri"							"way"	" 108514718"		"{'brp_access': '1', 'highway': 'unclassified', 'maxspeed': '30', 'name': 'Camí del Cementiri', 'surface': 'asphalt', 'width': '5'}"
"Camí del Molí - Platja"	"Camí del Molí - Platja"							"way"	" 816982413"		"{'brp_access': '1', 'highway': 'unclassified', 'maxspeed': '30', 'name': 'Camí del Molí - Platja', 'surface': 'asphalt', 'width': '6'}"
"Camí del Molí - Platja"	"Camí del Molí - Platja"							"way"	"  79990142"		"{'brp_access': '1', 'highway': 'unclassified', 'name': 'Camí del Molí - Platja', 'surface': 'asphalt', 'width': '6'}"
"Camí del Molí - Platja"	"Camí del Molí - Platja"							"way"	" 816982410"		"{'brp_access': '1', 'highway': 'unclassified', 'name': 'Camí del Molí - Platja', 'surface': 'asphalt', 'width': '6'}"
"Camí del Riu"	"Camí del Riu"							"way"	" 112442911"		"{'access': 'yes', 'brp_access': '1', 'highway': 'track', 'name': 'Camí del Riu', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '5'}"
"Camí del Riu"	"Camí del Riu"							"way"	"  79990155"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí del Riu', 'surface': 'asphalt', 'width': '5'}"
"Camí del Riu"	"Camí del Riu"							"way"	" 816993014"		"{'access': 'yes', 'brp_access': '1', 'highway': 'track', 'name': 'Camí del Riu', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '5'}"
"Camí dels Pujals"	"Camí dels Pujals"							"way"	" 108514757"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Camí dels Pujals'}"
"Camí dels Pujals"	"Camí dels Pujals"							"way"	" 146603081"		"{'brp_access': '3', 'highway': 'track', 'name': 'Camí dels Pujals', 'surface': 'gravel', 'tracktype': 'grade2', 'width': '3'}"
"Carrer Alexandre Deulofeu"	"Carrer Alexandre Deulofeu"							"way"	" 108514734"		"{'highway': 'pedestrian', 'maxspeed': '20', 'name': 'Carrer Alexandre Deulofeu', 'vehicle': 'destination'}"
"Carrer Alexandre Deulofeu"	"Carrer Alexandre Deulofeu"							"way"	"1035087140"		"{'highway': 'living_street', 'maxspeed': '20', 'name': 'Carrer Alexandre Deulofeu'}"
"Carrer Camp de l'Arbre"	"Carrer Camp de l'Arbre"							"way"	" 108514756"		"{'highway': 'residential', 'maxspeed': '30', 'name': \"Carrer Camp de l'Arbre\"}"
"Carrer Camp del Bosch"	"Carrer Camp del Bosch"							"way"	" 108627865"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer Camp del Bosch', 'width': '5'}"
"Carrer Canigó"	"Carrer Canigó"							"way"	" 108627868"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer Canigó', 'width': '5'}"
"Carrer Canigó"	"Carrer Canigó"							"way"	" 108627852"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer Canigó', 'surface': 'unpaved', 'width': '3'}"
"Carrer Canigó"	"Carrer Canigó"							"way"	" 108566470"		"{'highway': 'living_street', 'maxspeed': '20', 'name': 'Carrer Canigó'}"
"Carrer Cinc Claus"	"Carrer Cinc Claus"							"way"	" 108514755"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer Cinc Claus', 'oneway': 'yes'}"
"Carrer de Baixada"	"Carrer de Baixada"							"way"	" 108627846"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer de Baixada', 'width': '5'}"
"Carrer de Baixada"	"Carrer de Baixada"							"way"	" 108627863"		"{'highway': 'residential', 'maxspeed': '30', 'name': 'Carrer de Baixada'}"
"Carrer de Ginjoler"	"Carrer de Ginjoler"							"way"	" 108514748"		"{'highway': 'living_street', 'maxspeed': '20', 'name': 'Carrer de Ginjoler', 'narrow': 'yes'}"
"Carrer de Ginjoler"	"Carrer de Ginjoler"							"way"	" 530638478"		"{'highway': 'living_street', 'maxspeed': '20', 'name': 'Carrer de Ginjoler', 'oneway': 'yes'}"
"Carrer de Ginjoler"	"Carrer de Ginjoler"							"way"	" 656225403"		"{'highway': 'residential', 'maxspeed': '20', 'name': 'Carrer de Ginjoler'}"
"Carrer de Ginjoler"	"Carrer de Ginjoler"							"way"	" 108566485"		"{'goods': 'no', 'hgv': 'no', 'highway': 'living_street', 'maxspeed': '20', 'name': 'Carrer de Ginjoler', 'oneway': 'yes'}"
"Carrer de Jacint Verdaguer"	"Carrer de Jacint Verdaguer"							"way"	" 108566481"	"name:etymology:wikidata=Q379290"	"{'highway': 'living_street', 'maxspeed': '20', 'name': 'Carrer de Jacint Verdaguer', 'name:etymology:wikidata': 'Q379290'}"
"Carrer de l'Ajuntament"	"Carrer de l'Ajuntament"							"way"	" 108566489"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Ajuntament\"}"
"Carrer de l'Ajuntament"	"Carrer de l'Ajuntament"							"way"	" 108566471"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Ajuntament\", 'oneway': 'yes'}"
"Carrer de l'Albera"	"Carrer de l'Albera"							"way"	" 656225402"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Albera\"}"
"Carrer de l'Albera"	"Carrer de l'Albera"							"way"	" 108514725"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Albera\", 'narrow': 'yes'}"
"Carrer de l'Arn"	"Carrer de l'Arn"							"way"	" 108566474"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Arn\"}"
"Carrer de l'Esglesia"	"Carrer de l'Esglesia"							"way"	" 108514726"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Esglesia\", 'surface': 'asphalt'}"
"Carrer de l'Esglesia"	"Carrer de l'Esglesia"							"way"	" 113794108"		"{'goods': 'no', 'hgv': 'no', 'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Esglesia\", 'oneway': 'yes', 'surface': 'asphalt'}"
"Carrer de l'Hospital"	"Carrer de l'Hospital"							"way"	" 108514742"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Hospital\"}"
"Carrer de l'Hospital"	"Carrer de l'Hospital"							"way"	" 113794149"		"{'highway': 'living_street', 'maxspeed': '20', 'name': \"Carrer de l'Hospital\"}"
"Carrer de l'Om"	"Carrer de l'Om"							"way"	" 108514711"		"{'highway': 'residential', 'maxspeed': '30', 'name': \"Carrer de l'Om\", 'oneway': 'yes'}"
