"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Codina"	"Can Codina"							"node"	"3520380874"		"{'name': 'Can Codina', 'place': 'isolated_dwelling'}"
"Can Costa"	"Can Costa"							"node"	"7510740552"		"{'name': 'Can Costa', 'place': 'isolated_dwelling'}"
"Can Cots"	"Can Cots"							"node"	"7512178919"		"{'name': 'Can Cots', 'place': 'isolated_dwelling'}"
"Can Font"	"Can Font"							"node"	"7510792950"		"{'name': 'Can Font', 'place': 'isolated_dwelling'}"
"Can Pinça"	"Can Pinça"							"node"	"7512179771"		"{'name': 'Can Pinça', 'place': 'isolated_dwelling'}"
"Can Traver"	"Can Traver"							"node"	"4488185711"		"{'name': 'Can Traver', 'place': 'isolated_dwelling'}"
"Coll de Comaposada"	"Coll de Comaposada"							"node"	"7538897063"		"{'ele': '932.4', 'name': 'Coll de Comaposada', 'natural': 'saddle'}"
"Serra de l'Alzina"	"Serra de l'Alzina"							"node"	"1241566463"		"{'name': \"Serra de l'Alzina\", 'place': 'locality'}"
"Serrat de Bonavista"	"Serrat de Bonavista"							"node"	"1241548891"		"{'name': 'Serrat de Bonavista', 'place': 'locality'}"
"Serrat de Comatosa"	"Serrat de Comatosa"							"node"	"1241555395"		"{'name': 'Serrat de Comatosa', 'place': 'locality'}"
"Serrat de la Casanova"	"Serrat de la Casanova"							"node"	"7512179772"		"{'ele': '846.4', 'name': 'Serrat de la Casanova', 'natural': 'peak'}"
