"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Can Barceló"	"Can Barceló"							"way"	"399534434"		"{'building': 'yes', 'name': 'Can Barceló'}"
"Can Benet"	"Can Benet"							"node"	"7905623392"		"{'addr:housenumber': '2', 'name': 'Can Benet'}"
"Can Benet Gros"	"Can Benet Gros"							"way"	"126554429"		"{'addr:city': 'La Cellera de Ter', 'addr:housename': 'Can Benet Gros', 'addr:postcode': '17165', 'building': 'house', 'name': 'Can Benet Gros', 'source': 'PNOA', 'source:date': '2009'}"
"Can Bertran"	"Can Bertran"							"relation"	"1773660"		"{'addr:city': 'La Cellera de Ter', 'addr:housename': 'Can Bertran', 'building': 'yes', 'name': 'Can Bertran', 'source': 'PNOA', 'source:date': '2009', 'type': 'multipolygon'}"
"Can Bosch"	"Can Bosch"							"way"	"162695893"		"{'building': 'detached', 'name': 'Can Bosch', 'source': 'PNOA'}"
"Can Bosch"	"Can Bosch"							"node"	"7803694647"		"{'addr:city': 'La Cellera de Ter', 'addr:country': 'ES', 'addr:housenumber': '3', 'addr:street': 'Carrer Montsenyor Auseller', 'name': 'Can Bosch'}"
"Can Camps De La Via"	"Can Camps De La Via"							"way"	"698284108"		"{'building': 'house', 'name': 'Can Camps De La Via'}"
"Can Casasses"	"Can Casasses"							"relation"	"11312278"		"{'addr:city': 'La Cellera de Ter', 'addr:country': 'ES', 'addr:housenumber': '10', 'addr:postcode': '17165', 'addr:street': 'Carrer Doctor Codina', 'building': 'yes', 'building:levels': '2', 'name': 'Can Casasses', 'opening_hours': 'Tu-Fr 10:00-13:00, Mo-Fr 17:00-21:00; Sa 10:00-14:00,17:00-21:00', 'roof:levels': '0', 'shop': 'furniture', 'type': 'multipolygon', 'website': 'https://www.casassas.com/'}"
"Can Coll"	"Can Coll"							"relation"	"14346417"		"{'building': 'house', 'name': 'Can Coll', 'type': 'multipolygon'}"
"Can Collell"	"Can Collell"							"node"	"7905618099"		"{'name': 'Can Collell'}"
"Can Crist"	"Can Crist"							"way"	"132071015"		"{'building': 'detached', 'name': 'Can Crist', 'source': 'PNOA', 'source:date': '2009'}"
"Can Ferriol"	"Can Ferriol"							"way"	"84137398"		"{'building': 'yes', 'name': 'Can Ferriol'}"
"Can Ferriol Nou"	"Can Ferriol Nou"							"way"	"84137392"		"{'building': 'yes', 'name': 'Can Ferriol Nou'}"
"Can Francisco"	"Can Francisco"							"way"	"125748334"		"{'building': 'detached', 'name': 'Can Francisco', 'source': 'PNOA', 'source:date': '2009'}"
"Can Lloret"	"Can Lloret"							"way"	"162718204"		"{'addr:housename': 'Can Lloret', 'building': 'house', 'name': 'Can Lloret', 'source': 'PNOA'}"
"Can Mel"	"Can Mel"							"way"	"126604539"		"{'building': 'detached', 'name': 'Can Mel', 'source': 'PNOA', 'source:date': '2009'}"
"Can Moliner"	"Can Moliner"							"node"	"7905623391"		"{'name': 'Can Moliner'}"
"Can Mon"	"Can Mon"							"node"	"1400319466"		"{'addr:city': 'la Cellera de Ter', 'addr:housenumber': '18', 'addr:postcode': '17165', 'addr:street': 'Avinguda Nostra Senyora de Montserrat', 'brand': 'Dia', 'brand:wikidata': 'Q925132', 'brand:wikipedia': 'es:Supermercados DIA', 'name': 'Can Mon', 'operator': 'Dia', 'payment:cash': 'yes', 'payment:coins': 'yes', 'payment:contactless': 'yes', 'payment:credit_cards': 'yes', 'phone': '+34 97421635', 'shop': 'supermarket'}"
"Can Palet"	"Can Palet"							"way"	"125748333"		"{'building': 'detached', 'name': 'Can Palet', 'source': 'PNOA', 'source:date': '2009'}"
"Can Palet"	"Can Palet"							"way"	"132071014"		"{'addr:city': 'La Cellera de Ter', 'addr:housename': 'Can Palet', 'building': 'yes', 'name': 'Can Palet', 'source': 'PNOA', 'source:date': '2009'}"
"Can Peixet"	"Can Peixet"							"way"	"125752194"		"{'addr:city': 'La Cellera de Ter', 'addr:housename': 'Can Peixet', 'addr:postcode': '17165', 'building': 'house', 'name': 'Can Peixet', 'source': 'PNOA', 'source:date': '2009'}"
"Can Pujades"	"Can Pujades"							"way"	"125748324"		"{'building': 'detached', 'name': 'Can Pujades', 'source': 'PNOA', 'source:date': '2009'}"
"Can Quer"	"Can Quer"							"way"	"84137393"		"{'addr:city': 'La Cellera de Ter', 'addr:housename': 'Can Quer', 'addr:housenumber': '3', 'addr:postcode': '17166', 'addr:street': 'Carrtera Girona-Olot', 'amenity': 'restaurant', 'building': 'detached', 'name': 'Can Quer', 'phone': '+34 972421715', 'source': 'PNOA', 'source:date': '2009'}"
"Can Quim de les vaques"	"Can Quim de les vaques"							"way"	"511303249"		"{'building': 'house', 'name': 'Can Quim de les vaques'}"
"Can Riusec"	"Can Riusec"							"way"	"126554430"		"{'addr:city': 'La Cellera de Ter', 'addr:housenumber': '30', 'addr:postcode': '17165', 'addr:street': 'Plademunt', 'building': 'detached', 'name': 'Can Riusec'}"
"Can Roseta Santa"	"Can Roseta Santa"							"way"	"698285349"		"{'addr:city': 'la Cellera de Ter', 'building': 'house', 'name': 'Can Roseta Santa'}"
"Can Roure"	"Can Roure"							"way"	"706624651"		"{'highway': 'service', 'name': 'Can Roure', 'service': 'driveway', 'surface': 'unpaved'}"
"Can Sant"	"Can Sant"							"way"	"154529292"		"{'addr:housenumber': '33', 'addr:street': 'Pladevall', 'building': 'detached', 'building:levels': '2', 'name': 'Can Sant', 'roof:levels': '1', 'source': 'PNOA'}"
"Can Serinyà"	"Can Serinyà"							"way"	"153212119"		"{'building': 'yes', 'name': 'Can Serinyà', 'source': 'PNOA'}"
"Can Serra"	"Can Serra"	"Can Serra del Turonell"	"Can Serra del Turonell"					"way"	"176656525"		"{'addr:city': 'La Cellera de Ter', 'addr:country': 'ES', 'addr:housename': 'Can Serra', 'alt_name': 'Can Serra del Turonell', 'building': 'yes', 'name': 'Can Serra', 'source': 'PNOA'}"
"Can Serra"	"Can Serra"							"relation"	"1765666"		"{'building': 'house', 'building:levels': '3', 'building:material': 'concrete', 'name': 'Can Serra', 'operator': 'Ajuntament de la Cellera de Ter', 'roof:levels': '1', 'source': 'PNOA', 'source:date': '2009', 'type': 'multipolygon'}"
"Can Serrallonga"	"Can Serrallonga"							"way"	"125752208"		"{'building': 'house', 'name': 'Can Serrallonga', 'source': 'PNOA', 'source:date': '2009'}"
"Can Toni Valent"	"Can Toni Valent"							"node"	"1746360973"		"{'addr:city': 'La Cellera de Ter', 'addr:country': 'ES', 'addr:housename': 'Can Toni', 'addr:housenumber': '18', 'addr:postcode': '17165', 'addr:street': 'Carrer de les Brugueres', 'name': 'Can Toni Valent'}"
"Can Trèvol"	"Can Trèvol"							"node"	"8888087175"		"{'name': 'Can Trèvol', 'shop': 'greengrocer'}"
"Can Vaquer"	"Can Vaquer"							"node"	"7803694639"		"{'addr:city': 'La Cellera de Ter', 'addr:country': 'ES', 'addr:housenumber': '8', 'addr:street': 'Carrer Montsenyor Auseller', 'name': 'Can Vaquer'}"
"Coll de la Palomera"	"Coll de la Palomera"							"node"	"847087222"		"{'mountain_pass': 'yes', 'name': 'Coll de la Palomera', 'natural': 'saddle'}"
"Font de Can Nofre"	"Font de Can Nofre"							"node"	"1430851885"		"{'amenity': 'drinking_water', 'name': 'Font de Can Nofre'}"
"Font de Can Pla"	"Font de Can Pla"							"way"	"37682948"		"{'leisure': 'park', 'name': 'Font de Can Pla'}"
"Font de Can Pla"	"Font de Can Pla"							"node"	"7416595145"		"{'amenity': 'fountain', 'name': 'Font de Can Pla'}"
"Font de Can Ribes"	"Font de Can Ribes"							"node"	"441877360"		"{'amenity': 'fountain', 'name': 'Font de Can Ribes'}"
"Font del Bassi"	"Font del Bassi"							"node"	"884559037"		"{'amenity': 'drinking_water', 'ele': '460', 'name': 'Font del Bassi', 'place': 'locality', 'wheelchair': 'limited'}"
"Font Martí"	"Font Martí"							"node"	"7795109363"		"{'name': 'Font Martí', 'office': 'company', 'phone': '+34 972 235 233'}"
"Puig d'Afrau"	"Puig d'Afrau"							"node"	"1241595388"		"{'name': \"Puig d'Afrau\", 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
