"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Camí d'Orpinell"	"Camí d'Orpinell"							"way"	"421997980"		"{'highway': 'path', 'name': \"Camí d'Orpinell\"}"
"Camí de Baltà"	"Camí de Baltà"							"way"	"203134893"		"{'highway': 'track', 'name': 'Camí de Baltà'}"
"Camí de Baltà"	"Camí de Baltà"							"way"	"533437231"		"{'highway': 'track', 'name': 'Camí de Baltà'}"
"Camí de Cal Sanahuja"	"Camí de Cal Sanahuja"							"way"	"191232221"		"{'highway': 'residential', 'name': 'Camí de Cal Sanahuja'}"
"Camí de Can Bartolí"	"Camí de Can Bartolí"							"way"	"452136581"		"{'highway': 'unclassified', 'name': 'Camí de Can Bartolí'}"
"Camí de Can Poc"	"Camí de Can Poc"							"way"	"542618551"		"{'highway': 'track', 'name': 'Camí de Can Poc'}"
"Camí de Casanelles"	"Camí de Casanelles"							"way"	"180551505"		"{'highway': 'unclassified', 'name': 'Camí de Casanelles'}"
"Camí de Feixes"	"Camí de Feixes"							"way"	"178669427"		"{'highway': 'track', 'name': 'Camí de Feixes'}"
"Camí de l'Obaga"	"Camí de l'Obaga"							"way"	"390474269"		"{'highway': 'track', 'name': \"Camí de l'Obaga\"}"
"Camí de l'Obaga"	"Camí de l'Obaga"							"way"	"390474270"		"{'highway': 'track', 'name': \"Camí de l'Obaga\"}"
"Camí de l'Obaga"	"Camí de l'Obaga"							"way"	"881035545"		"{'highway': 'path', 'name': \"Camí de l'Obaga\"}"
"Camí de l'Obaga dels Carbons"	"Camí de l'Obaga dels Carbons"							"way"	"901660689"		"{'highway': 'track', 'name': \"Camí de l'Obaga dels Carbons\"}"
"Camí de la Llacuna a Valldosera"	"Camí de la Llacuna a Valldosera"							"way"	"321739514"		"{'highway': 'track', 'name': 'Camí de la Llacuna a Valldosera'}"
"Camí de la Llacuna a Valldosera"	"Camí de la Llacuna a Valldosera"							"way"	"901660681"		"{'highway': 'track', 'name': 'Camí de la Llacuna a Valldosera'}"
"Camí de la Llacuna a Valldosera"	"Camí de la Llacuna a Valldosera"							"way"	"901660683"		"{'highway': 'track', 'name': 'Camí de la Llacuna a Valldosera'}"
"Camí de la Plana"	"Camí de la Plana"							"way"	"471862662"		"{'highway': 'track', 'name': 'Camí de la Plana'}"
"Camí de la Plana d'Ancosa"	"Camí de la Plana d'Ancosa"							"way"	"414955887"		"{'highway': 'track', 'name': \"Camí de la Plana d'Ancosa\"}"
"Camí de la Pollina"	"Camí de la Pollina"							"way"	"779676941"		"{'highway': 'track', 'name': 'Camí de la Pollina'}"
"Camí de la Pollina"	"Camí de la Pollina"							"way"	"901660685"		"{'highway': 'track', 'name': 'Camí de la Pollina'}"
"Camí de la Serra"	"Camí de la Serra"							"way"	"391400615"		"{'highway': 'track', 'name': 'Camí de la Serra', 'tracktype': 'grade2'}"
"Camí de la Serra"	"Camí de la Serra"							"way"	"411048924"		"{'highway': 'track', 'name': 'Camí de la Serra', 'tracktype': 'grade2'}"
"Camí de la Serra"	"Camí de la Serra"							"way"	"452066100"		"{'highway': 'track', 'name': 'Camí de la Serra'}"
"Camí de les Clotes"	"Camí de les Clotes"							"way"	"528395632"		"{'highway': 'track', 'name': 'Camí de les Clotes'}"
"Camí de les Planes"	"Camí de les Planes"							"way"	"197497723"		"{'highway': 'track', 'name': 'Camí de les Planes'}"
"Camí de Mas Bolet"	"Camí de Mas Bolet"							"way"	"442078662"		"{'highway': 'track', 'name': 'Camí de Mas Bolet'}"
"Camí de Sant Joan de Mediona"	"Camí de Sant Joan de Mediona"							"way"	"495710387"		"{'highway': 'track', 'name': 'Camí de Sant Joan de Mediona'}"
"Camí de Solanes"	"Camí de Solanes"							"way"	"409715257"		"{'highway': 'track', 'name': 'Camí de Solanes'}"
"Camí de Solanes GR-172"	"Camí de Solanes GR-172"							"way"	" 78318984"		"{'highway': 'path', 'name': 'Camí de Solanes GR-172', 'sac_scale': 'hiking'}"
"Camí de Solanes GR-172"	"Camí de Solanes GR-172"							"way"	"914710239"		"{'highway': 'path', 'name': 'Camí de Solanes GR-172', 'sac_scale': 'hiking'}"
"Camí del Castell"	"Camí del Castell"							"way"	"191102383"		"{'access': 'yes', 'highway': 'track', 'motorcar': 'yes', 'motorcycle': 'yes', 'name': 'Camí del Castell', 'surface': 'gravel', 'tracktype': 'grade1'}"
"Camí del Castellar"	"Camí del Castellar"							"way"	"403099241"		"{'highway': 'track', 'name': 'Camí del Castellar'}"
"Camí del Coll de la Barraca a la Plana de Font-rubí"	"Camí del Coll de la Barraca a la Plana de Font-rubí"							"way"	"284217431"		"{'highway': 'track', 'name': 'Camí del Coll de la Barraca a la Plana de Font-rubí', 'tracktype': 'grade3'}"
"Camí del Pla de Fonts"	"Camí del Pla de Fonts"							"way"	"180420460"		"{'highway': 'track', 'name': 'Camí del Pla de Fonts'}"
