"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Cal Batlló"	"Cal Batlló"							"way"	"506613781"		"{'building': 'yes', 'name': 'Cal Batlló', 'place': 'isolated_dwelling'}"
"Cal Boix"	"Cal Boix"							"way"	"319734155"		"{'building': 'yes', 'name': 'Cal Boix'}"
"Cal Bruc"	"Cal Bruc"							"way"	"319734164"		"{'building': 'house', 'name': 'Cal Bruc'}"
"Cal Ferrer"	"Cal Ferrer"							"node"	"6552392903"		"{'name': 'Cal Ferrer', 'place': 'isolated_dwelling'}"
"Cal Ferrer"	"Cal Ferrer"							"way"	"643943133"		"{'building': 'yes', 'name': 'Cal Ferrer', 'place': 'isolated_dwelling'}"
"Cal Pigot"	"Cal Pigot"							"node"	"6552422574"		"{'name': 'Cal Pigot', 'place': 'isolated_dwelling'}"
"Cal Romà"	"Cal Romà"							"node"	"6552393019"		"{'name': 'Cal Romà', 'place': 'isolated_dwelling'}"
"Camp de la bassa"	"Camp de la bassa"							"node"	"7502061551"		"{'name': 'Camp de la bassa', 'natural': 'wetland', 'wetland': 'bog'}"
"Santuari de Lourdes de la Nou"	"Santuari de Lourdes de la Nou"							"node"	"1435002387"		"{'amenity': 'place_of_worship', 'denomination': 'catholic', 'name': 'Santuari de Lourdes de la Nou', 'religion': 'christian'}"
"Tossal de cal Batlló"	"Tossal de cal Batlló"							"node"	"6113659366"		"{'ele': '896', 'name': 'Tossal de cal Batlló', 'natural': 'peak'}"
