"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Ajuntament de la Pobla de Cérvoles"	"Ajuntament de la Pobla de Cérvoles"							"way"	" 885142402"		"{'amenity': 'townhall', 'building': 'public', 'building:levels': '1', 'name': 'Ajuntament de la Pobla de Cérvoles'}"
"Bosc del Sord"	"Bosc del Sord"							"node"	"1241681936"		"{'name': 'Bosc del Sord', 'place': 'locality', 'source': 'Instituto Geográfico Nacional', 'source:date': '201011'}"
"Castell de Cérvoles"	"Castell de Cérvoles"							"way"	" 806052305"		"{'building': 'ruins', 'name': 'Castell de Cérvoles'}"
"Mas d'en Peret"	"Mas d'en Peret"							"way"	" 911264129"		"{'building': 'yes', 'name': \"Mas d'en Peret\"}"
"Mas d'en Ramonet del Solanes"	"Mas d'en Ramonet del Solanes"							"node"	"2521906698"		"{'name': \"Mas d'en Ramonet del Solanes\", 'place': 'isolated_dwelling'}"
"Mas de l'Anna"	"Mas de l'Anna"							"way"	"1051437112"		"{'building': 'yes', 'name': \"Mas de l'Anna\"}"
"Mas de la Fumada"	"Mas de la Fumada"							"way"	"1039248193"		"{'building': 'ruins', 'name': 'Mas de la Fumada'}"
"Mas del Bep Sinyor"	"Mas del Bep Sinyor"							"node"	"2874016455"		"{'name': 'Mas del Bep Sinyor', 'place': 'isolated_dwelling'}"
"Mas del Francesc"	"Mas del Francesc"							"node"	"2500335785"		"{'name': 'Mas del Francesc', 'place': 'isolated_dwelling'}"
"Mas del Josep Inés"	"Mas del Josep Inés"							"way"	"1054984944"		"{'building': 'yes', 'name': 'Mas del Josep Inés'}"
"Mas del Manresa"	"Mas del Manresa"							"node"	"2500335786"		"{'name': 'Mas del Manresa', 'place': 'isolated_dwelling'}"
"Mas del Maranga"	"Mas del Maranga"							"way"	"1051437106"		"{'building': 'yes', 'name': 'Mas del Maranga'}"
"Mas del Marc del Tort"	"Mas del Marc del Tort"							"way"	"1037044282"		"{'building': 'yes', 'name': 'Mas del Marc del Tort', 'place': 'isolated_dwelling'}"
"Mas del Pasqualet"	"Mas del Pasqualet"							"node"	"2498103090"		"{'name': 'Mas del Pasqualet', 'place': 'isolated_dwelling'}"
"Mas del Ravalenc"	"Mas del Ravalenc"							"way"	"1038971765"		"{'building': 'yes', 'name': 'Mas del Ravalenc'}"
"Riu de les Tapiades"	"Riu de les Tapiades"							"way"	"1078879190"		"{'name': 'Riu de les Tapiades', 'waterway': 'stream'}"
"Riu de Set"	"Riu de Set"			"Riu de Set, Riu Set"	"Riu de Set"	"watercourse"	"Q4896951"	"way"	" 149763790"		"{'name': 'Riu de Set', 'waterway': 'river', 'wikidata': 'Q4896951', 'wikipedia': 'ca:Riu de Set'}"
