"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Bosc cremat"	"Bosc cremat"							"way"	" 377027129"		"{'highway': 'path', 'incline': 'yes', 'mtb:scale:imba': '1', 'mtb:scale:uphill': '0', 'name': 'Bosc cremat', 'surface': 'unpaved', 'trail_visibility': 'intermediate', 'width': '1'}"
"Bosc de Ca n'Oriac"	"Bosc de Ca n'Oriac"							"node"	"5592297948"		"{'name': \"Bosc de Ca n'Oriac\", 'natural': 'wood'}"
"Bosc de Can Jorn"	"Bosc de Can Jorn"							"node"	"5592297949"		"{'name': 'Bosc de Can Jorn', 'place': 'locality'}"
"Bosc de Can Mainou"	"Bosc de Can Mainou"							"node"	"1241550189"		"{'name': 'Bosc de Can Mainou', 'place': 'locality'}"
"Bosc de Can Recorda"	"Bosc de Can Recorda"							"node"	"1241571656"		"{'name': 'Bosc de Can Recorda', 'place': 'locality'}"
"Bosc de Can Sora"	"Bosc de Can Sora"							"node"	"5592297963"		"{'name': 'Bosc de Can Sora', 'natural': 'wood'}"
"Bosc de Can Vicenç"	"Bosc de Can Vicenç"							"node"	"5592297952"		"{'name': 'Bosc de Can Vicenç', 'place': 'locality'}"
"Bosc de Can Vidal"	"Bosc de Can Vidal"							"node"	"5592297950"		"{'name': 'Bosc de Can Vidal', 'natural': 'wood'}"
"Bosc de la Casa Alta"	"Bosc de la Casa Alta"							"node"	"5592297953"		"{'name': 'Bosc de la Casa Alta', 'natural': 'wood'}"
"Bosc de Sant Pere"	"Bosc de Sant Pere"							"node"	"1241572372"		"{'name': 'Bosc de Sant Pere', 'place': 'locality'}"
"Bosc de Vilalba"	"Bosc de Vilalba"							"relation"	"  10586895"		"{'landuse': 'forest', 'name': 'Bosc de Vilalba', 'type': 'multipolygon'}"
"Bosc del Castell"	"Bosc del Castell"							"node"	"1241565560"		"{'name': 'Bosc del Castell', 'place': 'locality'}"
"Bosc Petit de Ca n'Oriac"	"Bosc Petit de Ca n'Oriac"							"node"	"5592297962"		"{'name': \"Bosc Petit de Ca n'Oriac\", 'natural': 'wood'}"
"Castell de Bell-lloc"	"Castell de Bell-lloc"							"node"	"5592297945"		"{'name': 'Castell de Bell-lloc', 'place': 'isolated_dwelling'}"
"Horts del Torrent"	"Horts del Torrent"							"node"	"5592297940"		"{'name': 'Horts del Torrent', 'place': 'locality'}"
"Mas Foguer"	"Mas Foguer"							"node"	"5592800915"		"{'name': 'Mas Foguer', 'place': 'isolated_dwelling'}"
"Mas Foguer"	"Mas Foguer"							"way"	" 651556125"		"{'building': 'house', 'name': 'Mas Foguer'}"
"Riu Mogent"	"Riu Mogent"			"Mogent, Riu Mogent"	"Mogent"	"watercourse"	"Q6020472"	"way"	" 480950369"		"{'boat': 'no', 'layer': '-1', 'name': 'Riu Mogent', 'tunnel': 'culvert', 'waterway': 'river', 'wikidata': 'Q6020472', 'wikipedia': 'ca:Mogent'}"
"Riu Mogent"	"Riu Mogent"			"Mogent, Riu Mogent"	"Mogent"	"watercourse"	"Q6020472"	"way"	" 480950368"		"{'boat': 'no', 'name': 'Riu Mogent', 'waterway': 'river', 'wikidata': 'Q6020472', 'wikipedia': 'ca:Mogent'}"
"Riu Mogent"	"Riu Mogent"							"way"	" 255641510"		"{'boat': 'no', 'name': 'Riu Mogent', 'waterway': 'stream'}"
"Riu Mogent"	"Riu Mogent"							"way"	" 739812431"		"{'boat': 'no', 'name': 'Riu Mogent', 'waterway': 'river'}"
