"# EDITED with R"	""	""	""	""	""	""	""	""	""	""	""
"name"	"name:ca"	"alt_name"	"alt_name:ca"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"	"typeOSM"	"idOSM"	"multilang_names"	"all_tags"
"Palau Episcopal"	"Palau Episcopal"							"way"	"393957999"		"{'addr:city': \"La Seu d'Urgell\", 'building': 'yes', 'name': 'Palau Episcopal'}"
"Palau Episcopal"	"Palau Episcopal"							"relation"	"  5911049"		"{'building': 'yes', 'name': 'Palau Episcopal', 'type': 'multipolygon'}"
"Palau Municipal d'Esports"	"Palau Municipal d'Esports"							"way"	"561380211"		"{'building': 'yes', 'leisure': 'sports_centre', 'name': \"Palau Municipal d'Esports\"}"
"Riu de Casanoves"	"Riu de Casanoves"							"way"	"414112882"		"{'name': 'Riu de Casanoves', 'waterway': 'stream'}"
"Riu de Cerc"	"Riu de Cerc"							"way"	"122206711"		"{'name': 'Riu de Cerc', 'source': 'PNOA', 'source:date': '2009', 'waterway': 'stream'}"
"Riu de la Color"	"Riu de la Color"							"way"	"414130837"		"{'name': 'Riu de la Color', 'waterway': 'stream'}"
"Riu de la Color"	"Riu de la Color"							"way"	"855441169"		"{'name': 'Riu de la Color', 'waterway': 'stream'}"
"Riu de la Color"	"Riu de la Color"							"way"	"855441170"		"{'layer': '-1', 'name': 'Riu de la Color', 'tunnel': 'yes', 'waterway': 'stream'}"
"riu Valira"	"riu Valira"			"Valira, Gran Valira"	"Valira"	"river"	"Q24853"	"way"	"658303536"		"{'name': 'riu Valira', 'waterway': 'river', 'wikidata': 'Q24853', 'wikipedia': 'ca:Valira'}"
